qid,role,intent,grade,systems,question
BM-030,BMS-HVAC operators,sensor_data,answered-with-data,access_control|bms_plant|cmms_work|it_network|meter_energy|permit_control|sensor_telemetry|space_inventory,Do any monitored zones show a temperature-humidity combination that warrants a condensation-risk check by a competent person?
BM-031,BMS-HVAC operators,capability,honest-capability-answer,access_control|bms_plant|cmms_work|it_network|meter_energy|permit_control|project_handover|sensor_telemetry|space_inventory,"Which AHUs are running now, what mode is each in, and which run proofs support that status?"
BM-032,BMS-HVAC operators,capability,honest-capability-answer,access_control|bms_plant|cmms_work|it_network|meter_energy|permit_control|project_handover|sensor_telemetry|space_inventory,Which supply or extract fans are commanded on but lack verified evidence that they are actually running?
BM-033,BMS-HVAC operators,capability,document-quoted,access_control|bms_plant|cmms_work|it_network|meter_energy|permit_control|project_handover|sensor_telemetry|space_inventory|user_reports,Which dampers have a persistent mismatch between commanded position and verified feedback?
BM-034,BMS-HVAC operators,metadata,deflected,access_control|bms_plant|cmms_work|it_network|meter_energy|permit_control|project_handover|sensor_telemetry|space_inventory|user_reports,"Which heating or cooling valves have stayed near an end stop for a long period, and is the served condition still unmet?"
BM-035,BMS-HVAC operators,capability,answered-with-data,access_control|bms_plant|cmms_work|it_network|meter_energy|permit_control|project_handover|sensor_telemetry|space_inventory,"Which pumps are commanded on but do not show the expected independent run, flow, pressure or electrical evidence?"
BM-036,BMS-HVAC operators,anomaly,answered-with-data,access_control|bms_plant|cmms_work|it_network|meter_energy|permit_control|project_handover|sensor_telemetry|space_inventory|user_reports,Which VAV or terminal units are at an airflow or actuator limit while their zone demand remains unsatisfied?
BM-037,BMS-HVAC operators,sensor_data,answered-with-data,access_control|bms_plant|cmms_work|it_network|meter_energy|permit_control|project_handover|sensor_telemetry|space_inventory,Which heating or cooling coils are enabled but show little of the expected air- or water-side temperature change?
BM-038,BMS-HVAC operators,capability,honest-capability-answer,access_control|bms_plant|cmms_work|it_network|meter_energy|permit_control|project_handover|sensor_telemetry|space_inventory|user_reports,Is heat recovery or bypass currently behaving consistently with the approved operating sequence and measured air conditions?
BM-039,BMS-HVAC operators,sensor_data,honest-capability-answer,access_control|bms_plant|cmms_work|it_network|meter_energy|permit_control|project_handover|sensor_telemetry|space_inventory,"Which fans, pumps, compressors or other HVAC plant items are short-cycling more than their documented operating pattern allows?"
BM-040,BMS-HVAC operators,capability,answered-with-data,access_control|bms_plant|cmms_work|it_network|meter_energy|permit_control|project_handover|sensor_telemetry|space_inventory,"For this zone problem, what verified AHU, branch, terminal and actuator path currently serves the zone?"
BM-041,BMS-HVAC operators,sensor_data,answered-with-data,access_control|asset_register|bms_plant|cmms_work|it_network|meter_energy|permit_control|policy_governance|sensor_telemetry|space_inventory,"What new critical or high-priority HVAC/BMS alarms have appeared during this shift, and which are still active?"
BM-042,BMS-HVAC operators,anomaly,answered-with-data,access_control|bms_plant|cmms_work|it_network|meter_energy|permit_control|sensor_telemetry|space_inventory,Which alarms are chattering - repeatedly clearing and returning - rather than occurring as a single stable event?
BM-043,BMS-HVAC operators,sensor_data,answered-with-data,access_control|bms_plant|cmms_work|contract_warranty|it_network|meter_energy|permit_control|sensor_telemetry|space_inventory,Which active HVAC alarms have persisted beyond the current response target or beyond the operating state that normally explains them?
BM-044,BMS-HVAC operators,capability,document-quoted,access_control|bms_plant|cmms_work|it_network|meter_energy|permit_control|sensor_telemetry|space_inventory,"Which BMS sensors currently look flatlined, stale, missing, implausible or subject to repeated jumps?"
BM-045,BMS-HVAC operators,capability,answered-with-data,access_control|bms_plant|cmms_work|it_network|meter_energy|permit_control|sensor_telemetry|space_inventory,"Which paired, redundant or independently comparable sensors disagree beyond their approved combined tolerance?"
BM-046,BMS-HVAC operators,sensor_data,answered-with-data,access_control|bms_plant|cmms_work|it_network|meter_energy|permit_control|sensor_telemetry|space_inventory,Which temperature sensors show evidence of slow drift relative to a trusted reference or stable peer relationship?
BM-047,BMS-HVAC operators,capability,document-quoted,access_control|bms_plant|cmms_work|it_network|meter_energy|permit_control|sensor_telemetry|space_inventory|user_reports,"Which actuator feedback points may be stuck, inverted, badly scaled or mapped to the wrong device?"
BM-048,BMS-HVAC operators,capability,document-quoted,access_control|bms_plant|cmms_work|it_network|meter_energy|permit_control|sensor_telemetry|space_inventory,"Which BMS points recently changed engineering units, scaling, calibration constants, mapping or alarm configuration?"
BM-049,BMS-HVAC operators,anomaly,answered-with-data,access_control|bms_plant|cmms_work|it_network|meter_energy|permit_control|sensor_telemetry|space_inventory,Which current HVAC alarms and abnormal signals could share the same upstream plant cause?
BM-050,BMS-HVAC operators,sensor_data,honest-capability-answer,access_control|bms_plant|cmms_work|it_network|meter_energy|permit_control|sensor_telemetry|space_inventory|user_reports,"For this suspected BMS/HVAC fault, is the evidence strong enough for a diagnosis, or should we stop at ""unknown"" and verify more?"
BM-051,BMS-HVAC operators,sensor_data,honest-capability-answer,access_control|bms_plant|it_network|meter_energy|permit_control|sensor_telemetry|space_inventory,Which after-hours HVAC extensions have passed their verified end time and are ready for authorised operator assessment?
BM-052,BMS-HVAC operators,control,answered-with-data,access_control|bms_plant|it_network|meter_energy|permit_control|sensor_telemetry|space_inventory|weather_external,Where is optimum start consistently bringing HVAC on materially earlier than needed to meet the approved occupied target?
BM-053,BMS-HVAC operators,events,answered-with-data,access_control|bms_plant|it_network|meter_energy|permit_control|sensor_telemetry|space_inventory,Where is preheat or precool repeatedly failing to reach the approved target by occupied start?
BM-054,BMS-HVAC operators,capability,document-quoted,access_control|bms_plant|it_network|meter_energy|permit_control|sensor_telemetry|space_inventory|user_reports,Which zones show persistent simultaneous heating and cooling patterns strong enough to justify a controls-engineering assessment?
BM-055,BMS-HVAC operators,sensor_data,answered-with-data,access_control|asset_register|bms_plant|it_network|meter_energy|permit_control|project_handover|sensor_telemetry|space_inventory,Which AHU pressure- or supply-air-temperature reset loops stay at an approved limit while downstream demand suggests headroom or unmet need?
BM-056,BMS-HVAC operators,sensor_data,answered-with-data,access_control|bms_plant|it_network|meter_energy|permit_control|sensor_telemetry|space_inventory,"In commissioned demand-controlled ventilation areas, where does ventilation demand stay high while CO2 remains persistently low?"
BM-057,BMS-HVAC operators,events,answered-with-data,access_control|bms_plant|it_network|meter_energy|permit_control|sensor_telemetry|space_inventory,"Which recurring after-hours HVAC runtime has no matching approved schedule, extension, maintenance window or protective operating mode?"
BM-058,BMS-HVAC operators,capability,document-quoted,access_control|bms_plant|it_network|meter_energy|permit_control|project_handover|sensor_telemetry|space_inventory|user_reports,"Which control loops show repeatable oscillation, overshoot or hunting that is strong enough to justify a tuning assessment?"
BM-059,BMS-HVAC operators,sensor_data,answered-with-data,access_control|bms_plant|it_network|meter_energy|permit_control|sensor_telemetry|space_inventory,"Which possible HVAC control opportunities have enough verified evidence for a bounded engineering recommendation, and which should be deferred?"
BM-060,BMS-HVAC operators,sensor_data,honest-capability-answer,access_control|bms_plant|it_network|meter_energy|permit_control|policy_governance|sensor_telemetry|space_inventory,"If we can investigate only one BMS/HVAC control issue this shift, which verified issue has the strongest case for attention?"
BM-061,BMS-HVAC operators,sensor_data,deflected,access_control|asset_register|bms_plant|cmms_work|contract_warranty|it_network|meter_energy|permit_control|project_handover|sensor_telemetry|space_inventory,"What unresolved BMS/HVAC issues need to be handed over to the next shift, with current state and evidence age?"
BM-062,BMS-HVAC operators,capability,document-quoted,access_control|bms_plant|cmms_work|contract_warranty|it_network|meter_energy|permit_control|sensor_telemetry|space_inventory|user_reports,"Which sensors, actuators or plant items should be physically checked before we rely on their BMS telemetry for this diagnosis?"
BM-063,BMS-HVAC operators,capability,document-quoted,access_control|bms_plant|cmms_work|contract_warranty|it_network|meter_energy|permit_control|sensor_telemetry|space_inventory,"Which newly commissioned, replaced or remapped BMS points have not yet demonstrated stable and plausible behaviour?"
BM-064,BMS-HVAC operators,planner,answered-with-data,access_control|bms_plant|cmms_work|contract_warranty|it_network|meter_energy|permit_control|sensor_telemetry|space_inventory,"Which open CMMS work orders match the BMS symptoms we are seeing now, and which symptoms have no current work-order context?"
BM-065,BMS-HVAC operators,sensor_data,deflected,access_control|asset_register|bms_plant|cmms_work|contract_warranty|it_network|meter_energy|permit_control|sensor_telemetry|space_inventory|user_reports,"After recent maintenance, did the affected HVAC system return to the documented expected BMS behaviour?"
BM-066,BMS-HVAC operators,capability,document-quoted,access_control|bms_plant|cmms_work|contract_warranty|it_network|meter_energy|permit_control|sensor_telemetry|space_inventory|user_reports,"Which valves, dampers, sensors or feedback points have accumulated enough questionable behaviour to justify functional verification?"
BM-067,BMS-HVAC operators,sensor_data,answered-with-data,access_control|bms_plant|cmms_work|contract_warranty|it_network|meter_energy|permit_control|sensor_telemetry|space_inventory|user_reports,What evidence package should accompany a contractor or specialist call-out for this HVAC fault?
BM-068,BMS-HVAC operators,capability,document-quoted,access_control|bms_plant|cmms_work|contract_warranty|it_network|meter_energy|permit_control|sensor_telemetry|space_inventory,"What authorised BMS changes took effect today, and which live points confirm the intended state is now active?"
BM-069,BMS-HVAC operators,capability,deflected,access_control|bms_plant|cmms_work|contract_warranty|it_network|meter_energy|permit_control|sensor_telemetry|space_inventory,"Which temporary overrides, isolations, test modes or engineering states still need authorised assessment before this shift ends?"
BM-070,BMS-HVAC operators,metadata,answered-with-data,access_control|bms_plant|cmms_work|contract_warranty|it_network|meter_energy|permit_control|sensor_telemetry|space_inventory|user_reports,"For this recurring zone or plant problem, what is the concise handover from first verified symptom to current state?"
BM-071,BMS-HVAC operators,events,deflected,access_control|bms_plant|it_network|meter_energy|permit_control|project_handover|sensor_telemetry|space_inventory|weather_external,Which HVAC systems are contributing most to current electrical demand where suitable metering is actually available?
BM-072,BMS-HVAC operators,analytics,answered-with-data,access_control|bms_plant|it_network|meter_energy|permit_control|policy_governance|project_handover|sensor_telemetry|space_inventory|weather_external,"Are we likely to cross an approved peak-demand threshold in the current demand interval, and which HVAC loads are formally classed as essential, constrained or discretionary?"
BM-073,BMS-HVAC operators,sensor_data,deflected,access_control|bms_plant|it_network|meter_energy|permit_control|project_handover|sensor_telemetry|space_inventory|weather_external,Which HVAC systems ran materially longer than their approved operating windows yesterday?
BM-074,BMS-HVAC operators,sensor_data,deflected,access_control|bms_plant|it_network|meter_energy|permit_control|project_handover|sensor_telemetry|space_inventory|weather_external,How does today's measured HVAC energy compare with genuinely comparable weather-normalised days?
BM-075,BMS-HVAC operators,sensor_data,deflected,access_control|bms_plant|it_network|meter_energy|permit_control|project_handover|sensor_telemetry|space_inventory|weather_external,Which metered HVAC systems are using substantial energy while showing weak delivered heating or cooling effect?
BM-076,BMS-HVAC operators,sensor_data,deflected,access_control|bms_plant|it_network|meter_energy|permit_control|project_handover|sensor_telemetry|space_inventory|weather_external,Are seasonal changeover settings and active HVAC modes aligned with the current approved seasonal strategy and recent outdoor conditions?
BM-077,BMS-HVAC operators,sensor_data,answered-with-data,access_control|bms_plant|it_network|meter_energy|permit_control|project_handover|sensor_telemetry|space_inventory|weather_external,Which HVAC assets show degraded seasonal performance compared with their own commissioned or otherwise trusted baseline?
BM-078,BMS-HVAC operators,sensor_data,answered-with-data,access_control|bms_plant|it_network|meter_energy|permit_control|project_handover|sensor_telemetry|space_inventory|weather_external,"During a power, network or BMS disruption, which HVAC evidence is still trustworthy, delayed, cached or unavailable?"
BM-079,BMS-HVAC operators,sensor_data,honest-capability-answer,access_control|bms_plant|it_network|meter_energy|permit_control|project_handover|sensor_telemetry|space_inventory|weather_external,Which critical HVAC services depend on a single telemetry or control-visibility path with no verified alternative evidence?
BM-080,BMS-HVAC operators,analytics,answered-with-data,access_control|bms_plant|it_network|meter_energy|permit_control|project_handover|sensor_telemetry|space_inventory|weather_external,"What are this week's highest-priority verified HVAC energy and resilience issues, with evidence strength and action boundary?"
CT-001,Cleaning and caretaking teams,capability,honest-capability-answer,access_control|cleaning_waste|contract_warranty|it_network|project_handover|sensor_telemetry,"What is my cleaning zone and task list for this shift, including anything added, removed or handed over?"
CT-002,Cleaning and caretaking teams,capability,honest-capability-answer,cleaning_waste|it_network|project_handover|sensor_telemetry|timetable,"Which rooms must be ready first today, and what is the latest practical start time for each one?"
CT-003,Cleaning and caretaking teams,capability,honest-capability-answer,cleaning_waste|it_network|project_handover|sensor_telemetry,"Are any of my normal areas closed, restricted or temporarily reassigned on this shift?"
CT-004,Cleaning and caretaking teams,capability,deflected,cleaning_waste|contract_warranty|sensor_telemetry,"What cleaning standard, frequency and task set apply to this room on this visit?"
CT-005,Cleaning and caretaking teams,capability,answered-with-data,access_control|cleaning_waste|it_network|sensor_telemetry,Which assigned tasks are now at real risk of missing their required completion time?
CT-006,Cleaning and caretaking teams,capability,honest-capability-answer,cleaning_waste|it_network|sensor_telemetry|timetable,"Has an event, exam or other high-use period changed where we should add cleaning effort today?"
CT-007,Cleaning and caretaking teams,capability,deflected,access_control|cleaning_waste|it_network|project_handover|sensor_telemetry,Which jobs were left unfinished or deliberately deferred by the previous shift and still need action?
CT-008,Cleaning and caretaking teams,capability,answered-with-data,cleaning_waste|it_network|project_handover|sensor_telemetry|timetable,"Where can I begin work now without interrupting teaching, meetings or another authorised activity?"
CT-009,Cleaning and caretaking teams,capability,honest-capability-answer,cleaning_waste|it_network|sensor_telemetry|weather_external,Do entrances or circulation areas need an extra wet-weather check before floor conditions worsen?
CT-010,Cleaning and caretaking teams,capability,honest-capability-answer,access_control|cleaning_waste|it_network|project_handover|sensor_telemetry,"If we cannot finish everything, what exactly must be handed over to the next shift?"
CT-011,Cleaning and caretaking teams,capability,document-quoted,booking|cleaning_waste|it_network|project_handover|sensor_telemetry|timetable,Which teaching or meeting rooms are formally released and ready for us to enter for cleaning now?
CT-012,Cleaning and caretaking teams,capability,honest-capability-answer,cleaning_waste|it_network|project_handover|sensor_telemetry|timetable,Which assigned rooms are likely to become cleanable in the next 30 to 60 minutes so I can plan the route?
CT-013,Cleaning and caretaking teams,capability,document-quoted,cleaning_waste|it_network|sensor_telemetry,Which common or study areas deserve an extra physical service check because recent use is above their normal pattern?
CT-014,Cleaning and caretaking teams,metadata,answered-with-data,booking|cleaning_waste|it_network|project_handover|sensor_telemetry|timetable,Has an event finished early enough to create a useful cleaning window before the next booking?
CT-015,Cleaning and caretaking teams,events,deflected,cleaning_waste|it_network|permit_control|project_handover|sensor_telemetry|timetable,The timetable says this room is free but the sensors suggest activity - what should I verify before entering?
AR-024,"People with mobility, sensory, or other accessibility requirements",deliberate,answered-with-data,accessibility|booking|sensor_telemetry,"I need a clear view of captions, an interpreter or the main display. Which verified seating zone is most suitable?"
AR-025,"People with mobility, sensory, or other accessibility requirements",sensor_data,answered-with-data,accessibility|booking|sensor_telemetry,"Is a hearing loop or another assistive-listening system confirmed, recently tested and available in this room?"
AU-052,Auditors and certification assessors,events,answered-with-data,,"Are comparable exceptions recurring across periods, locations, asset classes, suppliers or control owners after allowing for population and coding changes?"
CT-016,Cleaning and caretaking teams,capability,document-quoted,access_control|cleaning_waste|it_network|sensor_telemetry,"If urgent work appears elsewhere, which assigned areas have genuine scheduling slack and could be serviced later?"
CT-017,Cleaning and caretaking teams,capability,honest-capability-answer,cleaning_waste|it_network|sensor_telemetry,Where has recent room use increased enough to justify an extra cleaning or replenishment check?
CT-018,Cleaning and caretaking teams,,unmeasured,booking|cleaning_waste|sensor_telemetry|timetable,"Which rooms have an uncertain release status, and who or what is the right current source to confirm each one?"
CT-019,Cleaning and caretaking teams,recommend,deflected,asset_register|cleaning_waste|it_network|project_handover|sensor_telemetry,"When is the least disruptive window for cleaning a busy corridor, staircase or lift lobby?"
CT-020,Cleaning and caretaking teams,recommend,deflected,cleaning_waste|it_network|sensor_telemetry,"After a large event or teaching release, which public areas should we physically check first?"
CT-021,Cleaning and caretaking teams,capability,document-quoted,cleaning_waste|it_network|sensor_telemetry,"Which washroom should I service next, considering required frequency, time since the last confirmed service and current demand evidence?"
CT-022,Cleaning and caretaking teams,sensor_data,honest-capability-answer,cleaning_waste|it_network|sensor_telemetry,"Which soap, paper or other approved dispensers are likely to be low or empty before I start the route?"
CT-023,Cleaning and caretaking teams,capability,document-quoted,access_control|cleaning_waste|it_network|permit_control|sensor_telemetry,"Are any washrooms, cubicles or amenity points officially out of service before I travel there?"
CT-024,Cleaning and caretaking teams,capability,document-quoted,cleaning_waste|it_network|sensor_telemetry,"Which shared amenity points, such as kitchenettes or drinking-water areas, need a service check today?"
CT-025,Cleaning and caretaking teams,capability,honest-capability-answer,access_control|cleaning_waste|it_network|sensor_telemetry,"Which washrooms have a confirmed service this shift, and which still need a visit?"
CT-026,Cleaning and caretaking teams,capability,honest-capability-answer,cleaning_waste|finance_cost|it_network|sensor_telemetry,Which washrooms regularly need more consumables so we can plan stock for the coming week?
CT-027,Cleaning and caretaking teams,capability,answered-with-data,cleaning_waste|it_network|project_handover|sensor_telemetry,Where do dispenser or bin sensor readings disagree with what staff actually found on the last physical check?
CT-028,Cleaning and caretaking teams,sensor_data,answered-with-data,bms_plant|cleaning_waste|it_network|permit_control|sensor_telemetry,Is there a current leak or standing-water alert in a washroom that needs escalation before routine cleaning?
CT-029,Cleaning and caretaking teams,capability,document-quoted,accessibility|cleaning_waste|it_network|sensor_telemetry,Do accessible or assisted-use facilities have any current service issue I need to know about before the round?
CT-030,Cleaning and caretaking teams,spatial_query,answered-with-data,cleaning_waste|finance_cost|it_network|sensor_telemetry,How much approved washroom stock should I take on this route to reduce avoidable return trips?
CT-031,Cleaning and caretaking teams,privacy_refusal,deflected,asset_register|cleaning_waste|it_network|sensor_telemetry,"A spill has just been reported - where is it, when was it reported, and who currently owns the response?"
CT-032,Cleaning and caretaking teams,capability,document-quoted,cleaning_waste|it_network|sensor_telemetry,"Has this reported spill already been attended, or is it still an open action for our team?"
CT-033,Cleaning and caretaking teams,capability,document-quoted,cleaning_waste|it_network|sensor_telemetry,"Has broken glass, a sharp object or another physical hazard been reported in my area?"
CT-034,Cleaning and caretaking teams,capability,honest-capability-answer,cleaning_waste|sensor_telemetry,"This fixture or surface is damaged - is it within cleaning responsibility, or should I raise it to facilities?"
CT-035,Cleaning and caretaking teams,sensor_data,honest-capability-answer,bms_plant|cleaning_waste|it_network|sensor_telemetry,"Is there a leak, flooding or plant alarm that changes whether normal cleaning can continue in this area?"
CT-036,Cleaning and caretaking teams,planner,honest-capability-answer,cleaning_waste|contract_warranty|sensor_telemetry,"A bin, sanitary unit or dispenser is damaged - is there already a fault logged, and what information should I add if not?"
CT-037,Cleaning and caretaking teams,capability,document-quoted,cleaning_waste|it_network|sensor_telemetry,Which urgent cleaning-related incidents are still open and waiting for acknowledgement or action?
CT-038,Cleaning and caretaking teams,,unmeasured,cleaning_waste|it_network|sensor_telemetry|user_reports,There is an odour complaint - what verified information do we have before I investigate or escalate it?
CT-039,Cleaning and caretaking teams,capability,document-quoted,cleaning_waste|it_network|sensor_telemetry|weather_external,Do entrance floors show enough wet-weather evidence to justify an urgent physical check?
CT-040,Cleaning and caretaking teams,capability,honest-capability-answer,cleaning_waste|policy_governance|sensor_telemetry|statutory_compliance,"If I find an unknown or suspected hazardous substance, what is the current escalation route and what facts should I pass on?"
CT-041,Cleaning and caretaking teams,capability,honest-capability-answer,access_control|cleaning_waste|it_network|permit_control|policy_governance|sensor_telemetry,Which doors and service zones is my current role authorised to access for this shift?
CT-042,Cleaning and caretaking teams,metadata,answered-with-data,cleaning_waste|permit_control|sensor_telemetry,"For this task, do I need a key, access card, escort, permit or local contact before I travel there?"
CT-043,Cleaning and caretaking teams,sensor_data,answered-with-data,access_control|cleaning_waste|it_network|permit_control|sensor_telemetry,A room is locked even though my task says it should be available - is there a current known reason?
CT-044,Cleaning and caretaking teams,capability,honest-capability-answer,cleaning_waste|it_network|project_handover|sensor_telemetry,What authorised route can I use to reach this work area without passing through restricted research or secure zones?
CT-045,Cleaning and caretaking teams,sensor_data,honest-capability-answer,cleaning_waste|policy_governance|sensor_telemetry,Does this location or task have a current lone-working check-in or contact requirement for this shift?
CT-046,Cleaning and caretaking teams,metadata,answered-with-data,access_control|cleaning_waste|sensor_telemetry,"Will any time-limited access, permit or escort arrangement expire before this planned route is finished?"
CT-047,Cleaning and caretaking teams,capability,document-quoted,cleaning_waste|permit_control|sensor_telemetry,"Which rooms on my list require an escort, responsible person or local contact before cleaning can begin?"
CT-048,Cleaning and caretaking teams,capability,deflected,access_control|cleaning_waste|hr_identity|it_network|permit_control|policy_governance|security_incident|sensor_telemetry,"If I cannot get into a room, who currently owns the decision to release it or arrange access?"
CT-049,Cleaning and caretaking teams,capability,document-quoted,it_network|project_handover|sensor_telemetry,"Is there a current security, emergency or fire-route restriction that changes my cleaning or waste route?"
CT-050,Cleaning and caretaking teams,capability,honest-capability-answer,access_control|cleaning_waste|it_network|permit_control|policy_governance|project_handover|sensor_telemetry,"Where must keys, radios or other controlled service items be returned at the end of this shift?"
CT-051,Cleaning and caretaking teams,sensor_data,honest-capability-answer,access_control|bms_plant|cleaning_waste|it_network|sensor_telemetry,Which cleaning machines and tools are currently available and recorded as serviceable for this route?
CT-052,Cleaning and caretaking teams,capability,honest-capability-answer,cleaning_waste|it_network|sensor_telemetry,Where is the nearest authorised store that holds the approved supplies for my planned route?
CT-053,Cleaning and caretaking teams,capability,honest-capability-answer,access_control|bms_plant|cleaning_waste|it_network|sensor_telemetry,Does the floor-cleaning machine have enough verified battery charge for the planned job without a mid-task stop?
CT-054,Cleaning and caretaking teams,metadata,answered-with-data,access_control|bms_plant|cleaning_waste|cmms_work|it_network|sensor_telemetry,"Is any machine or powered tool due an inspection, service or safety check before I use it?"
CT-055,Cleaning and caretaking teams,capability,honest-capability-answer,cleaning_waste|it_network|sensor_telemetry|statutory_compliance,Are the approved cleaning products I need actually in stock at the store I am allowed to use?
CT-056,Cleaning and caretaking teams,capability,honest-capability-answer,cleaning_waste|sensor_telemetry|statutory_compliance,"For this surface and task, which current approved product or method does the controlled cleaning specification require?"
CT-057,Cleaning and caretaking teams,capability,honest-capability-answer,cleaning_waste|it_network|sensor_telemetry|statutory_compliance,"Are any chemical containers recorded as expired, damaged, unlabelled or otherwise not ready for issue?"
CT-058,Cleaning and caretaking teams,capability,honest-capability-answer,cleaning_waste|sensor_telemetry|statutory_compliance,"What PPE is currently listed for this approved cleaning task, and which controlled instruction says so?"
CT-059,Cleaning and caretaking teams,capability,honest-capability-answer,cleaning_waste|finance_cost|it_network|sensor_telemetry,What supplies need to be replenished from central stores before the next shift starts?
CT-060,Cleaning and caretaking teams,capability,honest-capability-answer,access_control|cleaning_waste|it_network|sensor_telemetry,Has any shared cleaning machine or trolley moved to another authorised store or zone since the last shift?
CT-061,Cleaning and caretaking teams,sensor_data,answered-with-data,cleaning_waste|it_network|sensor_telemetry,Which general or recycling bins are approaching full and should be included in my next collection round?
CT-062,Cleaning and caretaking teams,capability,deflected,cleaning_waste|contract_warranty|it_network|sensor_telemetry,Which waste points have credible evidence of overflowing before the next planned round or contractor collection?
CT-063,Cleaning and caretaking teams,capability,document-quoted,asset_register|cleaning_waste|contract_warranty|it_network|policy_governance|sensor_telemetry,Has contamination been reported in a recycling stream that needs the current approved handling route?
CT-064,Cleaning and caretaking teams,capability,document-quoted,access_control|cleaning_waste|it_network|sensor_telemetry,Which waste points from the last round still do not have a confirmed completion or authorised deferral?
CT-065,Cleaning and caretaking teams,capability,deflected,cleaning_waste|contract_warranty|it_network|sensor_telemetry|timetable,"When is the next authorised waste collection, and what needs to be ready before the contractor arrives?"
CT-066,Cleaning and caretaking teams,capability,document-quoted,cleaning_waste|policy_governance|sensor_telemetry,"Where is the current approved collection point for batteries, WEEE, sharps or other special waste I may encounter?"
CT-067,Cleaning and caretaking teams,capability,document-quoted,access_control|bms_plant|cleaning_waste|contract_warranty|it_network|sensor_telemetry,"Has the waste store, compactor or related equipment raised an alarm that affects today's collection route?"
CT-068,Cleaning and caretaking teams,capability,document-quoted,cleaning_waste|it_network|project_handover|sensor_telemetry,What collection route will move waste with the least disruption while staying on authorised service paths?
CT-069,Cleaning and caretaking teams,capability,answered-with-data,cleaning_waste|it_network|project_handover|sensor_telemetry,"Which bin fill sensors are too stale, inconsistent or unreliable to use for today's route planning?"
CT-070,Cleaning and caretaking teams,capability,document-quoted,asset_register|cleaning_waste|contract_warranty|it_network|sensor_telemetry,What waste volumes by stream are we actually seeing this week for planning rounds and container capacity?
CT-071,Cleaning and caretaking teams,capability,document-quoted,access_control|cleaning_waste|contract_warranty|it_network|sensor_telemetry,Which completed areas are due a supervisor quality check before this shift can close?
CT-072,Cleaning and caretaking teams,capability,answered-with-data,access_control|cleaning_waste|contract_warranty|it_network|policy_governance|sensor_telemetry,"What privacy-preserving evidence can I record to show this task is complete without photographing people, screens or sensitive material?"
CT-073,Cleaning and caretaking teams,events,answered-with-data,cleaning_waste|it_network|sensor_telemetry,Which cleaning-related defects or service problems keep recurring in the same place and need supervisor or facilities assessment?
CT-074,Cleaning and caretaking teams,capability,document-quoted,access_control|cleaning_waste|it_network|project_handover|sensor_telemetry,"What unresolved cleaning, stock, access or fault issues must I pass to the next shift?"
CT-075,Cleaning and caretaking teams,capability,document-quoted,cleaning_waste|contract_warranty|sensor_telemetry,"Is the planned work and travel burden for this zone materially above its normal task allowance, so I should raise it early?"
CT-076,Cleaning and caretaking teams,capability,honest-capability-answer,cleaning_waste|it_network|meter_energy|sensor_telemetry|timetable,Can a noisy or space-consuming cleaning task be moved to a quieter confirmed window without missing the required standard or deadline?
CT-077,Cleaning and caretaking teams,recommend,answered-with-data,access_control|cleaning_waste|it_network|meter_energy|permit_control|sensor_telemetry|statutory_compliance|sustainability,Can we reduce water or energy use on this task while still following the approved cleaning method and required standard?
CT-078,Cleaning and caretaking teams,capability,document-quoted,cleaning_waste|it_network|sensor_telemetry,"Are any consumables being used much faster than expected, suggesting a dispenser fault or stock-control issue worth checking?"
CT-079,Cleaning and caretaking teams,capability,honest-capability-answer,cleaning_waste|it_network|project_handover|sensor_telemetry,Can we combine supply pickups and route stops to reduce unnecessary trolley journeys without making the work late or unsafe?
CT-080,Cleaning and caretaking teams,capability,honest-capability-answer,access_control|cleaning_waste|it_network|sensor_telemetry,"At the end of the shift, are all assigned tasks either confirmed complete, explicitly deferred or escalated to the right current owner?"
EA-001,University estates and asset-management teams,capability,answered-with-data,access_control|asset_register|it_network|project_handover|survey_condition,"For the agreed maintainable scope, which installed assets are missing from the live register, and which registered assets cannot be verified on site?"
EA-002,University estates and asset-management teams,capability,answered-with-data,access_control|asset_register|cmms_work|contract_warranty|project_handover,"Which records are credible candidates for the same physical asset, and what evidence separates a duplicate from a replacement or a different unit?"
EA-003,University estates and asset-management teams,capability,honest-capability-answer,asset_register|bms_plant|cmms_work|project_handover|sensor_telemetry|survey_condition,"Is each asset linked to the correct parent, engineering system, served area and service dependency?"
EA-004,University estates and asset-management teams,capability,answered-with-data,asset_register|cmms_work|project_handover,"Which maintainable assets lack a stable identifier, readable label or scannable tag at the point of work?"
EA-005,University estates and asset-management teams,capability,document-quoted,access_control|asset_register|cmms_work|contract_warranty|finance_cost|meter_energy|permit_control|project_handover|sensor_telemetry|survey_condition,"Which decision-critical asset attributes are missing, stale or contradictory, including make, model, duty, capacity, installation date and service owner?"
EA-006,University estates and asset-management teams,capability,honest-capability-answer,access_control|asset_register|bms_plant|it_network|project_handover|space_inventory|survey_condition,Does the recorded location match where each asset can currently be found at the precision needed for maintenance and risk decisions?
EA-007,University estates and asset-management teams,capability,answered-with-data,access_control|asset_register|bms_plant|contract_warranty|it_network|policy_governance|project_handover,"Which building-services sensors, controllers and gateways should be managed as estate assets but have no agreed place in the asset hierarchy?"
