fragment,mentions
rank cooler candidate spaces,1
compare connectivity metrics,1
rank nearby areas,1
general ergonomic knowledge,1
ergonomic audit retrieval,1
current environment retrieval,1
criteria scoring,1
redundancy and critical-asset metadata,1
resilience checklist analysis,1
configured overheat thresholds,1
ranked overheating signs,1
configured pressure operating ranges,1
define high-usage windows,1
opportunity ranking,1
utility contract or peak-threshold record,1
zone resolution,1
entrance discovery,1
entrance count retrieval,1
inactive-hours filtering,1
current indoor retrieval,1
outdoor api retrieval,1
metric normalization,1
compute variance/range by zone/floor,1
general comfort/focus thresholds,1
fault/status synthesis,1
formatted health summary,1
general collaboration/comfort criteria,1
telemetry/availability retrieval,1
closure/status retrieval,1
user-provided location,1
ask/use current location,1
rank nearby workspaces,1
hvac alarm/status retrieval,1
rank lowest areas,1
floor/area topology,1
sudden-change detection,1
utility/grid-mix lookup,1
feature fusion,1
quiet/break-space tags,1
distance ranking,1
rank warmest areas,1
status/fault retrieval,1
stc/rt60 commissioning files in inputs/,1
rt60/sti measurement files in inputs/,1
feedback retrieval,1
mitigation modelling,1
detected/not detected summary,1
peak-time analysis,1
reception-hours capability facts,1
visitor/check-in management feed,1
check-in system retrieval,1
status resolution,1
current-time check,1
visitor queue feed retrieval,1
count threshold,1
metrics/log retrieval,1
hvac status checks,1
resolve server entity,1
heartbeat/status check,1
state evaluation,1
event count/boolean,1
evaluate heating state,1
lift operational status/alarm feed,1
controller telemetry/speed-test retrieval,1
roadmap document ingestion,1
general ieq guidance,1
ieq/live-feed ingestion,1
hybrid intent,1
asset/root-cause mapping,1
smart-bin contamination/cv event stream,1
bin event retrieval,1
activity-data retrieval,1
mechanism summary,1
parse periods,1
envelope and insulation specifications,1
command-point metadata,1
filter current year,1
resolve or ask user start location,1
disposal-point lookup,1
user location retrieval,1
rank nearby features,1
notify subscriber,1
filter upcoming visits,1
electrical panel/switchgear telemetry and alarms,1
electrical asset metadata,1
resolve nearby location,1
optional diagnostic-log check,1
historical stats vs focus thresholds,1
retrieve user location,1
eta intent,1
retrieve user floor/call context,1
coffee-machine status retrieval,1
user-supplied/ui location,1
rank against comfort band,1
conversation/ui room context,1
response/offer control ui,1
delta-t calculation,1
general ventilation/co2 guidance,1
general electrical safety limits,1
electrical telemetry/ratings ingestion,1
availability inference,1
resolve restricted-area set,1
compute occupied intervals/durations,1
resolve target room/zone,1
comfort/risk scoring,1
sensor timestamp cadence analysis,1
latency log retrieval,1
confirm location,1
performance-feed retrieval,1
match and rank workspaces,1
fault/error reports in postgres,1
daily averaging,1
rolling drop detection,1
window-state/airflow feed,1
resolve recent window,1
read current conditions,1
validate allowed settings,1
retrieve weekend/holiday telemetry,1
compare to weekday operation,1
device-health/alarm lookup,1
classify likely faults,1
utilisation computation,1
rank/filter,1
scope disambiguation,1
command/event log retrieval,1
environment retrieval,1
general mold/ventilation guidance,1
humidity/temp retrieval,1
exhaust airflow retrieval,1
furniture/screen layout inputs/ file,1
furniture layout ingestion,1
design brief/user storage requirements (inputs/ file,1
foyer furniture/storage inputs/ file,1
design brief inputs/ file,1
photo/cv feed,1
storage/furniture/brief ingestion,1
image/feedback retrieval,1
home floor/section bim or cad files (inputs/ folder,1
generative stair-layout optimisation module (new method,1
structural constraints/design brief inputs/ file,1
home geometry/code/brief ingestion,1
generative alternatives/optimisation,1
code/clearance checks,1
table/furniture layout inputs/ file,1
av/table/outlet data retrieval,1
accessibility/clearance/sightline/cable checks,1
visual overlay,1
furniture/reconfigurability inputs/ file,1
layout scenario generation,1
exhibit layout and requirements,1
general workplace privacy guidance,1
whiteboard/screen asset register,1
obstruction/furniture geometry if absent from plans,1
asset/furniture ingestion,1
route clearance/obstruction data if absent from plans (inputs/ file,1
safety shower/eyewash asset register,1
accessibility/obstruction annotations,1
general safety accessibility guidance,1
safety-equipment ingestion,1
route/distance analysis,1
general truck-height guidance,1
loading dock dimension record,1
local delivery vehicle/fleet profile if required,1
dock dimension ingestion,1
standard truck range lookup,1
machinery electrical requirements,1
electrical model ingestion,1
accessibility and universal-design rules,1
door attribute/rule ingestion,1
geometric/rule checks,1
service-access metadata,1
define repair scenarios/areas,1
clearance/access-route analysis,1
risk/maintainability synthesis,1
user dialogue submissions,1
semantic linking,1
goal extraction and synthesis,1
user comfort-profile store,1
user room/check-in feed,1
profile/feedback ingestion,1
collaborative-area labels,1
user comfort-profile and feedback store,1
trend intent,1
general hvac efficiency knowledge,1
classify efficient alternatives,1
indoor biodiversity initiatives file added to inputs/capability yaml,1
initiatives/asset ingest,1
green-area/plant coverage dataset,1
green-area retrieval,1
fixture spec retrieval,1
out-of-hours filtering,1
idle detection,1
emergency asset query,1
rule checks,1
filter ongoing nearby works,1
set threshold,1
threshold evaluation loop,1
find peak timestamp,1
retrieve indoor climate,1
user-provided issue details/location,1
collect issue details/location,1
plant/soil threshold kb,1
resolve/confirm current area,1
general equipment-room thermal limits,1
confirm/resolve start location,1
compare exits,1
date filter,1
current comfort retrieval,1
availability and missing-floor stream retrieval,1
resolve referenced space,1
airflow/ventilation-rate telemetry,1
adequacy assessment,1
charging-point availability/plug-use sensor feed,1
warning summary,1
hvac log retrieval,1
comfort threshold selection,1
manufacturer operating limits,1
panel/phase/circuit topology,1
circuit ratings,1
automation log retrieval,1
underuse thresholding,1
hours lookup,1
activity/access retrieval,1
summary,1
latest sensor/count retrieval,1
define freshness metric,1
latest indoor readings,1
normalize and compare,1
identify nearest safe exits/stairs,1
shortest-path calculation,1
reservation retrieval,1
compare reserved vs in-use,1
locate current area,1
request brightness target if needed,1
map devices to areas,1
user context,1
access-control status/alarm retrieval,1
fault filter,1
live condition and availability retrieval,1
user consent/session store,1
resolve current workspace,1
retrieve or start session tracking,1
compute today's dwell duration,1
create departure-trigger rule,1
rank excessive equipment,1
hvac mode/demand feed,1
hvac mode/demand points,1
alarm event retrieval,1
disambiguate topic,1
summary/options,1
meter topology metadata files (inputs/,1
meter topology metadata inputs,1
optional [new] access-control lookup,1
safety audit/incident records,1
disambiguate safety topic,1
optional [new] alarm/incident retrieval,1
availability/access summary,1
collect threshold/location,1
loudness calculation,1
user-provided/current room context,1
poi lookup,1
exit poi lookup,1
detector/alarm feed retrieval,1
latency/status analysis,1
limitation note,1
select empty rooms,1
free-room filter,1
floor/location formatting,1
dialogue/session target,1
latest temperature check,1
comfort guidance via llm,1
temporal join/overlap analysis,1
ventilation feed/docs retrieval,1
ach calculation,1
soil-moisture/plant-health/image data (new sensor/feed,1
control-loop feasibility response,1
grid-mix api,1
optional device/zone lookup,1
count/list faults,1
query reservation api,1
map status to workspace,1
rate calculation,1
"rank by quietness, distance and availability",1
building config/date context,1
user/context room identifier,1
locate cafe area,1
user/context location,1
resolve/ask for area,1
retrieve temp/humidity/co2 peer data,1
threshold and health checks,1
failure-risk scoring,1
retrieve live/latest readings,1
compute deltas/std dev,1
current environmental retrieval,1
rule inference,1
per-floor meter retrieval,1
compute long-term stats,1
compute slope/rate of change,1
general co2/ventilation comfort guidance,1
control-point/api lookup,1
access restrictions,1
access-control/door-lock feed,1
access-status retrieval,1
date range resolution,1
availability event detection,1
heartbeat/fault analysis,1
current temp/co2/humidity where relevant,1
goal retrieval,1
compare against targets,1
user-provided/app location,1
get/confirm user location,1
compute daily average,1
planned-works notices file in inputs/,1
filter active repairs,1
airflow/all-floor retrieval,1
compute time to next change,1
optional existing temp/co2/humidity context,1
impact feed retrieval,1
wastage rule evaluation,1
existing hvac capability facts,1
compare to planned interval,1
modelled sensor metadata for floors 0-5,1
collection logs and contamination audits,1
compute mean,1
door/access-control status feed,1
retrieve access/obstruction status,1
cross-check reports,1
list blocked/restricted exits,1
stock feed retrieval,1
floor/roof plans,1
green-roof geometry metadata,1
green-roof lookup,1
filter available stations,1
filter availability,1
resolve stairwell,1
filter upcoming,1
reservation api action,1
filter count=0,1
join with reports,1
hvac/fan telemetry,1
retrieve today's telemetry,1
general glare guidance,1
resolve workstation,1
general hvac/heat-transfer rules,1
main-door access-control or door-contact event log,1
resolve main door,1
compare event time/count to recent window,1
general aqi/health guidance,1
compute latest/average,1
compare to sensitive-person thresholds,1
ap-to-room coverage mapping,1
map ap metrics to rooms,1
rank fastest,1
restricted-area definitions/policies,1
lift/door status feed,1
accessibility annotation file,1
resolve origin/destination and accessibility needs,1
incident and lift status retrieval,1
entrance status/count retrieval,1
classify in-use/free,1
optional,1
area ranking,1
threshold selection/confirmation,1
hvac operational telemetry,1
rank high-traffic periods,1
meter reading retrieval,1
compute today's consumption,1
route cost optimisation,1
overlap detection,1
list overbooked rooms or none,1
savings opportunity analysis,1
trend and significance analysis,1
habitat/ecology assessment docs (new inputs/ file,1
inputs/ ecology file,1
green-roof/roof documentation (new inputs/ file,1
hvac document ingestion,1
resolve office/room,1
health derivation,1
door/access status feed,1
resolve exit/current location,1
sensor fusion/clearance assessment,1
if absent,1
add green-roof fact,1
hvac status retrieval,1
resolve target location,1
issue off command,1
current temperature lookup,1
pm metadata/feed ingestion,1
latest reading lookup,1
pm feed ingestion,1
resolve meeting/room/date,1
optional room/floor/date filter,1
send off command,1
resolve free=available study space,1
filter/rank spaces,1
existing points connected,1
scope building/recent events,1
resolve conference room,1
note missing modalities/floor coverage,1
alarm-panel configuration check,1
current co2 where available,1
o2/co2/ventilation data retrieval,1
identify office/zone,1
asset-file ingestion,1
sensor-to-equipment/zone grouping,1
risk modelling,1
compliance thresholds,1
emf data retrieval,1
resolve control owner,1
person attribution,1
door-control safety rules,1
rule/control evaluation,1
mobile integration kb entries,1
availability and integration synthesis,1
access-entitlement feed,1
relevance inference,1
campus graph and integration-log retrieval,1
relationship inference,1
vendor/data-sharing contracts,1
privacy-use/sale synthesis,1
control capability config,1
channel/use-case formatting,1
feature normalization,1
plan adjustments,1
general optimization/comfort guidance,1
kg capability discovery,1
locate affected zone,1
source inference,1
standards threshold selection,1
general health/comfort knowledge,1
optimisation plan,1
access-control configuration,1
access-control reasoning,1
live ambient temperature streams where available,1
equipment thermal telemetry,1
manufacturer thermal thresholds,1
server-room cooling status/alarm feed,1
rack/server temperature telemetry,1
send scene/dim command,1
readiness plan,1
vehicle-user/session mapping,1
notification endpoint,1
subscribe to charge status,1
threshold rule(soc=100% or complete,1
mobile/signage guidance api,1
signage/mobile guidance action,1
sensor location and room mapping metadata,1
state/event derivation,1
sensor-to-room mapping metadata,1
count estimation/fusion,1
general sensor-method knowledge,1
sensor-feed requirement,1
lost-and-found records,1
collect item details,1
lost-found search,1
object-location analysis,1
candidate locations,1
sensor ingestion if needed,1
plug-load/device telemetry,1
push reminder,1
retrieve current temp,1
retrieve relevant sensor data,1
filter/rank empty rooms,1
modelled temperature/co2/humidity points floors 0-5,1
luminaire layout/design files,1
add inputs yaml,1
general comfort standards/ranges,1
comfort standard selection,1
retrieve live temp/humidity,1
optimisation with comfort/safety constraints,1
derive free bays,1
identify equipment/zone,1
retrieve temperature telemetry,1
compare to equipment thresholds,1
derive occupied/free,1
plan preconditioning/ventilation/amenities,1
temperature streams,1
audio event metadata/classifier outputs,1
control-loop/dimming command planning,1
contact-point ingestion,1
current point lookup,1
current/event lookup,1
configured co2 thresholds,1
temperature/co2/humidity streams where relevant,1
rank devices,1
access-control events if applicable,1
threshold/rule logic,1
capability/system-config lookup,1
strategic-improvement intent,1
safety/explanation intent,1
activity-pattern intent,1
visitor-management/access-control records,1
visitor-system lookup,1
derive control triggers/thresholds,1
resolve 'part'/'busiest' metric,1
after-hours scope resolution,1
simple threshold comparator,1
user/session location context,1
resolve 'this office',1
rank quiet available spaces,1
general egress/accessibility criteria,1
door/access-control feed,1
retrieve door/access status,1
apply egress rules,1
resolve corridor context,1
user-provided origin/destination/context,1
safety synthesis,1
evse and vehicle soc retrieval,1
active/severity filter,1
if no live stream,1
sensor-feed onboarding,1
book via [new] api,1
resolve/ask room or area,1
availability ranking,1
resolve/ask office,1
availability count/ranking,1
compute nearest exit/route,1
resolve corridor/location,1
user-provided origin/destination,1
user-to-session mapping,1
current mode retrieval,1
filter standby,1
resolve fan/zone,1
current value retrieval,1
equipment operational telemetry,1
retrieve available sensor data/reports,1
contact-state retrieval(latest,1
threshold/status evaluation,1
resolve door/context,1
latest door-status retrieval,1
state mapping,1
any-event evaluation,1
compute nearest safe route,1
risk fusion,1
resolve/ask user location and target zone,1
query restroom amenities,1
filter empty rooms,1
threshold judgement,1
conversation/session room context,1
sensor/point metadata,1
evidence synthesis,1
rank top 3,1
trade-off synthesis,1
sensor topology metadata,1
design synthesis,1
goal synthesis,1
loaded bldg1 facts,1
feature categorisation,1
sensor/zone/hvac linkage,1
network topology and monitoring feed,1
network dependency/runbook retrieval,1
impact/failover analysis,1
building.yaml/intents.yaml config,1
group device types,1
alarm feed status checks,1
general privacy knowledge,1
privacy/dpia docs in inputs/,1
access/audit logs,1
audit analysis,1
map area to hvac zone,1
retrieve hvac zones/sensors,1
adaptation explanation,1
resolve reference/type,1
rank/group alternatives,1
group/count sensor types,1
group space types,1
merge capability groups,1
confirm/log,1
ingestion/building config,1
capability/dataflow lookup,1
synthesize sensor-use map,1
floor/location metadata,1
outdoor feed lookup,1
compare indoor/outdoor availability,1
hvac filtration/o&m asset documentation (inputs file,1
confirm filtration assets and coverage,1
hvac ventilation operational telemetry,1
oxygen sensor metadata/telemetry,1
oxygen feed/control-rule lookup,1
event/action log check,1
synthesize seasonal control explanation,1
metadata/kb lookup,1
exterior image/status retrieval,1
cv flag detection,1
simple inference,1
define activity proxy,1
electrical as-built files in inputs/,1
ingest electrical assets/drawings,1
condition normalization,1
visibility check,1
count entrances,1
compute building age,1
classify old/new,1
distance filtering,1
kb current building area lookup,1
street building size retrieval,1
spelling/intent normalization,1
exterior/site imagery or site-plan file (add inputs/ file,1
exterior/site imagery or site-plan inputs,1
load site imagery/plan,1
scene/landscape annotation,1
extract/count window objects by floor,1
signage/ocr annotations,1
ocr/signage extraction,1
entity match,1
visual color extraction pipeline (derived annotations,1
gis parcel/land-use data source,1
accessibility/route annotations in inputs/,1
lift/status and accessibility data retrieval,1
route/matching optimisation,1
network ping/api status logs,1
reachability check/status retrieval,1
compliance/capability decision,1
identify missing modality,1
general thermal comfort/safety thresholds,1
eligibility check,1
external-plant asset/safety register,1
alarm/sensor analysis,1
risk/compliance synthesis,1
growth/viability modelling,1
plant-health retrieval,1
status derivation,1
action intent parsing,1
completion feedback,1
café lookup,1
compare options,1
candidate discovery,1
scoring/synthesis,1
modelled temperature/co2/humidity points,1
rank time slots,1
general llm meeting-size guidance,1
attendee-list retrieval,1
compute safe count,1
compare/rank candidate spaces,1
ingest door/access events,1
sensor metadata for floors 0-5,1
map uuids,1
floor/device metadata,1
group equipment by health function,1
ingest boiler telemetry/fault feed,1
derive run/fault/available state,1
format capability/status answer,1
general frequency-calculation knowledge,1
waveform ingestion,1
usage/flow derivation,1
airflow modelling,1
staff roster/skills/availability,1
load-shedding optimisation,1
comfort-effect synthesis,1
floor count,1
safety certificates/audit files in inputs/,1
entity normalisation,1
deployed pipeline capability metadata,1
human confirmation,1
status monitor,1
hr employee roster and skills database,1
office assignment/department mapping,1
hr skills retrieval,1
join employee-to-office-to-skill,1
all-floor environmental and safety sensor feeds,1
hr roster ingestion,1
count shifts,1
hr/staff roster,1
hr/project/attendance retrieval,1
sessionization,1
notification/nudge api,1
consent/profile check,1
activity feed ingestion,1
rolling inactivity detection,1
walking/cycling/transit route data,1
collect destination/time,1
route options api,1
compare modes,1
compute route costs,1
safety/accessibility check,1
list/rank naturally lit spaces,1
identify room and health criteria,1
control/action tool,1
collect missing order parameters,1
menu/pos api call,1
availability feed subscription,1
monitor loop/event detection,1
free-state detection,1
retrieve live readings,1
retrieve telemetry/reports,1
resolve restroom/location,1
cleaning log lookup,1
issue synthesis,1
active-status filter,1
cafeteria daily menu feed,1
menu api query for today,1
access-control status query,1
filter open entrances,1
package/mailroom tracking system,1
resolve recipient identity,1
package system query,1
status/count formatting,1
filter/rank available rooms,1
print-management/snmp status feed,1
printer status retrieval,1
map video-call goal to scene,1
rank quiet spots,1
filter free rooms,1
general efficiency assumptions,1
eui and load-profile analysis,1
safest-route derivation,1
rules health check,1
notification log check,1
facilities supplier metadata query,1
compliance/threshold logic,1
locate washroom issue,1
general comfort range,1
threshold logic,1
general indoor co2 guidance,1
user/conversation room context,1
resolve/ask user's room,1
outdoor air-quality api for cardiff/nearest station,1
outdoor aqi api query,1
aqi category formatting,1
category/explanation,1
door/access status retrieval,1
filter open now,1
availability decision,1
notification loop every 30 min,1
system clock/timezone,1
notification loop at target time,1
recency check,1
parcel/mailroom/courier log api,1
parcel intent,1
query parcel/mailroom logs,1
filter by recipient and today,1
issue blind-close command,1
issue blind-open command,1
resolve today's date,1
join affected locations/equipment,1
user/session room context,1
music catalog/streaming api,1
room audio device metadata and control endpoint,1
play via room audio control,1
resolve restroom,1
user-provided or session start location,1
resolve start and destination,1
lift status retrieval,1
platform clock/timezone resolver,1
platform clock,1
time intent,1
timezone lookup,1
platform clock lookup,1
map/route formatting,1
resolve aqi scope/period,1
aqi feed ingestion,1
current co2/temp/humidity streams,1
spell/intent normalisation,1
resolve period/location,1
safety/comfort constraint check,1
control action proposal,1
live server-room temperature/humidity stream for non-streaming floors,1
sensor mapping,1
reconcile conflicts,1
resolve 'here'/task context,1
parse criteria,1
resolve/ask origin and destination,1
compare alternatives,1
latest-event check,1
queue retrieval,1
general electrical tolerance knowledge,1
resolve meter/time window,1
user-provided/session location,1
recent-window check,1
emptiness derivation,1
compare to maximum,1
compare to humidity threshold,1
typo/entity normalization humanity-to-humidity,1
compare to low-humidity threshold,1
status/detection check,1
hvac operation/filter logs,1
rolling/aqi-style health scoring,1
co2 latest/rolling retrieval,1
prioritisation,1
missing streams/api ingestion,1
typo/intent repair,1
request missing reminder content/time,1
compute efficiency score/rank,1
retrieve active [new] alarms/status plus sensor data,1
user/device location feed or explicit room input,1
read live conditions,1
resolve target floor,1
compare with ventilation thresholds,1
user/dialogue location,1
select safe unused loads,1
rank locations/end-uses,1
route response,1
choose safe control action,1
compare/sort ascending,1
floor-0-4 live temp/co2/humidity streams,1
floor-0-4 live temperature streams if needed,1
monitor temperature feedback,1
resolve fan/context,1
unit normalisation,1
control state service,1
pf calculation/validation,1
expected-empty retrieval,1
current co2/humidity retrieval,1
define optimization objective,1
identify location,1
latest-completed lookup,1
issue dedup/prioritise,1
identity join,1
quiet-space label lookup,1
quietness scoring,1
ask target if absent,1
rank max user,1
sum/format,1
general planning criteria,1
parcel/gis data,1
zoning/planning records,1
transport/logistics data,1
factory requirements file,1
gis/zoning/utility/environmental ingestion,1
robot vendor specs/cost files in inputs/,1
workflow/logistics data,1
robot vendor specifications and costs,1
safety/risk criteria,1
workflow/traffic/vendor ingestion,1
"routing, safety and roi analysis",1
acceptance criteria/use-case file in inputs/,1
general equipment evaluation criteria,1
tabla asset/specification data,1
procurement/cost/vendor data,1
acceptance criteria/use-case file,1
asset/spec/log/cost ingestion,1
scope zones,1
aesthetic and comfort scoring,1
general server-room criteria,1
disambiguate 'surver' and criteria,1
aqi api retrieval,1
staleness/window check,1
status-feed retrieval,1
comfort target selection,1
lift controller status/fault telemetry,1
lift status/fault retrieval,1
controllable load metadata/control endpoints,1
unused-state inference,1
monitoring/confirmation,1
control/optimisation intent,1
general ventilation/comfort guidance,1
retrieve temperature stream,1
threshold/trend detection,1
av/signage telemetry,1
identify display/location,1
diagnostic summary,1
identify room/microphones,1
existing co2 only as weak optional proxy where live,1
state fusion,1
booked-empty detection,1
compare occupied vs booked,1
general thermal-comfort knowledge,1
hvac/airflow status,1
retrieve available temp/humidity/co2,1
compare zones/trends,1
dialogue-provided location,1
retrieve co2/humidity/temp,1
time-align,1
rank lowest co2,1
visual/table,1
general llm threshold knowledge,1
apply general safety thresholds,1
feeds for full coverage,1
compliance/threshold intent,1
building context lookup,1
threshold/exposure evaluation,1
compare certifications/limits,1
ventilation status retrieval,1
adjust/rollback if needed,1
available temperature/co2/humidity where live,1
entity/time resolution,1
trend/change analysis,1
room/area resolution,1
room-to-point metadata,1
lift/corridor/access queue status feed,1
collect origin/destination,1
retrieve congestion feeds,1
path cost optimisation,1
visual route,1
compare exit path lengths,1
alarm status/log retrieval,1
self-test/heartbeat checks,1
structural drawings/bim and construction records (new files in inputs/,1
structural drawings/bim/construction records,1
applicable building-code/compliance corpus,1
ingest [new] structural/compliance documents,1
compliance/risk synthesis,1
rank inefficient systems,1
utility/generation/grid data retrieval,1
asset condition/fault telemetry,1
filter in-service,1
indoor-positioning feed,1
derive target,1
general emergency guidance,1
emergency-procedure kb lookup,1
exit discovery,1
exit-status feed retrieval,1
space discovery,1
availability filtering,1
synthesize subsystem overview,1
floor-finish retrieval,1
apply heel-suitability criteria,1
rank/list doors,1
trend/significance test,1
general plant/equipment humidity guidance,1
electrical constraints,1
plant locations/species,1
ingest fixture/electrical/plant data,1
photometric suitability analysis,1
rank replaceable bulbs,1
general plant guidance,1
window/shading metadata,1
optional temp/rh viability check,1
compliance/safety evaluation,1
define ergonomic/glare criteria,1
distance computation,1
hvac airflow feasibility analysis,1
threshold/min scan,1
list areas and times,1
performance diagnosis,1
temperature check,1
lower blinds,1
access/cleaning-log retrieval,1
resolve work areas,1
derive eligible zones,1
compare/interpolate temperatures,1
hvac operating-state feed,1
live audio/snr or speech-intelligibility feed,1
audio level/intelligibility feed,1
line-of-sight/cv visibility model,1
video or people-position feed,1
visibility model inputs,1
fov and occlusion analysis,1
ventilation plan,1
compare with voice-call threshold,1
define spike threshold/classes,1
event detection/classification,1
daily counts,1
monitored response,1
blind/window orientation metadata,1
general glare comfort limits,1
air-velocity retrieval,1
draft map,1
compute laeq/l90 over occupied window,1
retrieve temperature series,1
guitar source profile if not measured,1
resolve source and neighbor spaces,1
propagation/attenuation model,1
compare predicted neighbor level with background/audibility thresholds,1
house/hvac zone topology (inputs/ttl or capability yaml,1
"resolve house/zone, wake time and target",1
confirm/response,1
calculate avoidable load,1
resolve building/location,1
protection/cert lookup,1
risk rules,1
away-state retrieval,1
smart meter current read,1
window-state sensor feed,1
resolve home/space,1
resolve a/c asset,1
thermal model parameters (new inputs/ file,1
thermal parameters input file,1
nightfall time from dialogue/config,1
general mold/rh thresholds,1
ventilation status,1
resolve bathroom,1
humidity/temperature retrieval,1
moisture/ventilation retrieval,1
mold/damage risk explanation,1
compare to 60%,1
infiltration analysis,1
living-room/tv asset metadata,1
diagnose glare source,1
plan mitigation,1
resolve tub/zone,1
flow/pressure retrieval,1
list faucets,1
retrieve flow/pressure data,1
normalize by rated flow,1
rank suspect faucets,1
crack-detection outputs,1
crack detection,1
compute duration interval,1
select unnecessary loads,1
control-loop commands,1
threshold filter,1
existing temperature/humidity/co2 where live,1
retrieve humidity history where available,1
threshold/risk analysis,1
live humidity where available,1
resolve stove,1
state check,1
pet-location retrieval,1
confidence check,1
ventilation/window-state retrieval,1
eta calculation,1
user-to-space assignment data,1
resolve windows/location,1
user-space/window mapping,1
window/moisture status retrieval,1
fusion/any-window detection,1
local transit/maps/gtfs feed,1
transit/maps api retrieval,1
epd/lca factor database,1
retrieve [new] lca factors,1
travel/commute data,1
contaminant/hazard retrieval,1
add bacnet/brick points,1
commissioning/air-balancing records (inputs/,1
commissioning/air-balancing inputs,1
workstation/window geometry files (inputs/,1
blind/shading state feed,1
workstation/window geometry inputs,1
sun/luminance/shading retrieval,1
envelope fabric/u-value documents,1
envelope spec ingestion,1
structural health sensor feed,1
disambiguate stability type,1
site and habitat data ingestion,1
habitat/gis site layers (inputs/ files,1
habitat map/gis layers (inputs/ files,1
habitat/species data retrieval,1
create alarm rule,1
confirm and monitor,1
availability merge,1
airflow/pressure retrieval,1
general ashrae data-centre guidance,1
crac/fan status,1
rack inlet/outlet temperature feed if needed,1
rack airflow/thermal retrieval,1
general humidity safety guidance,1
resolve server room/rack,1
temperature retrieval/[new] telemetry,1
access-control or smart-lock status feed,1
resolve door/location,1
access-control status lookup,1
status formatting,1
latest-state check,1
dimming/status retrieval,1
compare dim level,1
equipment resolution,1
derive spinning flag,1
threshold and phase check,1
latest/average formatting,1
disambiguate active=open vs online,1
status retrieval,1
status check,1
time-window detection,1
resolve/ask location and window,1
dust/pm retrieval,1
aqi/threshold derivation,1
general accessibility guidance,1
accessibility audit metadata in inputs ttl/yaml,1
accessibility audit lookup,1
compliance checks,1
annual traditions/events file in inputs/ yaml,1
ingest traditions/events yaml,1
existing hvac metadata,1
procedural summary,1
green certification records in inputs/ folder,1
it monitoring/performance feed,1
ontosage system capability metadata,1
semantic phrase mapping,1
modelled co2/temperature/humidity points,1
ontosage capability metadata,1
apply ranking criteria,1
city planning/gis records,1
business/poi and census-style local datasets,1
identify building opening date,1
ingest/retrieve neighborhood datasets,1
heritage/curatorial records,1
artifact register retrieval,1
answer with evidence,1
building/site metadata,1
local folklore archives,1
historical society/publication corpus,1
site lookup,1
archive maps/planning files in inputs,1
cardiff planning/gis/land-registry records,1
local archives,1
building/site lookup,1
parcel/geocode match,1
retrieve historical maps/planning records,1
interior-design colour-palette rationale (new files in inputs/ folder,1
lobby/interior design palette rationale document (new files in inputs/,1
fact extraction,1
design-tour/easter-egg annotations (new files in inputs/ folder,1
"building design-tour notes, interpretive signage, or architect annotat",1
yes/no evidence extraction,1
original architectural design brief/style-intent metadata (new files i,1
original architectural design brief or style-intent record (new files ,1
style-intent extraction,1
local code/regulatory requirement files in inputs/,1
requirements synthesis,1
modification/change-log files (new files in inputs/,1
renovation/change-log files in inputs/,1
permit/as-built/project records as data source,1
cultural/design narrative or organisational-values files in inputs/,1
architectural design brief or stakeholder-values documents in inputs/,1
interpret parts as spaces/equipment/amenities,1
"architectural design brief, brochure or design-award documents in inpu",1
define uniqueness criteria,1
ingest/index design documents,1
synthesize response,1
design-document ingestion,1
sensor-stream availability metadata,1
ask/resolve incident-time-location,1
alarm/event retrieval,1
privacy/consent metadata,1
safety/alarm retrieval,1
floor/device hierarchy metadata,1
centralization summary,1
supplier catalogue/procurement api,1
reorder-rule evaluation,1
supplier/procurement workflow,1
order status,1
resolve open-plan spaces/system,1
retrieve safety-relevant systems,1
rank by h&s criticality,1
resolve 'occupy',1
live stream availability check,1
stream/capability availability check,1
feature-benefit synthesis,1
ecology sensor ingestion,1
utility/fairness optimisation,1
access-control status feed,1
control/emergency intent,1
emergency event retrieval,1
issue unlock commands,1
phone app/session api,1
indoor positioning feed,1
destination resolution,1
phone location/app session,1
generate turn-by-turn route/map,1
send to app,1
compare collected vs ignored modalities,1
confidence scoring,1
optimization/planning,1
odor labels/taxonomy,1
context lookup,1
classifier/feedback scoring,1
anonymized visitor token/tracklet events,1
event/token stream retrieval,1
tracklet association/deduplication,1
privacy filter,1
visitor-management database,1
privacy/consent records,1
access-event retrieval,1
identity/time fusion,1
telemetry/log retrieval,1
restart/control action,1
threat/coverage analysis,1
capability/privacy kb lookup,1
approval/interlock,1
feature ranking/synthesis,1
normalize eui,1
cleaning status ingestion,1
route + wait-time prediction,1
guidance/control dispatch,1
exposure modelling,1
stair-count retrieval,1
lift-lobby queue/wait-time series,1
general safety-code knowledge,1
redundancy check,1
photometric/safety check,1
labelled food-odor dataset/model,1
kitchen/cafe source-location metadata,1
food-odor classification,1
secluded/quiet scoring,1
ranked map/response,1
natural-language guidance,1
people-flow ingestion,1
door lock/controller states,1
door control/audit,1
shutdown procedures/api status,1
device criticality metadata,1
identify gaps,1
available temp/humidity streams where live,1
server telemetry,1
define safety criteria,1
retrieve live env and [new] safety feeds,1
identity/zone resolution,1
privacy/consent filter,1
system configuration metadata,1
compare central platform vs live stream status,1
current co2/temp/humidity streams where available,1
causal hazard analysis,1
topology/capability lookup,1
network/iam config query,1
sanitation standards/thresholds in kb,1
electrical/procedure retrieval,1
fail-safe sequence synthesis,1
