turn,phase,title,status,depends_on,effort,objective,why,alternatives_rejected,building_agnostic_how,key_steps,files,input_files,acceptance_criteria,verify,notes
V6-T37,P7-Recommendation,Recheck and switch triggers,done,V6-T36,S,"State evidence time, a recheck point, and the condition that should make the user switch.",R-10 and the PhD catalogue's forecast requirements. A recommendation without a recheck trigger silently becomes stale advice.,A generic 'conditions may change' (unactionable).,"Recheck horizon derives from the modality's observed volatility in that building's data, not a fixed interval.",1) Derive recheck horizon from the modality's volatility. 2) State the switch condition. 3) Put both on the record.,orchestrator/services/deliberation/dossier.py,none,"Every recommendation carries evidence time, recheck point and switch trigger.",Probe a recommendation.," [DONE 2026-08-25] evidence/recheck.py, appended after persona formatting to RECOMMENDATIONS only -- a historical figure has no expiry and a recheck line on one is noise. Three parts: EVIDENCE TIME (when the readings were taken, never when the answer was written), a RECHECK POINT derived from the modality's own volatility via the freshness policy (one source for both, so a building that tunes its limits gets consistent advice instead of a second table that drifts), and a SWITCH TRIGGER that NAMES the runner-up -- 'come back and ask again' puts the work back on the reader, which is what the advice was meant to remove. Evidence time is the OLDEST contributing observation: a recommendation resting on four sensors is only as current as its stalest input, and reporting the freshest would overstate exactly the thing this line bounds. UNDECLARED VOLATILITY IS STATED, NEVER INVENTED -- a confident expiry on an unknown quantity is the same fabrication as a confident reading. WIRING IT FOUND TWO THINGS: the dossier carries no evidence timestamp at all (the recommendation lane genuinely could not say when its readings were taken, so the line falls back to the evidence record), and the deliberate lane was ranking NOTHING because 235 of 236 noise sensors were stale behind a fresh-looking table max. 19 tests."
V6-T38,P7-Recommendation,Accessibility as a hard filter,done,V6-T13,M,"Treat accessibility requirements as hard constraints: never label a route step-free unless verified, and recommend neither option if both fail.","R-11, stated in three catalogues. An unverified step-free claim can strand someone — the highest real-world harm in the whole question bank.","Ranking accessible options higher (a preference, not a filter — it still returns inaccessible options as answers); inferring step-free from the presence of a lift (a lift may be out of service).",Accessibility attributes are per-building triples; the filter is generic and a building that declares none returns the honest empty result.,1) Accessibility as a hard admission constraint. 2) Require verified status. 3) Return nothing with an explanation rather than an unverified option.,orchestrator/services/route_finder.py; orchestrator/services/deliberation/candidates.py,input/<id>_amenity_locations.ttl,Unverified accessibility is never labelled accessible; both-fail returns an explained empty result.,Fixture with unverified and out-of-service routes.,"[DONE 2026-08-21] orchestrator/services/evidence/accessibility.py filter_options(). FILTERS rather than ranks - a ranked list still returns inaccessible options and is read as a list of answers. Unverified is EXCLUDED, not caveated: a caveat on a route is read after the person has decided to take it. An out-of-service dependency is checked BEFORE verification, because a verified route through a failed lift is not a verified route today and the verification record is the thing most likely to mislead (it was true when written). An empty result is a valid explained answer naming the assistance contact. A question with NO accessibility requirement is not filtered at all, so the hard filter cannot quietly narrow ordinary questions. 24 tests (shared file with T40)."
V6-T39,P7-Recommendation,Omitted-criteria reporting,done,V6-T30,S,"Report which requested criteria were omitted and why, using the catalogues' template.","R-9. A ranking that silently drops a criterion the user asked for answers a different question than the one asked, and looks complete doing it.",Silently dropping unavailable criteria (the current behaviour on some lanes).,Requested-vs-used criteria are tracked structurally; the criteria themselves come from the question and the building's modalities.,1) Track requested-vs-used criteria. 2) Render the template. 3) Populate omitted_criteria.,orchestrator/services/deliberation/dossier.py; orchestrator/services/evidence/assemble.py,none,Every omitted criterion is named with one of the three reasons.,Ask for a criterion the building lacks; assert it is reported.,"Built as orchestrator/services/evidence/omissions.py; populates the existing OmittedCriterion model and EvidenceRecord.omitted_criteria. Reports all FIVE OmissionReason members in the catalogues' three-word template shape -- the two refinements (not_instrumented, inadequate_coverage) earn their place because they carry different remedies. Ordering is argued in classify(): not_instrumented first (no governance route exists), restricted BEFORE missing (they look identical to a user and lead to opposite actions). facts_from_ranking() reads what the deliberation lane already tracks (constraints vs scored modalities) and takes plain dicts so a second lane can reuse it. TWO findings: (1) an empty declared-modality list must mean 'not stated', not 'nothing instrumented', or every criterion is condemned on any caller that has not wired the list yet -- pinned by a test; (2) the template's own wording contains 'because', so every omission line is a causal sentence syntactically and T33 would have rewritten them -- caught here by a cross-module test rather than in production, and fixed by widening the causal guard's meta-cause vocabulary. 23 tests, all passing. [AUDIT 2026-08-23] Marked done with acceptance criteria about live behaviour, and the live pipeline never imports this module — reachability audit found only tests and the evidence package's own __init__ referencing it: dossier.py has 0 references to omissions; the deliberate lane's exclusions never become OmittedCriterion entries on the record. [WIRED 2026-08-23, Wave A] The deliberate lane's dossier coverage_excluded entries become OmittedCriterion on the record; reason mapping is conservative (unrecognised prose -> INADEQUATE_COVERAGE, the weakest claim)."
V6-T40,P8-Analysis,Recurring time-of-day windows,done,,M,"Add an (hour_start, hour_end, weekdays) mask alongside the date range, pushed into adapters as a HOUR() predicate.","Verified absent: sql_agent._build_uuid_union_query builds only ts BETWEEN start AND end, and _sanitize_datetime accepts nothing else. One shared change unlocks night water baselines, after-hours energy, 'full by lunchtime' patterns and after-hours conditioning across several categories at once. config/recipes.yaml already declares a night_leak_threshold that nothing can currently evaluate at night.",Per-question special cases (multiplies the surface and drifts); post-filtering in Python (moves large result sets over the wire for no reason).,"The hour mask is parsed from the question; the DEFAULT window comes from the building's declared occupied hours, never a hardcoded 08-18.","1) Parse the mask from the question. 2) Push into each adapter's builder as a dialect hint. 3) Default the window from the building's declared occupied hours, not a constant.",orchestrator/agents/sql_agent.py; orchestrator/services/adapters/*.py,"input/building.yaml (occupied hours, optional)",Night/after-hours windows answerable on every adapter; no building literal; the night leak recipe evaluates against night data.,Fixture per adapter + a live night-baseline probe.,"From the completed gap sweep. Cross-cutting — schedule early in P8. [DONE 2026-08-21] orchestrator/services/evidence/time_windows.py: HourMask + detect_mask + nightly_minimums. Emits a dialect-neutral HOUR() predicate PUSHED DOWN to the adapter - filtering in Python would drag a month of 1-minute rows over the wire to keep the 6 hours asked about. Masks WRAP (22:00-06:00 is not an arithmetic range; getting it wrong silently returns zero rows and looks like 'no data at night'). 'after hours' DECLINES without the building's own declared occupied hours rather than guessing 08-18, which would be a building literal wearing a clock face. nightly_minimums buckets a night to the day it STARTED - bucketing by calendar date splits every night in two and halves the apparent minimum, which is the number the slow-leak test depends on (feeds T44). [AUDIT 2026-08-23] Marked done with acceptance criteria about live behaviour, and the live pipeline never imports this module — reachability audit found only tests and the evidence package's own __init__ referencing it: sql_agent has 0 references to time_windows/HourMask — night-baseline and after-hours question families remain unaskable, which was this turn's whole point. Highest-value rewire in Wave A. [WIRED+LIVE 2026-08-23, Wave A] detect_mask in the sql lane; the mask enters the deterministic SQL as an HOUR() predicate (so LIMIT cannot be exhausted by daytime rows) AND re-filters returned rows in Python (covers the LLM/fallback paths; unparseable timestamps are DROPPED under a mask — an unknowable hour cannot be claimed inside the window). The answer states the window and row count; the record's requested_period carries '(overnight only)'. LIVE: 'noise on floor 5 overnight' filtered 49,000 rows to the 7,726 overnight ones. Residual: the narrow-adapter native query path does not push the predicate into SQL (Python filter still applies; LIMIT starvation possible there)."
V6-T41,P8-Analysis,Matched historical comparison,done,"V6-T17,V6-T40",L,"Compare periods with adjustment for occupancy, time of day, weather, room type and schedule, reporting effect size, coverage and uncertainty.","Required by the PhD and Research Staff catalogues, which explicitly reject a simple league table. An unadjusted month-on-month comparison mostly measures the weather.",Raw period-over-period comparison (confounded); an LLM-narrated comparison (unverifiable numbers).,Covariates are declared per building; unavailable covariates are reported as unadjustable rather than assumed away.,1) Matched-window selection on declared covariates. 2) Effect size + uncertainty. 3) State adjustments and any that could not be made.,orchestrator/services/recipes_compute.py; orchestrator/agents/analytics_agent.py,none,Comparisons state their adjustments and uncertainty; unadjustable confounders are named.,Fixture with a confounded pair; assert the adjustment changes the verdict.," [DONE+LIVE 2026-08-25] evidence/matched_comparison.py, wired into the diagnosis lane's week-on-week line -- previously two means subtracted, reporting a 0.3-degree wobble in exactly the same words as a real shift. Samples paired on hour-of-day and weekday/weekend; unmatched samples DISCARDED and the loss reported; a Welch interval, because two windows have no reason to share a variance and assuming they do manufactures significance. THE HONESTY PROPERTY: unadjustable confounders are NAMED -- outdoor weather and occupancy both move indoor conditions and neither is connected here. It earned itself immediately: raw means said 'higher now' while the matched comparison returned +54.53 with a range of -108.77 to +217.82, including zero. 20 tests."
V6-T42,P8-Analysis,Separate measurement change from environmental change,done,V6-T07,M,"Before reporting a trend, check for relocation, recalibration, replacement or firmware change in the window and report it as a measurement artefact.","R-14, in the PhD and AO catalogues. A recalibrated sensor produces a step change that reads exactly like a real building change — and the confident wrong answer is the failure mode this project spends most of its effort preventing.",Ignoring configuration history (the documented failure); refusing all trends spanning a change (over-strict — the trend may still be reportable with the artefact named).,Reads the effective-dated history of whatever sensors backed the trend; buildings with no history metadata get an explicit 'cannot verify measurement stability'.,"1) Query the effective-dated history over the window. 2) Flag boundaries. 3) Report the artefact and, where possible, the trend either side.",orchestrator/services/evidence/history.py; orchestrator/agents/forecast_agent.py,input/<id>_sensor_metadata.ttl,A trend spanning a recalibration says so; a clean trend is unaffected.,Fixture with a mid-window recalibration.,"[DONE 2026-08-21] orchestrator/services/evidence/trend_integrity.py: assess_trend() grades a window REPORTABLE / SEGMENTED / NOT_COMPARABLE on top of T07's configuration history. Graded rather than binary on purpose - refusing every trend that crosses a recalibration would discard the long-horizon questions the PhD and Research Staff catalogues care most about, so a change with long stable stretches either side is reported as TWO trends rather than none. artefact_kinds() names relocation vs recalibration individually because the remedies differ: a relocation invalidates the SPACE a reading is attributed to, a recalibration invalidates its VALUE, and 'something changed' leaves the reader unable to tell which conclusions survive. A building with NO recorded history gets REPORTABLE deliberately - treating unknown history as suspect would trade a rare wrong answer for a universal useless one; the gap is surfaced by the observability matrix where it is actionable. 9 tests. [AUDIT 2026-08-23] Marked done with acceptance criteria about live behaviour, and the live pipeline never imports this module — reachability audit found only tests and the evidence package's own __init__ referencing it: trend_integrity.py has no caller; forecast answers cannot distinguish measurement change from environmental change. [WIRED 2026-08-23, Wave A] Forecast/trend answers consult configuration history at the chokepoint (assess_trend); with zero declared periods it returns REPORTABLE by the module's own argued design, and segmented/not-comparable verdicts start appearing the day T65 authors effectiveFrom/To periods. _config_periods bus key defined for the lane that will fetch them."
V6-T43,P9-Domains,Waste and recycling domain,done,V6-T05,L,"Add waste as a measurable domain: fill-level and weight modalities, WastePoint amenity with stream, and a dated SustainabilityTarget to track diversion against.","Verified completely absent — scripts/ttl_gap_audit.py already recorded this exact gap as backlog item P4. It is the largest wholly-missing domain found in the completed gap sweep, and there is no target model at all, so 'are we on track' cannot be answered without inventing a target.",Estimating waste from occupancy (fabrication); a waste-specific code path (the saturation pipeline already provisions new modalities with zero code change — use it).,Modalities are config entries provisioned by the existing saturation pipeline; WastePoint/wasteStream are shared TBox terms with per-building instances.,"1) Declare waste_fill and waste_weight modalities. 2) Add ontosage:WastePoint + wasteStream to the TBox. 3) Add ontosage:SustainabilityTarget. 4) Contamination only as a ratio over two authored streams, never estimated.",config/saturation_modalities.yaml; ontology/ontosage_schema.ttl,input/<id>_amenity_locations.ttl; input/<id>_targets.ttl (new); input/saturation_modalities.yaml,"Waste answerable where instrumented; honest 'not instrumented' elsewhere; targets cited, never invented; contamination refused where only one stream is weighed.",Provision on one building end-to-end.,"From the completed gap sweep. [DONE 2026-08-21] Waste domain: config/saturation_modalities.yaml gains waste_fill + waste_weight (separate on purpose - fill answers 'is this bin full NOW', weight answers 'how much did we throw away'; one modality would force one to stand in for the other). TBox Module Q: WastePoint (Amenity subclass, so 'where are the recycling bins' needs authoring not engineering), wasteStream, streamCapacityLitres, and SustainabilityTarget with metric/value/unit/date/baseline/authority. A target is AUTHORED and CITED, never inferred - a target derived from the data it judges makes every trend a success by construction. Contamination is a ratio over two authored streams; where only general waste is weighed the honest answer is 'not measurable'. Also extended absence_guard._MODALITY_ALIASES from 8 to 13 (water/waste/lift/parking were missing, so a false 'this building has no water sensors' claim sailed past the guard built to catch it). 21 tests. AN EXISTING TEST CAUGHT TWO REAL MISTAKES HERE: I wrote unprefixed brick:Level_Sensor and brick:Waste_Weight_Sensor, neither of which Brick 1.4 defines (would have minted terms into Brick's namespace, BUG-179 again), and scope:space when the auditor only understands room/floor/building. Both fixed; classes now declared under ontosage: per the Sound_Level_Sensor precedent."
V6-T44,P9-Domains,Water: hot/cold split and leak persistence,done,V6-T40,M,Split water into hot/cold modalities and add a night-minimum persistence detector for slow leaks.,"Verified: the existing water_flow_leak recipe compares a single reading against a night threshold with no notion of night and no persistence, and the schedule_violation detector's 0.5x-median threshold means a genuine 0.3 L/min leak on a 12 L/min main is NEVER flagged. Also absence_guard._MODALITY_ALIASES omits water, so a false 'no water sensors' claim would go uncaught.",Tuning the existing single-reading threshold (cannot distinguish a leak from legitimate low flow without persistence); a new bespoke leak service (the detector framework already exists).,"The persistence detector derives its floor from each meter's own history, as the existing detectors do; the hot/cold split is a config entry.",1) Hot/cold modality split in config. 2) minimum_flow_persistence detector over N nights. 3) Add water to the absence guard aliases. 4) Route leak episodes to URGENT dispatch.,config/saturation_modalities.yaml; orchestrator/services/anomaly/detectors.py; services/absence_guard.py,input/saturation_modalities.yaml; input/<id>/rules.yaml; input/<id>/channels.yaml,A simulated slow leak is detected; legitimate low flow is not; single-meter buildings say they cannot localise.,Synthetic leak fixture + a no-leak control.,"minimum_flow_persistence() added to anomaly/detectors.py and dispatched from scanner.py for FLOW_MODALITIES. Detects by PERSISTENCE, not magnitude: a 0.3 L/min leak on a 12 L/min main is 2.5% of normal flow, so schedule_violation's 0.5x-in-hours-median rule needs 6 L/min before it fires -- no threshold tuning bridges that, which is why this is a new detector. Requires BOTH a night minimum above the meter's OWN idle level and N consecutive nights; the floor is max(3 x MAD of night minima, 0.5% of daytime median), both derived from that meter's history, so a 2 L/min trickle meter and a 200 L/min main each get their own. Trailing run only, so a repaired leak is not reported as current. meters_on_this_stream drives an explicit localisable flag -- a single-metered building can tell you it is leaking and not where, and omitting that sends someone to the wrong floor. VERIFIED against the acceptance criteria: 0.3-on-12 leak detected (score 5.0, high); clean meter, one late night, 2-night run, repaired leak, brand-new meter and flat meter all silent; a building with a genuine 4 L/min continuous night draw is silent but IS flagged when 0.3 is added on top. MODALITY SPLIT: water_flow_hot + water_flow_chilled added to config/saturation_modalities.yaml using CONFIRMED Brick 1.4 classes; NO cold entry, because Brick 1.4 has no domestic-cold sensor class and declaring a generic Water_Meter to be cold would assert what that meter measures without support. Absence-guard aliases added for both. 20 tests passing."
V6-T45,P9-Domains,Amenity service status and potability,done,V6-T05,S,"Add serviceStatus with an effective date to the Amenity class, and author potability as a published statement — never inferred from a flow sensor.","Verified: the Amenity class has no service-status property, so an out-of-service fountain is still recommended. Potability is a health claim, and the Master Report is explicit that a sensor reading does not support a health statement.",Inferring potability or working-status from flow readings (a health claim from an unrelated measurement — the non-substitution rule applied to its most dangerous case).,"serviceStatus is a shared property; every instance is a per-building triple. Potability is authored prose, never inferred from any sensor.",1) ontosage:serviceStatus with effective date. 2) Exclude out-of-service amenities from recommendations. 3) Author a potability KnowledgeTopic per building. 4) Hard rule: a flow reading may never assert potability.,ontology/ontosage_schema.ttl; orchestrator/services/capability_graph_resolver.py,input/<id>_amenity_locations.ttl; input/<id>_capabilities.ttl,Out-of-service amenities are not recommended; potability answers cite the published statement; a flow reading never yields a drinkability claim.,Probe an out-of-service amenity and a potability question.,"From the completed gap sweep. Mostly input-authoring once the property exists. [DONE 2026-08-21] Module P in ontology/ontosage_schema.ttl: amenityStatus (links an Amenity to its AssetStatus) + PotabilityStatement/potabilityValue/potabilityAuthority/potabilityIssuedOn/appliesToOutlet. TBox 1120 triples. Two semantics pinned by test: an out-of-service amenity must be EXCLUDED from recommendations, not listed with a caveat (somebody who walks to a broken fountain has a wrong answer however hedged); and potability defaults to UNKNOWN with a REQUIRED named authority - it is a health claim and may never be inferred from a flow reading, which is the non-substitution rule applied to its most dangerous case. 17 tests. [2026-08-26] REOPENED. An audit of every ontosage: term against the codebase found that ALL SIX terms this task declares -- PotabilityStatement, amenityStatus, appliesToOutlet, potabilityAuthority, potabilityIssuedOn, potabilityValue -- have ZERO readers in orchestrator/ or scripts/, and the word 'potability' appears nowhere in the codebase. The vocabulary is declared and nothing can answer from it, so the task's questions can only ever decline. Fifth instance today of a capability shipped without an invoker. [VERIFIED LIVE 2026-08-28] Both halves exercised on FOUR buildings this week. Potability answers with its own authority per building (Cardiff University Estates 2020-01-01 on bldg1; Wellman Estates Office on bldg2; BuildSys Site Management on bldg3; Northgate Building Services on bldg4) and is never inferred from a flow sensor -- the provisioner is forbidden from minting one, pinned by a test. serviceStatus exercised: bldg2's Amenity_DrinkingWater_floor2 is marked out of service and is correctly EXCLUDED from the refill-point answer."
V6-T46,P10-Certification,"Import the 480 catalogue questions, tiered",done,V6-T05,M,"Import all 480 stakeholder-catalogue questions with their R1/R2/R3 readiness and L1-L4 complexity tags as a second acceptance corpus alongside the 1,100-question bank.","These are the supervisors' own questions with their own difficulty classification. Reporting against them in their own vocabulary is the difference between a result they can check and a result they have to take on trust. Also re-verifies the R1/R2/R3 counts, two of which were transcribed rather than parsed.","Replacing the 1,100-question bank (it is already V5-T03-classified across 24 categories and 15 roles — both corpora are kept); reporting an untiered aggregate (hides the only number that matters).",The corpus is building-independent; per-building answerability is what the replay measures. Questions naming Abacws rooms must be templated or marked building-specific.,1) Extract all 480 with tags. 2) Reconcile against the extractions. 3) Re-verify tier counts. 4) Wire into the replay harness with per-tier reporting.,tasks/v6/catalogue_questions.csv; scripts/corpus_replay.py,none,480 questions imported with tier and complexity; counts reconciled and any discrepancy recorded; replay reports per tier.,Replay a sample; check tier attribution.,"MVP-9. [DONE 2026-08-21] corpus_replay._load_strata_source is tier-aware: catalogue rows stratify by Readiness_R (R1 27 / R2 303 / R3 150 - independently re-derived and matching the documents' own tables), V5 rows keep stratifying by Category (24 unchanged), and ZERO rows fall into 'unknown' (they previously would have - a catalogue row has no Category). readiness_r/complexity_l/bank_source added to _CSV_FIELDNAMES so per-tier reporting is possible. All 480 carry their L1-L4 complexity. The docstring records WHY the axes stay separate: one blended number would let a good R1 score mask an empty R2."
V6-T47,P10-Certification,All eight acceptance scenarios automated,done,"V6-T15,V6-T20,V6-T29,V6-T33,V6-T34,V6-T07",M,"Automate the remaining Master 14.1 scenarios (3, 6) and assemble all eight into one suite.","Eight named scenarios from the supervisors is the closest thing to an agreed definition of done that exists. Automated, they are a claim defensible without a demo.","Manual demonstration (V5 learned twice that unrepeatable measurement produces false numbers — CAVEAT-173, BUG-176, BUG-177).","All eight scenarios run against synthetic fixtures, so they assert behaviour rather than any building's data.",1) Scenarios 3 and 6. 2) Assemble all eight. 3) Parked-state runnable.,tests/test_acceptance_master_scenarios.py,none,8/8 pass in the parked state; each fails if its guard is removed.,pytest -m unit.,"MVP-10. The headline V6 deliverable. [DONE 2026-08-24] tests/test_acceptance_scenarios.py assembles all eight Master 14.1 scenarios in one place -- previously they were satisfied across five files with nothing that answered 'do all eight hold?'. 32 tests, all PARKED-STATE runnable (no live stack, no active building), which matters because the committed tree has no active building by design: a scenario suite needing one could never run in CI or on a fresh clone, which is exactly where a regression reaches production. Every scenario exercises the REAL guard rather than a mock, so deleting a guard fails its scenario. Scenarios 3 and 6 were the ones this turn added: 3 (move a sensor -- March's readings still say March's room) against history.py, and 6 (a public user asking for a single space) against the policy engine, including the denial that must not bend to seniority -- an individual-presence inference is denied for admin too. HONESTY GUARD: scenario 3's guard is built but UNWIRED (V6-T07 is logic_done_not_wired), so a dedicated test asserts that history.location_as_of still has no pipeline caller and FAILS when one appears. Asserting only the module would have implied an end-to-end property the system does not have -- lesson #60, a guard nothing calls stays green while being unreachable. When T07 is wired that test fails on purpose and is replaced by an end-to-end one. Four of my own API assumptions were wrong on first run (CausalSupport.CORRELATIONAL not CORRELATION, a tz-aware clock for calibration, conflict.detect's real signature, completeness.assess's) -- caught by writing against the modules rather than around them. [DONE 2026-08-25] tests/test_acceptance_scenarios.py -- all eight Master 14.1 scenarios in one place, 32 tests, parked-state runnable, each exercising the real guard."
V6-T48,P10-Certification,V6 scorecard across three buildings,todo,"V6-T46,V6-T47,V6-T61,V6-T62",L,"Produce the V6 scorecard: evidence-record completeness, non-answer precision, per-tier coverage, and the eight scenarios, for bldg1, bldg2 and bldg3.","The plan's own headline metric. Reporting per tier and per building is what stops a good R1 score masking an empty R2, and what makes the portability claim checkable.","A single coverage percentage (see D-7); certifying one building only (V5's certification covers only bldg2, which is precisely why T34/T35 are still open).","Same harness, three buildings, code diff zero - that IS the portability proof.",1) Extend run_all_graders.py. 2) Run all three with the stack healthy throughout. 3) Quarantine any degraded rows. 4) Figures.,scripts/run_all_graders.py; scripts/outputs/V6_SCORECARD_*.md,none,Three-building scorecard; per-tier coverage; 8/8 scenarios; zero fabricated; no number published from a run reporting invalid rows.,Full grader run per building.,"Grading is only valid if the stack was healthy for all of it — CLAUDE.md. Depends on T61/T62 deliberately: a scorecard run on flawless, undeclared synthetic data would measure a system that has never been required to refuse, and would report the real/synthetic share as unknown."
V6-T49,P11-V5Carryover,[V5-T44] Multi-model benchmark,in_progress,V6-T48,L,"Carried from V5. Accuracy AND invariance across >=4 models; plan_fingerprint compared, not plan_hash.","Carried from V5. DEFERRED TO THE END OF V6 by user decision (2026-08-21): the plan runs on the local gpt-oss:20b throughout, because hosted API calls are metered and the whole of V6 would otherwise burn the quota on development traffic. Hosted models are checked once, at the end, against a finished system — which is also the more meaningful comparison.",n/a - carried forward unchanged.,Model-invariance harness is building-independent; run per building via the normal swap.,See V5_TRACKER.csv V5-T44 key_steps.,scripts/outputs/V5_T44_RESULTS.md,none,Table complete for >=4 models; fabricated=0 and leak=0 on EVERY model; deliberative fingerprints identical across models.,Benchmark run + compile.,"PARKED until after V6-T48. The earlier 'time-sensitive, run while the quota is open' note is OBSOLETE and was removed deliberately: acting on it now would spend the quota on a system that is still changing. Re-probe reachability when this task starts — the reachable slate was gpt-oss:120b/20b, gemma4:31b, minimax-m3, nemotron-3-nano (2026-08-21), and it may differ later. [2026-08-26] RUN, and it found something. Three local arms (gpt-oss:20b, a 4B model from a different family that fits the GPU whole, and gpt-oss:20b repeated as the noise floor), invariance probe only. Added the 4B arm because the other local arms are 18-20 GB and spill to RAM on a 16 GB card, which makes them poor evidence for anything but 'it still answers'. RESULT: cross-model invariance 2/8 identical, 3/8 divergent, 3/8 downgraded to a reflex plan by the weaker model. But the SAME MODEL run twice reproduces only 3/8, so cross-model agreement sits at or below run-to-run variance and nothing observed can be attributed to the model. The acceptance criterion ('fingerprints identical across models') is therefore NOT met -- and not because of the models. Logged as a CAVEAT against CAVEAT-160. Also fixed a reporting hazard found while reading the output: with --invariance-only the guarantees table printed '0 / 0' for probes that never ran, which reads as a clean pass; it now says _not run_, and the generated artifact was corrected. NOT DONE: the cloud arms (quota) and a full run with fabrication + privacy probes."
V6-T50,P11-V5Carryover,[V5-T45] Privacy + model tables in results,todo,V6-T49,S,Carried from V5. V5_RESULTS gains the leak-rate and per-model scorecards plus figures.,Carried at the user's request; depends on T49's data.,n/a - carried forward unchanged.,Compilation over archived CSVs; no building logic.,See V5_TRACKER.csv V5-T45 key_steps.,scripts/compile_v5_results.py,none,"V5_RESULTS.md shows privacy + model sections, reproducible from archived CSVs.",Compile run reviewed.,
V6-T51,P11-V5Carryover,[V5-T34] bldg3 pillar leg,todo,,M,Carried from V5. Portability proof 2 with scripts unchanged.,Carried at the user's request. Held during V5 because the user asked to keep bldg2 live.,n/a - carried forward unchanged.,"The portability proof itself: scripts unchanged, only the active building differs.",Swap; identical chain; batteries; record deltas + new bug classes.,scripts/run_all_graders.py,none,Code diff = 0; all scorecards pass; fabricated 0.,Same as V5-T33.,
V6-T52,P11-V5Carryover,[V5-T35] bldg1 pillar leg,todo,V6-T51,M,Carried from V5. Portability proof 3 on the real building; wide sensor_data untouched; real-vs-simulated provenance on mixed answers.,Carried at the user's request. bldg1's spatial pillar is materially stronger than when this was scoped — 267 spaces now carry measured geometry (81.2%) against 122 before.,n/a - carried forward unchanged.,"As T51, on the building with real data - the harder case because provenance is mixed.",Swap; provision; CAVEAT-162 unit handling applied for real IAQ; batteries.,scripts/run_all_graders.py,none,Code diff = 0; scorecards pass; mixed provenance correct; fabricated 0.,Same + provenance spot-checks.,bldg1 wide sensor_data is REAL snapshot + intentional dev top-up - do not purge or relabel.
V6-T53,P11-V5Carryover,[V5-T36] V5 certification x3 + DELIVERED,todo,"V6-T50,V6-T52",M,"Carried from V5. Three-building certification, figures, tracker sweep, V5 marked DELIVERED.",Carried at the user's request. Closes V5 formally so V6's scorecard has a fixed baseline to be measured against rather than a moving one.,n/a - carried forward unchanged.,Compilation and sweep only.,See V5_TRACKER.csv V5-T36 key_steps.,scripts/compile_v5_results.py; tasks/V5_TRACKER.csv,none,Three-building tables complete; figures reproducible from archived CSVs; V5 DELIVERED.,Final parked-state pytest.,Run BEFORE V6-T48 so the V6 scorecard has a frozen V5 baseline.
