PID,Stage,Question,domain_l1,query_type_l2,intent,temporal,spatial,complexity,coder_notes
P76,2,"Does this Building have any visible panels that display information or must everything be accessed through apps or terminals, such as in the case of outside weather or security threats?",INFO_REQUEST,CAPABILITY,INFORMATIONAL,STATIC,BUILDING,LOOKUP,
P59,3,Can you alert maintenance issues quickly?,MAINTENANCE,CAPABILITY,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP,
P16,1,12,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,The query is too vague and lacks context to classify under any specific domain.
P88,3,is this room actually occupied or just booked?,OCCUPANCY,STATUS,INFORMATIONAL,REALTIME,ROOM,LOOKUP,
P46,1,why,OTHER,DIAGNOSTIC,DIAGNOSTIC,PREDICTIVE,UNSPECIFIED,LOOKUP,The query is too vague and lacks context to classify under a specific building domain.
P69,2,What is the current light intensity (lux) in this room?,LIGHTING,STATUS,INFORMATIONAL,REALTIME,ROOM,LOOKUP,
P33,4,What days of the week use the most energy?,ENERGY,COMPARISON,INFORMATIONAL,HISTORICAL,BUILDING,AGGREGATION,
P79,2,How many people do you hold at a maximum?,OCCUPANCY,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP,
P97,1,Where is the nearest restroom?,WAYFINDING,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP,
P85,3,humidy right,AIR_QUALITY,STATUS,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP,"The query asks for the current humidity level, which is a status check."
P94,2,the ac how would reduce the co2,AIR_QUALITY,RECOMMENDATION,PRESCRIPTIVE,REALTIME,UNSPECIFIED,LOOKUP,
P93,3,Imagine the noise levels around you — what could the building do to help you concentrate?,WELLBEING,RECOMMENDATION,PRESCRIPTIVE,REALTIME,UNSPECIFIED,MULTI_STEP,"The query seeks advice on improving concentration by managing noise, which relates to wellbeing."
P94,2,what does sensor measures how would be feel,OTHER,STATUS,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP,The query is unclear and lacks meaningful building-related context.
P61,4,Is the room temperature comfortable for eneryone?,THERMAL,ANOMALY,DIAGNOSTIC,REALTIME,ROOM,LOOKUP,"The query seeks to determine if the current temperature is within a comfortable range, implying an anomaly check."
P71,4,Leak detected?,WATER,ANOMALY,DIAGNOSTIC,REALTIME,UNSPECIFIED,LOOKUP,
P61,1,Can you room too crowded?,OCCUPANCY,ANOMALY,DIAGNOSTIC,REALTIME,ROOM,LOOKUP,"The question implies checking if the room is currently too crowded, indicating an anomaly detection."
P21,2,"How often are these systems inspected, to make sure they are operating correctly?",MAINTENANCE,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,"The question seeks information on inspection frequency, which is a static fact about maintenance procedures."
P91,1,thankyou,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,The query is off-topic with fewer than 3 meaningful building-related words.
P62,4,IS THE BUILDING LIGHTENING PROOF?,SAFETY,CAPABILITY,INFORMATIONAL,STATIC,BUILDING,LOOKUP,
P12,4,DAS,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,The query is too vague and lacks context to classify under a specific building domain.
P15,2,What's the best way to save money by analizing gas usage?,ENERGY,RECOMMENDATION,PRESCRIPTIVE,STATIC,UNSPECIFIED,MULTI_STEP,
P95,1,Where is the fire extinguisher located?,SAFETY,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP,
P93,2,How does a low Power Factor affect the efficiency of an industrial electrical system?,ENERGY,DIAGNOSTIC,DIAGNOSTIC,STATIC,UNSPECIFIED,LOOKUP,
P94,2,in the building  health will  manage  equipments,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,The query is unclear and lacks meaningful building-related context.
P88,2,What is the acceptable threshold for VOC levels here,AIR_QUALITY,STATUS,INFORMATIONAL,STATIC,ROOM,LOOKUP,The query seeks a static policy or guideline for VOC levels in a specific room.
P63,2,what is the current power usage?,ENERGY,STATUS,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP,
P22,3,our projector isn't working. can you get another one in here pronto?,MAINTENANCE,STATUS,INFORMATIONAL,REALTIME,ROOM,LOOKUP,The query is about the status of a projector and a request for replacement.
P35,4,What are the current lux levels on the lights in the rooms?,LIGHTING,STATUS,INFORMATIONAL,REALTIME,ROOM,LOOKUP,
P74,1,Is it too crowded here?,OCCUPANCY,ANOMALY,DIAGNOSTIC,REALTIME,ROOM,LOOKUP,
P95,4,In which area I can work without interruptions?,OCCUPANCY,RECOMMENDATION,PRESCRIPTIVE,REALTIME,UNSPECIFIED,LOOKUP,The query seeks advice on a suitable area based on current occupancy levels.
P25,2,How much water have I used this month so far?,WATER,HISTORICAL,INFORMATIONAL,HISTORICAL,UNSPECIFIED,AGGREGATION,
P95,2,Ca you alert me if the noise level crosses 60 decibels?,WELLBEING,ANOMALY,PRESCRIPTIVE,REALTIME,UNSPECIFIED,LOOKUP,"The query is about monitoring noise levels, which relates to wellbeing."
P57,3,Can the system detect if someone in a large open room is sick?,WELLBEING,CAPABILITY,INFORMATIONAL,STATIC,ROOM,LOOKUP,
P45,4,why i need lightning clear,LIGHTING,DIAGNOSTIC,DIAGNOSTIC,STATIC,UNSPECIFIED,LOOKUP,"The query seeks to understand the reason for needing clear lighting, which is diagnostic in nature."
P49,4,good,OTHER,STATUS,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP,The query is too vague and lacks meaningful building-related context.
P81,2,windows open?,AIR_QUALITY,STATUS,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP,Assuming the question is about the current state of windows affecting air quality.
P81,2,temperature high?,THERMAL,ANOMALY,DIAGNOSTIC,REALTIME,UNSPECIFIED,LOOKUP,
P28,3,Where would the number of people in this area be displayed so that someone could know about the crowd before walking there?,OCCUPANCY,CAPABILITY,INFORMATIONAL,REALTIME,ROOM,LOOKUP,
P41,4,what incentives do you offer to lower usage during peak times,ENERGY,RECOMMENDATION,PRESCRIPTIVE,STATIC,BUILDING,LOOKUP,
P40,1,what kind of color combination is perfect to use buildings,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,"The query is about aesthetic design, not building informatics."
P66,3,Can cooling system prevent overheating?,THERMAL,CAPABILITY,INFORMATIONAL,STATIC,BUILDING,LOOKUP,
P61,4,How can we reduce energy consumption in this building?,ENERGY,RECOMMENDATION,PRESCRIPTIVE,REALTIME,BUILDING,MULTI_STEP,
P60,1,How does the building collect and reuse rainwater?,WATER,CAPABILITY,INFORMATIONAL,STATIC,BUILDING,LOOKUP,
P29,3,how to the microphones adapt to those that are loud spoken and soft spoken,CONTROL,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,The query is about the capability of microphones to adapt to different speaking volumes.
P45,2,can i us efan in high speed,CONTROL,CAPABILITY,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP,The query asks about the capability of using a fan at high speed.
P40,3,meeting room is important,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,The query lacks sufficient context or meaningful building-related words.
P31,2,does your building get cold in the winter,THERMAL,STATUS,INFORMATIONAL,HISTORICAL,BUILDING,LOOKUP,The question implies a historical check on temperature during winter.
P21,1,What are the key green features of the building?,SUSTAINABILITY,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP,
P91,3,free parking available,ACCESSIBILITY,STATUS,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP,
P96,2,Does the oxygen sensors trigger any action?,AIR_QUALITY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,
P72,2,Do you turn off lights when no one is there?,CONTROL,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,
P93,1,How Cars Works,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,"The query is off-topic as it pertains to cars, not buildings."
P66,2,What is the gas meter reading now?,ENERGY,STATUS,INFORMATIONAL,REALTIME,BUILDING,LOOKUP,
P95,1,Can you remind me every half an hour to drink water?,WELLBEING,CAPABILITY,PRESCRIPTIVE,REALTIME,UNSPECIFIED,LOOKUP,"The query is about setting a reminder, which relates to wellbeing and capability."
P77,4,The only time we noticed lighting was when a bulb burned out in the office. How can lighting be made to adapt to our different uses throughout the day and evening?,LIGHTING,RECOMMENDATION,PRESCRIPTIVE,REALTIME,ROOM,MULTI_STEP,
P88,2,Do VOC levels vary depending on time of day or occupancy,AIR_QUALITY,COMPARISON,INFORMATIONAL,HISTORICAL,UNSPECIFIED,AGGREGATION,The query seeks to compare VOC levels across different times and occupancy states.
P57,3,"Do you have any integration with apps on people's phones, like for instance, instead of just a welcome display with a map or something can you guide people to their destinations on their phones?",WAYFINDING,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,
P51,3,"From the lobby, what is the most direct path to the conference center for my disabled friend who cannot take the stairs?",ACCESSIBILITY,RECOMMENDATION,PRESCRIPTIVE,STATIC,BUILDING,MULTI_STEP,
P12,1,2,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,The query is too vague and lacks meaningful building-related context.
P35,1,Do you have solar power?,ENERGY,CAPABILITY,INFORMATIONAL,STATIC,BUILDING,LOOKUP,
P45,3,wont it increase cost,OTHER,DIAGNOSTIC,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,The query lacks sufficient context to classify under a specific building domain.
P35,3,What is the air quality in the office?,AIR_QUALITY,STATUS,INFORMATIONAL,REALTIME,ROOM,LOOKUP,
P98,2,AUTOMATICALLY INCREASE,CONTROL,CAPABILITY,PRESCRIPTIVE,STATIC,UNSPECIFIED,LOOKUP,The query suggests a capability check for automatic control adjustments.
P59,2,Can voltage fluctuation damage equipment?,SAFETY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,"The question is about the potential impact of voltage fluctuation, which relates to safety concerns for equipment."
P91,2,are window open now,AIR_QUALITY,STATUS,INFORMATIONAL,REALTIME,ROOM,LOOKUP,Assumes the question is about air quality related to window status.
P44,2,How much powe actully need in ordinary home,ENERGY,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP,Assuming 'ordinary home' refers to a typical building's energy requirement.
P70,4,air healthy?,AIR_QUALITY,STATUS,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP,The query seeks current air quality status.
P44,1,for what in your life do you fell most grateful beside me,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,The query is not related to building informatics.
P27,1,How many windows do you have?,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,"The question is about a static building feature, not a dynamic system or condition."
P89,1,How dose the building involve?,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,The query is unclear and lacks meaningful building-related context.
P63,2,can you monitor PM10 regularly?,AIR_QUALITY,CAPABILITY,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP,
P71,1,Are there any  free study spaces available nearby?,WAYFINDING,STATUS,INFORMATIONAL,REALTIME,CAMPUS,LOOKUP,
P69,3,Is the temperature within safe limits?,THERMAL,ANOMALY,DIAGNOSTIC,REALTIME,UNSPECIFIED,LOOKUP,
P59,4,Can you reduce glare in workspaces?,LIGHTING,CAPABILITY,PRESCRIPTIVE,REALTIME,ROOM,LOOKUP,
P53,1,Does this building run on renewable energy resources?,ENERGY,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP,
P61,2,Is the humidity level comfortable?,AIR_QUALITY,ANOMALY,DIAGNOSTIC,REALTIME,UNSPECIFIED,LOOKUP,
P71,3,what's the water remperature in the cafe area today?,WATER,STATUS,INFORMATIONAL,REALTIME,ROOM,LOOKUP,
P34,2,How often do you have to replace batteries?,MAINTENANCE,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,
P97,2,How much water is used?,WATER,STATUS,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP,
P35,2,Do any of the batteries need to be replaced in the sensors?,MAINTENANCE,STATUS,DIAGNOSTIC,REALTIME,UNSPECIFIED,LOOKUP,
P81,1,elevator busy?,TRANSPORT,STATUS,INFORMATIONAL,REALTIME,BUILDING,LOOKUP,
P91,2,is co2 too high here,AIR_QUALITY,ANOMALY,DIAGNOSTIC,REALTIME,ROOM,LOOKUP,
P72,4,How do you promote water conservation among users?,WATER,RECOMMENDATION,PRESCRIPTIVE,STATIC,UNSPECIFIED,MULTI_STEP,
P93,2,How does an increase in Relative Humidity affect the perceived Temperature (Heat Index) in a room?,THERMAL,DIAGNOSTIC,INFORMATIONAL,STATIC,ROOM,MULTI_STEP,"The question seeks to understand the relationship between humidity and perceived temperature, requiring a multi-step analysis."
P22,3,how filtered and purified is the water you're offering?,WATER,STATUS,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP,
P96,2,Can manually override sensor controls?,CONTROL,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,
P88,3,Which areas have the freshest air right now?,AIR_QUALITY,COMPARISON,INFORMATIONAL,REALTIME,UNSPECIFIED,AGGREGATION,
P29,2,can you manage both whole house and specific rooms?,CONTROL,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,
P79,4,What happens when energy efficiency and employee productivity are at odds?,ENERGY,DIAGNOSTIC,DIAGNOSTIC,STATIC,UNSPECIFIED,MULTI_STEP,"The question seeks to understand the cause or implications of a conflict between energy efficiency and productivity, requiring a complex analysis."
P79,1,What is the function of your building?,INFO_REQUEST,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP,The question seeks a static informational lookup about the building's purpose or function.
P66,4,Can you detect water leaks automatically?,WATER,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,
P79,3,Is the safe open the entire time the building is open?,SECURITY,STATUS,INFORMATIONAL,REALTIME,BUILDING,LOOKUP,
P63,2,can NO2 affect air quality?,AIR_QUALITY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,"The question is about the general impact of NO2 on air quality, not specific to a time or place."
P23,4,"can you, the building direct me to the quickest elevator based on use and time etc rather than me just choosing one at random?",WAYFINDING,CAPABILITY,INFORMATIONAL,REALTIME,BUILDING,MULTI_STEP,
P63,4,how do you improve lighting efficiency?,LIGHTING,RECOMMENDATION,PRESCRIPTIVE,STATIC,UNSPECIFIED,MULTI_STEP,
P53,3,Does the building have backup emergency lighting in stairwells?,SAFETY,CAPABILITY,INFORMATIONAL,STATIC,BUILDING,LOOKUP,
P43,3,Do we have a working UPS in place that is showing to be at full charge in case of power instability?,SAFETY,STATUS,INFORMATIONAL,REALTIME,BUILDING,LOOKUP,
P71,4,Habitat creation?,SUSTAINABILITY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,"The query is about the building's capability to support habitat creation, which is a sustainability concern."
P40,3,what materials are being used for the ceiling and floors,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,"The query is about building materials, which doesn't fit any specific domain."
P20,2,Would this automatic shutoff for standby mode be something that could be done per outlet?,CONTROL,CAPABILITY,INFORMATIONAL,STATIC,POINT,LOOKUP,
P54,4,could the building automatically determine which data analysis I may be overlooking and give annual breakdowns of what should be given a deeper look?,CONTROL,CAPABILITY,PRESCRIPTIVE,STATIC,BUILDING,MULTI_STEP,"The query asks if the building can autonomously analyze data and provide insights, which involves control and analytics capabilities."
P72,3,How do you manage crowd flow in busy areas?,OCCUPANCY,RECOMMENDATION,PRESCRIPTIVE,STATIC,UNSPECIFIED,MULTI_STEP,
P03,3,hi,OTHER,STATUS,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP,The query is off-topic with no building-related content.
P73,3,visitors waiting?,OCCUPANCY,STATUS,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP,The query seeks current information about visitor occupancy.
P72,4,Can you detect leaks and alert users immediately?,WATER,CAPABILITY,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP,
P86,1,Do you like Icecream?,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,The question is off-topic and not related to building informatics.
P85,2,room currently ocuiped,OCCUPANCY,STATUS,INFORMATIONAL,REALTIME,ROOM,LOOKUP,The query is checking the current occupancy status of a room.
P52,2,can motion sensors detect movement at night?,SECURITY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,
P87,2,How much power is being used in our home while we're away?,ENERGY,STATUS,INFORMATIONAL,REALTIME,BUILDING,LOOKUP,
P87,3,"How many noise spikes (sneezes, drops) happen each day?",WELLBEING,DIAGNOSTIC,INFORMATIONAL,HISTORICAL,UNSPECIFIED,AGGREGATION,"The query seeks a count of noise events over time, which is an aggregation task."
P72,3,How do you detect available parking spaces?,TRANSPORT,CAPABILITY,INFORMATIONAL,STATIC,CAMPUS,LOOKUP,
P81,3,eats free?,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,The query is too vague and lacks context to classify under building-related domains.
P67,4,is building data showing any issues ?,OTHER,ANOMALY,DIAGNOSTIC,REALTIME,UNSPECIFIED,LOOKUP,The query is too vague to assign a specific domain.
P94,1,in regular day what is the office timing,ACCESSIBILITY,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP,
P63,1,can you reduce energy usage at night?,ENERGY,RECOMMENDATION,PRESCRIPTIVE,REALTIME,UNSPECIFIED,LOOKUP,
P75,1,Are you the only building that can talk around here?,OTHER,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,The question is off-topic as it does not pertain to building informatics.
P82,3,Does the server room still need humans to monitor at all in a smart building?,CONTROL,CAPABILITY,INFORMATIONAL,STATIC,ROOM,LOOKUP,
P29,1,what are your security features?,SECURITY,CAPABILITY,INFORMATIONAL,STATIC,BUILDING,LOOKUP,
P53,4,Can the building adjust the climate proactively based on weather forecasts?,CONTROL,CAPABILITY,INFORMATIONAL,PREDICTIVE,BUILDING,LOOKUP,
P78,2,power usage?,ENERGY,STATUS,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP,The query seeks current power usage information.
P90,4,How could daylight be balanced with artificial lighting to save energy while keeping comfort?,LIGHTING,RECOMMENDATION,PRESCRIPTIVE,STATIC,UNSPECIFIED,MULTI_STEP,
P03,1,tdg,OTHER,STATUS,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP,The query is gibberish with no meaningful building-related words.
P23,2,can the energy meter break down individual apartments,ENERGY,CAPABILITY,INFORMATIONAL,STATIC,BUILDING,LOOKUP,
P72,2,How do you measure temperature in different rooms?,THERMAL,CAPABILITY,INFORMATIONAL,STATIC,ROOM,LOOKUP,
P60,1,Is the building designed to be environmentally friendly?,SUSTAINABILITY,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP,
