PID,Stage,Question,machine_domain_l1,machine_query_type_l2,machine_intent,machine_temporal,machine_spatial,machine_complexity,domain_l1,query_type_l2,intent,temporal,spatial,complexity,coder_notes
P71,4,Leak detected?,WATER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P61,1,Can you room too crowded?,OCCUPANCY,CAPABILITY,INFORMATIONAL,STATIC,ROOM,LOOKUP,,,,,,,
P21,2,"How often are these systems inspected, to make sure they are operating correctly?",OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P91,1,thankyou,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P62,4,IS THE BUILDING LIGHTENING PROOF?,LIGHTING,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP,,,,,,,
P12,4,DAS,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P15,2,What's the best way to save money by analizing gas usage?,WAYFINDING,RECOMMENDATION,PRESCRIPTIVE,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P95,1,Where is the fire extinguisher located?,SAFETY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P93,2,How does a low Power Factor affect the efficiency of an industrial electrical system?,ENERGY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P94,2,in the building  health will  manage  equipments,MAINTENANCE,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP,,,,,,,
P88,2,What is the acceptable threshold for VOC levels here,AIR_QUALITY,ANOMALY,DIAGNOSTIC,STATIC,UNSPECIFIED,MULTI_STEP,,,,,,,
P63,2,what is the current power usage?,ENERGY,STATUS,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP,,,,,,,
P22,3,our projector isn't working. can you get another one in here pronto?,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P35,4,What are the current lux levels on the lights in the rooms?,ENERGY,STATUS,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP,,,,,,,
P74,1,Is it too crowded here?,OCCUPANCY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P95,4,In which area I can work without interruptions?,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P25,2,How much water have I used this month so far?,WATER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,AGGREGATION,,,,,,,
P95,2,Ca you alert me if the noise level crosses 60 decibels?,WELLBEING,ANOMALY,DIAGNOSTIC,STATIC,UNSPECIFIED,MULTI_STEP,,,,,,,
P57,3,Can the system detect if someone in a large open room is sick?,WAYFINDING,CAPABILITY,INFORMATIONAL,STATIC,ROOM,LOOKUP,,,,,,,
P45,4,why i need lightning clear,LIGHTING,DIAGNOSTIC,DIAGNOSTIC,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P49,4,good,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P81,2,windows open?,AIR_QUALITY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P81,2,temperature high?,THERMAL,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P28,3,Where would the number of people in this area be displayed so that someone could know about the crowd before walking there?,OCCUPANCY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P41,4,what incentives do you offer to lower usage during peak times,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P40,1,what kind of color combination is perfect to use buildings,WASTE,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P66,3,Can cooling system prevent overheating?,THERMAL,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P61,4,How can we reduce energy consumption in this building?,ENERGY,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP,,,,,,,
P60,1,How does the building collect and reuse rainwater?,WATER,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP,,,,,,,
P29,3,how to the microphones adapt to those that are loud spoken and soft spoken,WELLBEING,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P45,2,can i us efan in high speed,OTHER,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P40,3,meeting room is important,WAYFINDING,STATUS,INFORMATIONAL,STATIC,ROOM,LOOKUP,,,,,,,
P31,2,does your building get cold in the winter,THERMAL,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P21,1,What are the key green features of the building?,SUSTAINABILITY,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP,,,,,,,
P91,3,free parking available,TRANSPORT,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P96,2,Does the oxygen sensors trigger any action?,AIR_QUALITY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P72,2,Do you turn off lights when no one is there?,LIGHTING,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P93,1,How Cars Works,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P66,2,What is the gas meter reading now?,ENERGY,STATUS,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP,,,,,,,
P95,1,Can you remind me every half an hour to drink water?,WATER,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P77,4,The only time we noticed lighting was when a bulb burned out in the office. How can lighting be made to adapt to our different uses throughout the day and evening?,LIGHTING,STATUS,INFORMATIONAL,STATIC,ROOM,LOOKUP,,,,,,,
P88,2,Do VOC levels vary depending on time of day or occupancy,AIR_QUALITY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P57,3,"Do you have any integration with apps on people's phones, like for instance, instead of just a welcome display with a map or something can you guide people to their destinations on their phones?",WAYFINDING,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P51,3,"From the lobby, what is the most direct path to the conference center for my disabled friend who cannot take the stairs?",WAYFINDING,COMPARISON,INFORMATIONAL,STATIC,ROOM,AGGREGATION,,,,,,,
P12,1,2,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P35,1,Do you have solar power?,ENERGY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P45,3,wont it increase cost,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P35,3,What is the air quality in the office?,AIR_QUALITY,STATUS,INFORMATIONAL,STATIC,ROOM,LOOKUP,,,,,,,
P98,2,AUTOMATICALLY INCREASE,CONTROL,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P59,2,Can voltage fluctuation damage equipment?,ENERGY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P91,2,are window open now,AIR_QUALITY,STATUS,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP,,,,,,,
P44,2,How much powe actully need in ordinary home,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,AGGREGATION,,,,,,,
P70,4,air healthy?,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P44,1,for what in your life do you fell most grateful beside me,OTHER,COMPARISON,INFORMATIONAL,STATIC,UNSPECIFIED,AGGREGATION,,,,,,,
P27,1,How many windows do you have?,AIR_QUALITY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,AGGREGATION,,,,,,,
P89,1,How dose the building involve?,OTHER,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP,,,,,,,
P63,2,can you monitor PM10 regularly?,MAINTENANCE,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P71,1,Are there any  free study spaces available nearby?,OTHER,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P69,3,Is the temperature within safe limits?,SAFETY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P59,4,Can you reduce glare in workspaces?,LIGHTING,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P53,1,Does this building run on renewable energy resources?,ENERGY,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP,,,,,,,
P61,2,Is the humidity level comfortable?,AIR_QUALITY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P71,3,what's the water remperature in the cafe area today?,WATER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P34,2,How often do you have to replace batteries?,MAINTENANCE,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P97,2,How much water is used?,WATER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,AGGREGATION,,,,,,,
P35,2,Do any of the batteries need to be replaced in the sensors?,MAINTENANCE,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P81,1,elevator busy?,OCCUPANCY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P91,2,is co2 too high here,AIR_QUALITY,ANOMALY,DIAGNOSTIC,STATIC,UNSPECIFIED,MULTI_STEP,,,,,,,
P72,4,How do you promote water conservation among users?,WATER,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P93,2,How does an increase in Relative Humidity affect the perceived Temperature (Heat Index) in a room?,AIR_QUALITY,STATUS,INFORMATIONAL,STATIC,ROOM,LOOKUP,,,,,,,
P22,3,how filtered and purified is the water you're offering?,WATER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P96,2,Can manually override sensor controls?,CONTROL,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P88,3,Which areas have the freshest air right now?,OTHER,STATUS,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP,,,,,,,
P29,2,can you manage both whole house and specific rooms?,OTHER,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P79,4,What happens when energy efficiency and employee productivity are at odds?,ENERGY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P79,1,What is the function of your building?,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P66,4,Can you detect water leaks automatically?,WATER,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P79,3,Is the safe open the entire time the building is open?,SAFETY,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP,,,,,,,
P63,2,can NO2 affect air quality?,AIR_QUALITY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P23,4,"can you, the building direct me to the quickest elevator based on use and time etc rather than me just choosing one at random?",ACCESSIBILITY,CAPABILITY,INFORMATIONAL,STATIC,BUILDING,LOOKUP,,,,,,,
P63,4,how do you improve lighting efficiency?,LIGHTING,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P53,3,Does the building have backup emergency lighting in stairwells?,SAFETY,CAPABILITY,INFORMATIONAL,STATIC,BUILDING,LOOKUP,,,,,,,
P43,3,Do we have a working UPS in place that is showing to be at full charge in case of power instability?,ENERGY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P71,4,Habitat creation?,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P40,3,what materials are being used for the ceiling and floors,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P20,2,Would this automatic shutoff for standby mode be something that could be done per outlet?,CONTROL,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P54,4,could the building automatically determine which data analysis I may be overlooking and give annual breakdowns of what should be given a deeper look?,MAINTENANCE,CAPABILITY,PRESCRIPTIVE,STATIC,BUILDING,LOOKUP,,,,,,,
P72,3,How do you manage crowd flow in busy areas?,OCCUPANCY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P03,3,hi,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P73,3,visitors waiting?,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P72,4,Can you detect leaks and alert users immediately?,WATER,ANOMALY,DIAGNOSTIC,STATIC,UNSPECIFIED,MULTI_STEP,,,,,,,
P86,1,Do you like Icecream?,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P85,2,room currently ocuiped,ENERGY,STATUS,INFORMATIONAL,REALTIME,ROOM,LOOKUP,,,,,,,
P52,2,can motion sensors detect movement at night?,OTHER,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P87,2,How much power is being used in our home while we're away?,ENERGY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,AGGREGATION,,,,,,,
P87,3,"How many noise spikes (sneezes, drops) happen each day?",WELLBEING,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,AGGREGATION,,,,,,,
P72,3,How do you detect available parking spaces?,TRANSPORT,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P81,3,eats free?,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P67,4,is building data showing any issues ?,MAINTENANCE,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P94,1,in regular day what is the office timing,OTHER,STATUS,INFORMATIONAL,STATIC,ROOM,LOOKUP,,,,,,,
P63,1,can you reduce energy usage at night?,ENERGY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P75,1,Are you the only building that can talk around here?,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P82,3,Does the server room still need humans to monitor at all in a smart building?,MAINTENANCE,STATUS,INFORMATIONAL,STATIC,ROOM,LOOKUP,,,,,,,
P29,1,what are your security features?,SECURITY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P53,4,Can the building adjust the climate proactively based on weather forecasts?,CONTROL,CAPABILITY,INFORMATIONAL,STATIC,BUILDING,LOOKUP,,,,,,,
P78,2,power usage?,ENERGY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P90,4,How could daylight be balanced with artificial lighting to save energy while keeping comfort?,ENERGY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P03,1,tdg,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P23,2,can the energy meter break down individual apartments,ENERGY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P72,2,How do you measure temperature in different rooms?,THERMAL,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P60,1,Is the building designed to be environmentally friendly?,SUSTAINABILITY,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP,,,,,,,
