Username,Personas,Scenarios,Scenarios_Words,Interaction,Interaction_Words,Trust,Trust_Words,Success,Success_Words,PainPoints,PainPoints_Words,UpdatedAt,CreatedAt
P39,Facility Managers / Building Maintenance Teams,"Why is the temperature so high in this room, and can you fix it? The temperature increased due to HVAC imbalance. Cooling has been adjusted and will stabilize in 5 minutes.",31,"I would prefer to communicate with a smart building through a simple chat interface or voice commands, similar to a virtual assistant, so that interaction feels natural and quick. For responses, I would like a mix of formats depending on the situation. For simple questions, clear and concise plain text answers are best. For data-related queries, visual formats like charts or dashboards would help me understand trends and patterns easily. For urgent issues such as safety alerts, temperature spikes, or power failures, I would prefer real-time notifications or alerts with immediate action suggestions. Ideally, the system should also provide personalized responses based on my preferences and allow control options directly within the interface, such as adjusting temperature or lighting with one click.",122,"I would trust the system if it provides accurate, real-time data and explains how the information is collected and processed. Transparency is very important—knowing which sensors are used and how decisions are made would increase my confidence. I would also expect the system to be reliable and consistent, with minimal errors and clear explanations when something goes wrong.

I do have concerns about privacy and security. I would not want the system to collect or store personal data such as my identity, location history, or behavior without my consent. Strong data protection measures, encryption, and anonymization are essential. I would also want control over what data is collected and the ability to delete my data.

What would prevent me from using it is inaccurate or misleading information, lack of transparency, or misuse of personal data. If the system feels intrusive or insecure, I would avoid using it.",147,"Accurate real-time insights, fast alerts, energy savings, user comfort improvement, and smarter automation beyond existing manual systems. The system would be genuinely useful if it provides accurate, real-time insights, quick alerts for issues, and improves comfort while reducing energy usage. I would measure success through reduced energy costs, faster issue resolution, and better user satisfaction. It should go beyond existing tools by offering predictive insights, automation, and personalized responses instead of just static monitoring.",74,"The most frustrating part is that information is scattered across multiple dashboards, making it time-consuming to find what I need. Data is often not real-time, and the interface can be complex and hard to understand. It usually requires manual analysis instead of giving clear insights or actionable recommendations.",48,2026-04-09 10:51:30,2026-04-09 10:51:30
P32,Student/Researchers/Academics,"Office became too hot during work, I wished building could adjust temperature automatically and inform cooling system status and expected fix time.",22,"I prefer simple chat with voice alerts and dashboard charts showing temperature, energy, air quality, and quick notifications for any issues or changes.",23,"I trust accurate real-time data, secure privacy protection, transparent reports, and reliable alerts; incorrect data or privacy risks would prevent me from using it.",24,"Real-time monitoring, fast alerts, energy savings, accurate data, easy control, and predictive maintenance would make it useful and better than existing tools.",22,"Dashboards are complex, slow to update, hard to navigate, and lack clear real-time alerts, making information difficult to find quickly.",20,2026-04-09 07:04:09,2026-04-09 07:04:09
P34,Guests/Visitors,"I was living in an old building and the heat in the building was all over the place, I worked with management but we never could real figure out what was causing the heating irregularities. I would definitely have asked the building if it could determine what the issue was and how it could be addressed. It determining the issue quickly and correctly would have been a great help to convince the management to finally fix the problem.",78,"I would like a mixture of communication methods depending on what was trying to be accomplished. Voice is nice because you can do other things at the same time but sometimes visuals are needed for more complex issues. I would prefer a more casual interaction, especially as I become more comfortable with the system.",54,"I would definitely want to know exactly where my interactions with the system where you going. I would want to know who was seeing them and what was being done with them after the interaction is over. If I wasn't given enough information or if the answer was thin in its documentation I would not use the system. As for accuracy, I tend to double check anything if it is important to me, especially when it comes to AI or results I am not sure of their reliability.",88,"For it to be useful it would have to not be a pain to use, it would have to be logical and make it reliable to interact with. I also prefer customizable systems and the more customizable a s system is the more useful I find it to be. I would think it was working well if it stayed out of my way, did what I wanted and was easy to adjust when it did not meet my standards.",79,"The biggest issue I have with dashboards is when they hide important information for simplicity. I understand some people are overwhelmed by too much information, but sometimes they hide more advanced information so far out of the way it can become quite aggravating to find. The worst is when they don't allow access at all and won't display it anywhere. To me a great interface is both simple and advanced and can be switched between both fairly easily.",78,2026-04-09 05:41:49,2026-04-09 05:41:49
P33,Guests/Visitors,"Someone pulled a fire alarm in a building unfamiliar to me. I would have liked to know if the elevators were working and the quickest, safest path to exit. Knowing to take the elevator or the stairs would have helped me to decide where to go. The building could have directed me by sound or emergency lighting to the nearest exit. I was confused and didn't know what way would be best.",72,"I would like to be able to ask questions and have the answers visually on a screen to read while it's read aloud. I would want a dashboard to check temperature, air quality, occupancy, etc. It would be nice to receive alert notifications.",43,"I would not want to share my personal data with the system. I wouldn't trust it. My data has been stolen or used too many times. I wouldn't use the system if I had to allow it access to data on my phone or track me, especially outside the app.",50,It would be genuinely useful if it could save money by saving energy. AI uses too much energy. It would need to be able to increase my comfort and alert me in realtime to events. I would put the app on my phone if it did not need my data. You could test satisfaction with a survey and compare it to the system. See how accurate the alerts are if a real problem exists.,74,There are too many words. More visual charts and ways to show data would be better. Realtime data would be the best. That's the most frustrating thing right now.,29,2026-04-09 03:45:44,2026-04-09 03:45:44
P26,Occupants/Tenants/Employees,"By about 3 PM, after having 12+ people in a small conference room, I noticed the air felt less than fresh. At that point I was starting to feel this lethargy affect our productivity. If I could have seen the CO2 level from the building, I would have asked for additional introduction of air into the room to help with airiness . The idea knowing that the building had been working to adjust the ventilation system to create a better airflow would have made it easier for the team to stay on task.",93,Because I work with multi modal solutions there is an easy opportunity to change how I communicate through different types of written (text/chat) and visual dashboards where large amounts of data are used for visualizations when making decisions. Alerts when the air quality in the building is going down will be provided and allow for energy usage to be shown as visual charts for all users making interaction between all parties seamless while having an accurate representation of the data.,80,The real-time confirmation of sensor accuracy along with a record of where the data came from increases confidence that the data has not been altered en route to me. I am primarily concerned with how the system would protect my data and whether or not tracking sensors are able to monitor my movements without obtaining my consent in advance. I would find it hard to trust that I would not be tracked when utilizing this type of system if I could not do so anonymously.,85,"A successful facility will provide the highest level of comfort and performance with minimal manual intervention while supporting environmentally sustainable practices through energy efficiencies, healthy occupancy, and an increased sense of productivity and safety for workers. In essence, a successful space will create an environmentally-friendly work environment that anticipates individual needs without intruding upon them.",55,"Current systems are frustrating because they are so fragmented. The information is dispersed over numerous separate dashboards that do not share an interface. The current tools leave behind large amounts of raw data with no context; as a result, diagnosing root causes for such issues as energy spikes or poor air quality requires extensive labor, technical knowledge and experience.",59,2026-04-09 01:08:04,2026-04-09 01:08:04
P23,Facility Managers / Building Maintenance Teams, I had lots of Ans to this survey a real situation consider building question is easy understanding thats all point,20,chat is only option to communicated the building what he refer and ideas are to help us and know more knowdge,21,I trust it this system make every answer is accurate and no more any doubts in this survey so I trust it very well,24,noting any idea system genuinely when I measure the building based on the chat history and ideas and working are good,21,nothing any frustrating part of finding information   dashboards or building management systems currently very use it and gain about what he tells,22,2026-04-08 22:28:05,2026-04-08 22:28:05
P27,Health and Safety Officers,I got lost in a massive hospital and wished the building could instantly guide me to my urgent appointment my need. ,21,"I prefer voice commands for quick answers, paired with playing text alerts and a mobile dashboard for details for me 

",20,"I would trust transparent, anonymized data, invasive tracking, poor accuracy or week security would sto me for using it .",20,"It must predict issues proactively. I would measure success by
 energy saved and occupant comfort. existing tools are strictly reactive.",20,"Current dashboards are often cluttered and highly siloed, and extracting fast, actionable insights requires way too much manual effort and time ",21,2026-04-08 22:23:13,2026-04-08 22:23:13
P25,Guests/Visitors,In a stairwellwith locked floors which floors are open. Where can a person exit the stairs. Which doors are open doors.,21,I think that I would like voice controls on the building. And voice response from the building. It would be quicker.,21,Is the building has voice responses I would like to know if they were monitored by humans. That would make me feel they were accurate responses,26,Smart buildings are successful when they help occupants. So a building that checks in with occupants would be helpful. Ask what we need.,23,The dashboards are useful. The information provided is helpful. It does not have to be long. But it should be frequent.,21,2026-04-08 22:17:46,2026-04-08 22:17:46
P20,Building Owners/Property Managers; Occupants/Tenants/Employees; Facility Managers / Building Maintenance Teams,I would have liked to be able to ask my house how much solar was currently being generated when I was using an energy intensive product.,26,"I would prefer to use plain text, and also get alerts on my phone or smart device so that I can monitor things.",23,"I would have concerns about some of the occupancy information potentially revealing the number of people in an area, and risking their privacy.",23,The system would be useful if it allowed many people to be able to check and monitor systems so that it was not just all one person's responsibility.,28,Currently I don't have a centralized dashboard that gives me access to all of the sensors that I use in my life. I would like to have a unified dashboard.,30,2026-04-08 18:07:50,2026-04-08 18:07:50
P18,Sustainability and Energy Management Teams; Guests/Visitors,What is making it so warm in the office right now? Can you adjust the temperature in here? Lower the temp a few degrees?,24,"The answers should depend on what is most helpful in any given context. They should be easy to understand and helpful, and include charts or visuals if they add something. Voice interaction could be helpful in some cases.",38,"I would trust the system if it was fully transparent and clear how data is secured, stored and or used. If I didn't trust how data was used I would avoid it. If it showed to be accurate and honest I would trust it more.",45,"Many things could make a system useful. It could improve daily functioning, comfort, efficiency, energy use, etc. Real metrics like productivity, or energy use could show how well it works. It would need to be more advanced and work better than existing systems.",43,Navigating the user interface in some cases can be overly complicated or isn't intuitive enough. Systems need to be intuitive and easy to use or they lose value.,28,2026-04-08 17:44:37,2026-04-08 17:44:37
P14,Guests/Visitors,"this question is too vague to answer. I don't understand what you want. 

I wanted to ask the building if it could arrange a dog walker. yes and a time/date, would be helpful",33,"voice, text and alert combined would be ideal formats in order to communicate with building. I would not regularly use charts.

",21,"i would only use it after reading terms of service, privacy policy, extra in full detail. i would not use it if there was information sharing",26,"the system would be useful if i didnt have to think about using it very much and that when i did use it, it is intuitive. ",26,the most frustrating part of using many tools is keeping up with all of them. having everything in one place is always easier,23,2026-04-08 17:39:52,2026-04-08 17:39:52
P11,Guests/Visitors,"Coworkers prefer a cooler space, but I feel chilly. I don't like conflict, but I want to arrive at a happy medium instead of having to wear a thermal jacket indoors. Can the system mediate?",35,"I'd like to use voice recognition so I don't have to type everything, and then I want a friendly avatar to be my guide.",24,"I don't want it asking personal questions, like about my health or my race. I don't want to have to give my home address, etc.",25,"Give workable recommendations and give incentives for reducing energy use, etc. Be transparent and be intuitive. Offer help for those who are less tech savvy.",25,"Need a database of FAQs, or an easy troubleshooting guide for the issues that come up most. I don't like having to search for answers.",25,2026-04-08 17:17:37,2026-04-08 17:17:37
P09,Guests/Visitors,"There was a heatwave and it was causing serious health issues, but the system wasn't working. How can I overridde the temperature setting in te event of an emergency where it doesn't appear to be sensing correctly?",37,"This is hard or me to answer, because I think that it is heavily situational dependent, dashboard or voice would be best.",22,"I would be worried about how valnerable my data would be to hacking and would be worried about hackers being able to gain access to sensors and other system and manipulate them. So, what would make me trust the answers of the system more would be clear details showcased within the code itself.",53,"For me, something that would show that the system was working well and was generally useful to me would be if it could actively reduce my monthly electric bill by a measurable amount, such as five dollars or something.",39,"I think that the dashboards can be too complex at times, at least the ones I have interacted with. This can cause you to have to spend a lot of time looking for something, simply, because it wasn't labeled in a wa you would expect it to be.",48,2026-04-08 17:12:56,2026-04-08 17:12:56
P07,Guests/Visitors,can you unlock the door to the roof for me? can you send someone to take care of these mice?,20,"i'd like a format like chatgpt with a text input box, or voice interface that does the same. i imagine the building talking to me like in 2001 on the spaceship. ",31,"if the answers didn't sound like they were produced to protect the building (e.g. it sounding like it wasn't telling me the whole truth). yes i'd be concerned about privacy, unless i could remain anonymous, but even then i suppose buildings could learn your voice.",45,"i mean, if it feature most of what you've presented so far it'd be very useful. it works well if the building is more efficient than others around, and if it can handle what i need well.",37,"it's all so separated. and saving passwords and logging in, and slowness. i mean, a chatgpt like system for this is a great idea.",24,2026-04-08 16:57:04,2026-04-08 16:57:04
P10,Student/Researchers/Academics,I want to know why floor is dipping. I want it to explain why it is dipping so that I can fix it.,23,I want it to be able to answer it in voice when I asked questions in voice. It makes things easier for me.,23,I want it to be sure that it is secure. I want to make sure that my privacy is respected.,20,I would find it successful if it does help me to better manage my building. It would make things easier for me.,22,They are too complex and hard to use. They are overly complicated and it is difficult to determine how to use it.,22,2026-04-08 16:56:33,2026-04-08 16:56:33
P08,Occupants/Tenants/Employees,"I lived in an apartment that had an electrical smell coming from the vents, I'd have loved if the building could explain why to me and if it was safe.",30,"I'd like to speak aloud and have it respond, but also to have it be able to send charts and oher visual aids to my phone or email",28,I'd need to know what company built it and Id have to get use to it before I fully trusted it,21,"It would be really useful in a lot of scenarios, especially safety wise. if I could ask the building to turn on the lights in the garage if anyone moves within 30 feet of me in the middle of the night, I would feel safer",45,"Too busy and far too complex.  make it simple, create extra pages if need be, but keep it simple. just simple",21,2026-04-08 16:51:28,2026-04-08 16:51:28
P06,Guests/Visitors,"I was in a building where there didn't seem to be any real way to set the temperature for a specific area, so I'd like to have asked where I could adjust the temperature for the area I was in at that time.",43,I'd like to use plain text and alerts or notifications on my phone. Just keep it simple and to the point.,21,"I'd trust the answers more if I knew that the source of the information was reliable and established, so show me the sources.",23,It would be useful to me if it just made me more comfortable and at ease when I'm in the building.,21,The main pain point for me right now is just keeping the thermostat set at a place that makes everyone happy.,21,2026-04-08 16:36:02,2026-04-08 16:36:02
P01,IT/Data Scientists,I was cold and wished I could ask the building to automate the temperature. It would help if they could answer with real solutions. ,24,I think voice chat would be ideal. Like talking to a smart device like Alexa. Would be fast and efficient. ,20,"I would have to be able to read privacy information at any time. If I couldn't access that, I would trust the system less.",24,Being able to automate simple things like turning on and off lights would help. Being able to schedule meetings more efficiently would be a huge help too.,27,Some are too complex. There are menus within submenus. The UI isn't always user friendly. Or clear to those who aren't tech savvy. ,23,2026-04-08 16:21:57,2026-04-08 16:21:57
