qid,key,username,roles,qnum,stage,timestamp,question,cognitive_operation,reasoning_load,answer_determinacy,uncertainty,ambiguity,level,level_name,why,latent_level,latent_level_name,latent_why,answer_basis,architecture,parameters,pipeline_stages,data_sources,answerability,provider,model,classified_at
q0f6d55417fb4,P92|65|q0f6d55417fb4,P92,Occupants/Tenants/Employees; Guests/Visitors,65,1,12/04/2026 10:42,How do you enforce or make sure people read the rules?,inference,moderate,derived,moderate,moderate,3,Inferential Reasoning,"Needs a derived explanation of enforcement and read-confirmation processes, not one fixed fact.",4,Causal Diagnosis,"Verifying rule reading needs identity, acknowledgement/access logs, and compliance aggregation; not loaded.",building-data,ontology/knowledge graph; capability knowledge base; analytics sandbox; RBAC; report generation; [NEW] rules/policy document in inputs/; [NEW] rule-acknowledgement and user identity store (new data source; add to ontology+KB); [NEW] access-control/security logs feed (new data source),"entities: occupants, visitors, rules, acknowledgements, access points; time range: current policy and selected audit window; thresholds: required acknowledgement before access; units: acknowledgements %, incidents; aggregation: per role, rule, area; filters: user role, visitor status",dialogue -> intent classification -> policy lookup -> [NEW] rules retrieval -> [NEW] acknowledgement/access-log retrieval -> compliance aggregation -> response,building ontology; capability KB; [NEW] rules/policy document; [NEW] acknowledgement/user identity store; [NEW] access-control/security logs,requires_extension,openai,gpt-5.5,2026-06-07 21:53:19
q490d8a9c8bb7,P92|66|q490d8a9c8bb7,P92,Occupants/Tenants/Employees; Guests/Visitors,66,1,12/04/2026 10:42,Like would there be more security at some than others?,inference,moderate,derived,moderate,moderate,3,Inferential Reasoning,"Ambiguous referent 'some' must be resolved, then relative security by area/time is derived.",3,Inferential Reasoning,Needs spatial comparison plus security-zone/staffing data; access/security feeds are not loaded.,building-data,ontology/knowledge graph; floor-plan and spatial reasoning; capability knowledge base; analytics sandbox for light comparison; [NEW] security zoning/staffing policy added to ontology+KB; [NEW] access/security event logs or patrol feed (new data source),"entities: areas, floors, entrances, events/security zones; time range: current or specified period; thresholds: security level definitions; units: guard count, access restrictions, coverage level; aggregation: per area/time; filters: role, floor, event status",dialogue -> clarify referent if needed -> ontology/floor-plan query -> [NEW] security policy/log retrieval -> compare/aggregate security levels -> response,building ontology; floor plans; capability KB; [NEW] security-zone/staffing schedule; [NEW] access/security event logs or patrol feed,requires_extension,openai,gpt-5.5,2026-06-07 21:53:19
q67f30c64728f,P92|67|q67f30c64728f,P92,Occupants/Tenants/Employees; Guests/Visitors,67,1,12/04/2026 10:41,Do different smart buildings have different functions and capabilities?,comparison,low,multi-fact,low,clear,2,Comparative Analysis,Compares capabilities across building types; clear low-uncertainty multi-fact answer.,1,Factual Recall,Single LLM general explanation; no building data needed.,general-knowledge,LLM (general knowledge),"entities: smart buildings, functions, capabilities; time range: N/A; thresholds: N/A; units: N/A; aggregation: examples by building type; filters: generic",dialogue -> LLM answer -> response,general LLM knowledge,full,openai,gpt-5.5,2026-06-07 21:56:10
q043f06d4b8f4,P92|68|q043f06d4b8f4,P92,Occupants/Tenants/Employees; Guests/Visitors,68,1,12/04/2026 10:40,Do you have face recognition active in the building?,recall,trivial,single-fact,none,clear,1,Factual Recall,Yes/no capability and active-status check; clear single-fact request.,3,Inferential Reasoning,Needs linked security inventory/config/privacy records; access-security data is missing.,building-data,LangGraph orchestrator; ontology/knowledge graph; capability knowledge base; Agentic RAG fallback; [NEW] CCTV/access-control/face-recognition configuration feed (new data source); [NEW] security/privacy register added to ontology+KB,"entities: face recognition, CCTV, access control, Abacws; time range: current; thresholds: active/enabled; units: N/A; aggregation: any active subsystem; filters: building-wide",dialogue -> intent classification -> capability/ontology query -> [NEW] security config/status lookup -> privacy-policy check -> response,building ontology; capability KB; [NEW] CCTV/access-control configuration feed; [NEW] security/privacy policy register,requires_extension,openai,gpt-5.5,2026-06-07 21:56:10
q71bb5b876b56,P92|69|q71bb5b876b56,P92,Occupants/Tenants/Employees; Guests/Visitors,69,1,12/04/2026 10:40,What happens if the power goes out?,inference,moderate,derived,moderate,moderate,3,Inferential Reasoning,Hypothetical outage effects require derived safety sequence; moderate ambiguity about backup systems.,3,Inferential Reasoning,Needs multi-hop emergency procedure and electrical fail-safe records; key docs not loaded.,hybrid,LangGraph orchestrator; ontology/knowledge graph; capability knowledge base; floor-plan/spatial reasoning; [NEW] outage/emergency-power procedure file (inputs YAML/PDF); [NEW] UPS/generator/electrical/lift fail-safe inventory added to ontology+KB,"entities: mains power, emergency lighting, alarms, lifts, access control, HVAC/IT; time range: outage event; thresholds: failover status; units: N/A; aggregation: sequence by subsystem; filters: Abacws",dialogue -> intent classification -> KB/ontology query -> [NEW] emergency-power procedure retrieval -> derive outage sequence -> response,building ontology; capability KB fire/lift facts; floor plans; [NEW] outage procedure input files; [NEW] emergency-power/electrical equipment inventory,requires_extension,openai,gpt-5.5,2026-06-07 21:56:10
q4a54efa815b6,P92|70|q4a54efa815b6,P92,Occupants/Tenants/Employees; Guests/Visitors,70,1,12/04/2026 10:39,If one part of you malfunctions...do all parts go down at once?,synthesis,high,synthesised,high,ambiguous,5,Systemic Synthesis,Broad subsystem-failure question needs synthesised resilience view; high uncertainty and ambiguous scope.,5,Systemic Synthesis,Requires multi-system dependency fusion and fault-impact modelling; dependency/log data missing.,hybrid,LangGraph orchestrator; ontology/knowledge graph; analytics sandbox; visualisation; [NEW] BMS controller/network dependency graph added to ontology; [NEW] device-health/alarm/protocol log feed (new data source),"entities: sensors, controllers, networks, HVAC, lifts, safety systems; time range: current + hypothetical fault; thresholds: dependency/criticality; units: N/A; aggregation: impact by subsystem; filters: single-component failure",dialogue -> intent classification -> ontology topology query -> [NEW] dependency/health/log retrieval -> failure-impact analysis -> resilience summary -> response,"building ontology; capability KB; [NEW] BMS controller/network topology/dependency graph; [NEW] device-health, alarm and protocol logs",requires_extension,openai,gpt-5.5,2026-06-07 21:56:10
q99dc7b501e98,P92|71|q99dc7b501e98,P92,Occupants/Tenants/Employees; Guests/Visitors,71,1,12/04/2026 10:38,Since you're a smart building...can you regulate the temperature in each room differently?,recall,trivial,single-fact,none,clear,1,Factual Recall,Yes/no capability check about room-level temperature control; clear single-fact request.,3,Inferential Reasoning,Needs room-to-zone-to-control-point lookup; actuator endpoints and lower-floor live streams missing.,building-data,LangGraph orchestrator; ontology/knowledge graph; capability knowledge base; floor-plan/spatial reasoning; control intent; [NEW] HVAC actuator/setpoint inventory and BMS write-back feed (new data source; add controllable points to ontology); [NEW] live temperature streams for floors 0-4 (new data source),"entities: rooms, HVAC zones, thermostats/setpoints, temperature sensors; time range: current capability; thresholds: independent setpoint per room; units: °C; aggregation: room-to-zone coverage; filters: Abacws rooms",dialogue -> intent classification -> ontology room-to-HVAC-zone query -> [NEW] control-endpoint/live-sensor check -> capability response,building ontology; HVAC zoning facts in capability KB; floor plans; live floor-5 temperature streams; [NEW] HVAC setpoint/actuator/BMS write-back endpoints; [NEW] live temperature streams for floors 0-4,requires_extension,openai,gpt-5.5,2026-06-07 21:56:10
q09a449d14d23,P92|72|q09a449d14d23,P92,Occupants/Tenants/Employees; Guests/Visitors,72,1,12/04/2026 10:37,How about hearing everything? Even when whispered to?,recall,trivial,single-fact,none,clear,1,Factual Recall,Yes/no audio-surveillance capability check; no comparison or causal reasoning required.,4,Causal Diagnosis,"Whisper hearing needs [NEW] microphones, spatial coverage and speech/noise analytics; no audio streams exist.",building-data,ontology/knowledge graph; capability KB; floor-plan + spatial reasoning; analytics sandbox; [NEW] microphone/audio sensor feed (new data source; add Audio_Point classes to ontology); [NEW] speech/whisper detection analytics; [NEW] audio privacy policy (new inputs/ YAML -> capability KB),"entities: microphones/audio coverage/whispered speech; time range: current/live; thresholds: whisper dB, SNR, speech intelligibility; units: dB, SNR; aggregation: room/floor coverage; filters: RBAC, privacy zones",dialogue -> intent classification -> capability check -> ontology/floor-plan coverage query -> [NEW] audio stream retrieval -> analytics(whisper/speech detection) -> privacy check -> response,building ontology; floor plans; capability KB; [NEW] microphone inventory/audio streams (new data source); [NEW] audio privacy policy (inputs/ YAML),requires_extension,openai,gpt-5.5,2026-06-07 21:59:24
qd1630fbc2a10,P92|73|qd1630fbc2a10,P92,Occupants/Tenants/Employees; Guests/Visitors,73,1,12/04/2026 10:37,Can you visually see what's going on everywhere within the building?,recall,trivial,single-fact,none,clear,1,Factual Recall,Yes/no visual-surveillance capability check; human mainly verifies current camera visibility.,4,Causal Diagnosis,"All-building visual awareness needs [NEW] camera feeds, coverage mapping and CV analytics; security video is not integrated.",building-data,ontology/knowledge graph; capability KB; floor-plan + spatial reasoning; analytics sandbox; visualisation; [NEW] CCTV/video feed and camera inventory (new data source; add Camera classes to ontology); [NEW] video/CV scene analytics; [NEW] CCTV/privacy policy (new inputs/ YAML -> capability KB),"entities: CCTV/cameras/all building areas; time range: current/live; thresholds: coverage %, blind spots, frame rate; units: %, fps; aggregation: by room/floor; filters: RBAC, privacy-restricted areas",dialogue -> intent classification -> capability check -> ontology/floor-plan coverage query -> [NEW] video feed retrieval -> CV/coverage analytics -> privacy check -> response,building ontology; floor plans; capability KB; [NEW] camera inventory/video streams (new data source); [NEW] CCTV/privacy policy (inputs/ YAML),requires_extension,openai,gpt-5.5,2026-06-07 21:59:24
q491f7987fa3c,P92|74|q491f7987fa3c,P92,Occupants/Tenants/Employees; Guests/Visitors,74,1,12/04/2026 10:36,Do the police work well with you?,inference,moderate,derived,moderate,moderate,3,Inferential Reasoning,"'Work well' is subjective; answer derives from police liaison policy, incident history and response outcomes.",4,Causal Diagnosis,Needs security/police procedures plus incident-response log analytics; police/security data is not loaded.,building-data,ontology/knowledge graph; capability KB; report intake; analytics sandbox; RBAC; [NEW] security incident log feed (new data source); [NEW] police liaison/SOP records (new inputs/ YAML -> capability KB); [NEW] police response/outcome data feed or API,"entities: police, building security/reception, incidents; time range: current policy plus historical incidents; thresholds: response SLA, outcome rate; units: minutes, %; aggregation: incident summaries; filters: authorised roles only",dialogue -> intent classification -> policy/security capability retrieval -> [NEW] police liaison and incident data retrieval -> analytics(SLA/outcome stats) -> response,building ontology; capability KB; report intake records; [NEW] security incident logs; [NEW] police liaison/SOP records; [NEW] police response/outcome data,requires_extension,openai,gpt-5.5,2026-06-07 21:59:24
qc7cca73d9d0d,P92|75|qc7cca73d9d0d,P92,Occupants/Tenants/Employees; Guests/Visitors,75,1,12/04/2026 10:36,What do you do if someone won't leave the premises?,inference,moderate,derived,moderate,moderate,3,Inferential Reasoning,"Conditional safety procedure; applies trespass/security policy and escalation rules, not a single fact.",3,Inferential Reasoning,Requires multi-hop policy/workflow retrieval; trespass SOP and security contact integration are not loaded.,building-data,LangGraph orchestrator; capability KB; report intake; alert intent; RBAC; [NEW] trespass/security SOP (new inputs/ YAML -> capability KB); [NEW] security guard/contact escalation workflow (new data source/API); [NEW] access-control/security integration (new data source; add to ontology),"entities: non-leaving person, premises, reception/security, police escalation; time range: current policy or active incident if confirmed; thresholds: refusal duration, threat severity; units: minutes, severity level; aggregation: per incident; filters: location, RBAC, safety status",dialogue -> intent classification -> retrieve [NEW] trespass SOP -> derive escalation workflow -> optional report-intake/alert plan -> response,capability KB; report intake; building ontology; [NEW] trespass/security SOP; [NEW] security contact/escalation data; [NEW] access-control/security system data,requires_extension,openai,gpt-5.5,2026-06-07 21:59:24
qbbb54a71cf4a,P92|76|qbbb54a71cf4a,P92,Occupants/Tenants/Employees; Guests/Visitors,76,1,12/04/2026 10:35,Do you have a name?,recall,trivial,single-fact,none,clear,1,Factual Recall,Direct self-identity/name lookup; one deterministic fact.,1,Factual Recall,Single system persona/config lookup; no telemetry or analytics needed.,building-data,system config/persona registry; capability KB,"entities: assistant/system identity, active building; time range: current; thresholds: n/a; units: n/a; aggregation: n/a; filters: active persona/building config",dialogue -> intent classification -> system persona/config lookup -> response,system persona config; building.yaml; capability KB,full,openai,gpt-5.5,2026-06-07 21:59:24
q6bf8befed3a0,P92|77|q6bf8befed3a0,P92,Occupants/Tenants/Employees; Guests/Visitors,77,1,12/04/2026 10:35,"Do you have a physical presence or do you come through speakers, monitors, etc?",recall,trivial,single-fact,none,clear,1,Factual Recall,Simple embodiment/capability yes-no; single-fact recall with clear wording.,1,Factual Recall,No building data needed; system can answer from its own general identity/context.,general-knowledge,LLM (general knowledge),entities: assistant embodiment/interfaces; time range: n/a; thresholds: n/a; units: n/a; aggregation: n/a; filters: current interaction,dialogue -> LLM answer -> response,general LLM knowledge,full,openai,gpt-5.5,2026-06-07 22:01:26
qd26faf1957ba,P92|78|qd26faf1957ba,P92,Occupants/Tenants/Employees; Guests/Visitors,78,1,12/04/2026 10:34,Do dogs and cats generally notice themselves being in the presence of a robot?,inference,moderate,derived,moderate,moderate,3,Inferential Reasoning,Asks general animal perception of robots; derived explanation with moderate uncertainty and broad 'notice' wording.,1,Factual Recall,"General animal-behaviour explanation only; one LLM answer, no building data.",general-knowledge,LLM (general knowledge),"entities: dogs, cats, robots; time range: general; thresholds: n/a; units: n/a; aggregation: typical behaviour; filters: none",dialogue -> LLM answer -> response,general LLM knowledge,full,openai,gpt-5.5,2026-06-07 22:01:26
q789e9263e398,P92|79|q789e9263e398,P92,Occupants/Tenants/Employees; Guests/Visitors,79,1,12/04/2026 10:34,Can animals detect when they are in a smart building?,inference,moderate,derived,moderate,moderate,3,Inferential Reasoning,Requires explaining whether animals sense smart-building cues; derived answer with ambiguous 'detect'.,1,Factual Recall,General concept question; LLM can answer directly without building telemetry or ontology.,general-knowledge,LLM (general knowledge),"entities: animals, smart-building cues; time range: general; thresholds: n/a; units: n/a; aggregation: typical sensory capability; filters: none",dialogue -> LLM answer -> response,general LLM knowledge,full,openai,gpt-5.5,2026-06-07 22:01:26
q637809d370d8,P92|80|q637809d370d8,P92,Occupants/Tenants/Employees; Guests/Visitors,80,1,12/04/2026 10:34,Have their been any fatal accidents that occurred in a smart building?,recall,trivial,single-fact,low,moderate,1,Factual Recall,"Yes/no existence question; factual recall, with mild ambiguity over what counts as a smart building.",1,Factual Recall,"General historical/common-knowledge answer; handled by one LLM call, no local incident data needed.",general-knowledge,LLM (general knowledge),"entities: fatal accidents, smart buildings; time range: known history; thresholds: n/a; units: n/a; aggregation: existence/examples; filters: general cases",dialogue -> LLM answer -> response,general LLM knowledge,full,openai,gpt-5.5,2026-06-07 22:01:26
q150c8f2ef9ea,P92|81|q150c8f2ef9ea,P92,Occupants/Tenants/Employees; Guests/Visitors,81,1,12/04/2026 10:33,Is the elevator a smart elevator?,recall,trivial,single-fact,low,moderate,1,Factual Recall,Visitor asks a yes/no lift capability fact; 'smart elevator' only adds minor definition ambiguity.,2,Comparative Analysis,Needs lift metadata plus light comparison to a smart-elevator definition; no telemetry analytics.,hybrid,ontology/knowledge graph; capability KB; LLM (definition/wording),entities: Abacws elevator/lifts; time range: current; thresholds: smart-elevator features/definition; units: n/a; aggregation: n/a; filters: bldg1,dialogue -> intent classification -> capability KB/ontology lookup -> feature-definition comparison -> response,building ontology; capability KB lift facts; general LLM knowledge,full,openai,gpt-5.5,2026-06-07 22:01:26
q29808dd4317f,P92|82|q29808dd4317f,P92,Occupants/Tenants/Employees; Guests/Visitors,82,1,12/04/2026 10:33,Does this have more advanced fire alarms that a normal building?,comparison,low,multi-fact,low,clear,2,Comparative Analysis,Compares this building’s fire-alarm features with a typical-building baseline; multi-fact but low reasoning.,2,Comparative Analysis,Needs fire-safety KB lookup plus light comparison to a general baseline; no analytics required.,hybrid,capability knowledge base; ontology/knowledge graph; LLM general baseline comparison,entities: Abacws fire-alarm/fire-safety systems; time range: current; thresholds: typical vs advanced alarm features; units: n/a; aggregation: feature comparison; filters: whole building,dialogue -> intent classification -> capability KB/ontology query -> baseline comparison -> response,Capability KB fire-safety facts; building ontology; general LLM knowledge on typical fire-alarm systems,full,openai,gpt-5.5,2026-06-07 22:04:27
q5ba9d8d56041,P92|83|q5ba9d8d56041,P92,Occupants/Tenants/Employees; Guests/Visitors,83,1,12/04/2026 10:32,"Is this building ""sustainable""? Or, I mean environmentally friendly?",synthesis,high,synthesised,high,ambiguous,5,Systemic Synthesis,"Broad sustainability judgement synthesises design, energy, carbon, water and waste with ambiguous criteria.",5,Systemic Synthesis,"Needs multi-domain operational/design data fusion and benchmarks; key energy, water, waste and certification data are missing.",hybrid,ontology/knowledge graph; capability KB; time-series store; analytics sandbox; visualisation; report generation; [NEW] energy submetering feed (new data source); [NEW] water and waste feeds (new data source); [NEW] sustainability certification/design docs (inputs/ files + add to ontology/KB); [NEW] weather/carbon-intensity API (external API),"entities: Abacws whole-building sustainability; time range: current + last 12 months; thresholds: BREEAM/ESG/carbon benchmarks; units: kWh, kgCO2e, m3, tonnes; aggregation: monthly/annual; filters: whole building",dialogue -> sustainability intent -> ontology/KB query -> [NEW] meter/API/document retrieval -> analytics/benchmarking -> report/visuals -> response,building ontology; capability KB; [NEW] energy time-series; [NEW] water time-series; [NEW] waste records; [NEW] sustainability certification/design documents; [NEW] weather/carbon-intensity API,requires_extension,openai,gpt-5.5,2026-06-07 22:04:27
q68115f7079fa,P92|84|q68115f7079fa,P92,Occupants/Tenants/Employees; Guests/Visitors,84,1,12/04/2026 10:30,"Do you store conversations, allowing me to continue where we left off if  I want to?",recall,trivial,single-fact,none,clear,1,Factual Recall,Simple yes/no capability recall about conversation memory and continuity.,1,Factual Recall,Conversation memory is implemented; answer is a single system capability/config lookup.,building-data,LangGraph conversation memory; capability knowledge base; RBAC,entities: conversation memory/storage; time range: current and prior sessions; thresholds: retention/privacy policy; units: n/a; aggregation: n/a; filters: current user/session/RBAC,dialogue -> capability intent -> memory/config lookup -> response,OntoSage capability/config metadata; conversation memory settings,full,openai,gpt-5.5,2026-06-07 22:04:27
qb3e2a64bcdbe,P92|85|qb3e2a64bcdbe,P92,Occupants/Tenants/Employees; Guests/Visitors,85,1,12/04/2026 10:30,"How does a person like me, communicate with you? Is it on my phone, laptop?",recall,trivial,single-fact,none,clear,1,Factual Recall,Asks for a straightforward access-channel fact for a user role.,2,Comparative Analysis,Needs role-specific access-channel and RBAC metadata; phone/laptop deployment details are not loaded.,building-data,capability knowledge base; RBAC; [NEW] access-channel deployment registry (add to ontology+KB); [NEW] front-end/client availability config (inputs/ file),entities: user access channels; time range: current deployment; thresholds: role/RBAC eligibility; units: n/a; aggregation: channel list; filters: occupant/visitor,dialogue -> capability intent -> [NEW] access-channel/RBAC metadata lookup -> response,OntoSage API/config; [NEW] access-channel registry; [NEW] front-end/client deployment config,requires_extension,openai,gpt-5.5,2026-06-07 22:04:27
q9da4b50da609,P92|86|q9da4b50da609,P92,Occupants/Tenants/Employees; Guests/Visitors,86,1,12/04/2026 10:28,Do you have the ability to connect to other smart buildings...interact with them?,recall,trivial,single-fact,none,clear,1,Factual Recall,Surface form is a yes/no capability check about inter-building connection.,6,Meta / Strategic Reasoning,"Inter-building federation/control is not implemented; needs external building APIs, shared ontology, auth and orchestration.",building-data,LangGraph orchestrator; ontology/knowledge graph; RBAC; control loop; [NEW] multi-building federation gateway (external APIs/new data source); [NEW] shared building registry and ontology mappings (add to ontology+KB); [NEW] inter-building auth/permissions config (inputs/ file); [NEW] remote BMS/time-series/control APIs (external API),"entities: OntoSage, Abacws and other smart buildings; time range: current/future sessions; thresholds: auth, permissions and API compatibility; units: n/a; aggregation: federated query/control; filters: participating buildings",dialogue -> capability intent -> local config/KG lookup -> [NEW] federation discovery/auth -> [NEW] remote KG/time-series/BMS API calls -> orchestration/control loop -> response,bldg1 ontology and config; [NEW] other-building ontologies/KGs; [NEW] other-building time-series/BMS/control APIs; [NEW] federation registry and permissions,requires_extension,openai,gpt-5.5,2026-06-07 22:04:27
q3fc4685316db,P92|87|q3fc4685316db,P92,Occupants/Tenants/Employees; Guests/Visitors,87,1,12/04/2026 10:27,Are you one of many smart buildings? Or are you unique at this time?,comparison,low,multi-fact,low,clear,2,Comparative Analysis,"Compares common smart buildings with this deployment; multi-fact answer, low uncertainty.",2,Comparative Analysis,Needs system/capability lookup plus general context; no analytics.,hybrid,capability knowledge base; building.yaml/system config; LLM response formatting,entities: Abacws/OntoSage smart-building deployment; time range: current; thresholds: n/a; units: n/a; aggregation: n/a; filters: active building bldg1,dialogue -> intent classification -> capability KB/system config lookup -> LLM synthesis -> response,capability KB building info; building.yaml active-building config; general LLM knowledge,full,openai,gpt-5.5,2026-06-07 22:07:29
qd59928e12812,P48|1|qd59928e12812,P48,Student/Researchers/Academics,1,4,12/04/2026 11:59,what steps are taken to continuously improve building sustainability performance?,synthesis,high,synthesised,high,ambiguous,5,Systemic Synthesis,"Broad sustainability-improvement process needs a synthesised programme, high ambiguity and uncertainty.",1,Factual Recall,"Conceptual sustainability-practice answer; one LLM call, no building data.",general-knowledge,LLM (general knowledge),"entities: sustainability performance, continuous improvement; time range: generic lifecycle; thresholds: n/a; units: n/a; aggregation: n/a; filters: n/a",dialogue -> LLM answer -> response,general LLM knowledge,full,openai,gpt-5.5,2026-06-07 22:07:29
q6e07ce5c499c,P48|2|q6e07ce5c499c,P48,Student/Researchers/Academics,2,4,12/04/2026 11:58,can predictive analytics help reduce future resource consumption?,inference,moderate,derived,moderate,moderate,3,Inferential Reasoning,Requires explaining how forecasts can drive lower consumption; derived answer with moderate uncertainty.,1,Factual Recall,Generic predictive-analytics concept; one LLM answer.,general-knowledge,LLM (general knowledge),"entities: predictive analytics, future resource consumption; time range: future/generic; thresholds: n/a; units: n/a; aggregation: n/a; filters: n/a",dialogue -> LLM answer -> response,general LLM knowledge,full,openai,gpt-5.5,2026-06-07 22:07:29
q32e1694c80e2,P48|3|q32e1694c80e2,P48,Student/Researchers/Academics,3,4,12/04/2026 11:57,are there dashboards showing real time environmental conditions?,recall,trivial,single-fact,none,clear,1,Factual Recall,Clear yes/no capability check for dashboards; single-fact recall.,2,Comparative Analysis,Checks dashboard capability plus live sensor freshness; no analytics.,building-data,capability knowledge base; ontology/knowledge graph; time-series store; visualisation; response formatting,"entities: environmental dashboards, temperature/CO2/humidity points; time range: current/latest; thresholds: n/a; units: °C, ppm, %RH; aggregation: latest; filters: live floor 5, metadata floors 0-4",dialogue -> intent classification -> capability KB lookup -> ontology sensor discovery -> time-series freshness check -> response,capability KB; building ontology; live floor-5 temperature/CO2/humidity time-series; floors 0-4 sensor metadata,full,openai,gpt-5.5,2026-06-07 22:07:29
q65612bee77f2,P48|4|q65612bee77f2,P48,Student/Researchers/Academics,4,4,12/04/2026 11:57,how are sudden changes in occupancy managed efficiently?,inference,moderate,derived,moderate,moderate,3,Inferential Reasoning,Explains response mechanisms for occupancy shocks; derived answer with moderate ambiguity.,1,Factual Recall,"General smart-building control concept; one LLM answer, no building data.",general-knowledge,LLM (general knowledge),"entities: sudden occupancy changes, HVAC, ventilation, lighting, control response; time range: generic real-time operation; thresholds: n/a; units: n/a; aggregation: n/a; filters: n/a",dialogue -> LLM answer -> response,general LLM knowledge,full,openai,gpt-5.5,2026-06-07 22:07:29
q5600f9b73289,P48|5|q5600f9b73289,P48,Student/Researchers/Academics,5,4,12/04/2026 11:56,can the system suggest better seating locations based on comfort?,recall,trivial,single-fact,none,clear,1,Factual Recall,Yes/no capability check; the human surface task is to confirm whether comfort-based seating suggestions are possible.,4,Causal Diagnosis,Needs spatial seat mapping plus comfort time-series analytics and recommendation scoring.,hybrid,LangGraph; ontology/knowledge graph; time-series store; analytics sandbox; floor-plan + spatial reasoning; recommendation/visualisation; LLM comfort guidance; [NEW] seating inventory/seat geometry (add to ontology + inputs/ floor-plan layer); [NEW] live temp/CO2/humidity streams for floors 0-4 (new sensor feed),"entities: seats, study areas, comfort sensors, rooms/zones; time range: current + recent 24h/7d default; thresholds: comfort bands for temperature/CO2/RH; units: °C, ppm, %RH; aggregation: spatial comfort score per seat/zone; filters: accessible seating areas",dialogue -> intent classification -> ontology/spatial query -> retrieve comfort time-series -> [NEW] seat mapping/live data -> analytics comfort scoring -> recommendation/visualisation -> response,general comfort guidance; building ontology; floor plans; floor 5 temperature/CO2/humidity time-series; [NEW] seating inventory/seat geometry; [NEW] live temperature/CO2/humidity feeds for floors 0-4,requires_extension,openai,gpt-5.5,2026-06-07 22:09:44
qbe5a92fea383,P48|6|qbe5a92fea383,P48,Student/Researchers/Academics,6,4,12/04/2026 11:56,are shared spaces optimized for both comfort and energy efficiency?,synthesis,high,synthesised,high,ambiguous,5,Systemic Synthesis,"Judges ambiguous optimization trade-off across comfort and energy KPIs, so answer is synthesised with high uncertainty.",5,Systemic Synthesis,"Requires comfort telemetry, missing energy/occupancy feeds, KPI modelling and trade-off reporting.",hybrid,LangGraph; ontology/knowledge graph; time-series store; analytics sandbox; forecasting; visualisation/report generation; LLM benchmark interpretation; [NEW] energy submetering feed (new data source); [NEW] occupancy sensing/API (new data source); [NEW] live temp/CO2/humidity streams for floors 0-4 (new sensor feed); [NEW] weather API (external data source),"entities: shared spaces, HVAC zones, comfort sensors, energy meters; time range: user-specified or recent 30 days default; thresholds: comfort bands and energy KPI targets; units: °C, ppm, %RH, kWh, kWh/m²; aggregation: hourly/daily per shared space; filters: shared/public areas",dialogue -> intent classification -> ontology query for shared spaces -> retrieve comfort time-series -> [NEW] energy/occupancy/weather retrieval -> KPI analytics and optimization trade-off analysis -> visual report -> response,building ontology; floor plans; floor 5 temperature/CO2/humidity time-series; general comfort/energy benchmarks; [NEW] energy meter time-series; [NEW] occupancy time-series/API; [NEW] live temperature/CO2/humidity feeds for floors 0-4; [NEW] weather feed,requires_extension,openai,gpt-5.5,2026-06-07 22:09:44
q8f15848927bb,P48|7|q8f15848927bb,P48,Student/Researchers/Academics,7,4,12/04/2026 11:54,how does the building prevent overheating in sun exposed areas?,inference,moderate,derived,moderate,moderate,3,Inferential Reasoning,"Asks for an explanatory mechanism; answer is derived from zoning, exposure and control evidence, not a single fact.",4,Causal Diagnosis,"Needs zone topology plus temp trends, solar exposure, weather and HVAC control evidence.",building-data,ontology/knowledge graph; capability KB; floor-plan + spatial reasoning; time-series store; analytics sandbox; [NEW] facade/orientation/solar-exposure model (add to ontology + inputs/ file); [NEW] weather/solar irradiance API (external data source); [NEW] HVAC actuator/control-sequence logs (new data source/add to ontology),"entities: sun-exposed rooms/zones, HVAC zones, temperature sensors, control sequences; time range: hot/sunny periods or recent summer weeks; thresholds: overheating setpoints/comfort limits; units: °C, W/m² irradiance; aggregation: zone hourly trends; filters: facade-facing/sun-exposed areas",dialogue -> intent classification -> spatial query for sun-exposed zones -> retrieve HVAC zoning and temperature trends -> [NEW] solar/weather/control-log retrieval -> analytics correlation/anomaly check -> explanatory response,building ontology; capability KB HVAC zoning facts; floor plans; floor 5 temperature time-series; [NEW] facade/orientation/solar-exposure metadata; [NEW] weather/solar irradiance feed; [NEW] HVAC actuator/control-sequence logs,requires_extension,openai,gpt-5.5,2026-06-07 22:09:44
q3b0e93667c5b,P48|8|q3b0e93667c5b,P48,Student/Researchers/Academics,8,4,12/04/2026 11:54,can lighting color temperature adjust to support occupant well being?,recall,trivial,single-fact,none,clear,1,Factual Recall,Surface task is a clear yes/no capability check about tunable lighting support for well-being.,3,Inferential Reasoning,Needs lighting asset/control metadata and CCT capability; lighting is not currently modelled.,hybrid,LLM well-being/CCT guidance; ontology/knowledge graph; capability KB; [NEW] tunable-lighting fixtures/control points (add to ontology + KB); [NEW] lighting/BMS control API (new data source),"entities: lighting fixtures, zones, occupants, CCT control points; time range: current capability/schedule; thresholds: well-being or circadian CCT guidance; units: Kelvin, lux if available; aggregation: per zone/control group; filters: occupied areas with tunable lighting",dialogue -> LLM well-being criteria -> ontology/capability lookup -> [NEW] lighting control capability check -> response,general LLM knowledge; building ontology/capability KB; [NEW] tunable-lighting asset/control metadata; [NEW] lighting/BMS control API,requires_extension,openai,gpt-5.5,2026-06-07 22:09:44
