ID,Stakeholder_Role,Question,source_systems,n_systems,Complexity_L,Readiness_R
AI-046,"Accessibility, inclusion, and well-being teams",Are essential announcements delivered in equivalent audible and visual forms across every affected location and effective period?,contract_warranty|it_network|project_handover|sensor_telemetry,4,,
AI-047,"Accessibility, inclusion, and well-being teams","Do digital displays give essential information enough contrast, size and dwell time, with an equivalent non-display channel?",sensor_telemetry,1,,
AI-048,"Accessibility, inclusion, and well-being teams","Have closures, room moves and route changes reached each affected attendee and accompanying person through their selected authorised channels before travel?",booking|policy_governance|sensor_telemetry,3,,
AI-049,"Accessibility, inclusion, and well-being teams","Which proposed assistive-navigation beacons are mapped, commissioned, healthy and suitable to mention, and where must the service stay silent?",it_network|sensor_telemetry|survey_condition,3,,
AI-050,"Accessibility, inclusion, and well-being teams","When signs, maps, bookings and live route states disagree, what can we safely publish now and which owner must resolve each conflict?",sensor_telemetry,1,,
AI-051,"Accessibility, inclusion, and well-being teams","Which accessible toilets can we currently describe as open, reachable and not known to be out of service for the required interval?",cleaning_waste|sensor_telemetry,2,,
AI-052,"Accessibility, inclusion, and well-being teams","Are the alarm, rails, transfer space, door hardware and other essential features of the intended accessible toilet supported by current competent evidence?",cleaning_waste|policy_governance|sensor_telemetry,3,,
AI-053,"Accessibility, inclusion, and well-being teams","Is a Changing Places toilet or other named higher-support facility open, reachable and operational at the required time?",asset_register|cleaning_waste|hr_identity|sensor_telemetry,4,,
AI-054,"Accessibility, inclusion, and well-being teams","Can we communicate likely waiting for an accessible toilet using privacy-safe aggregate evidence, without identifying users or constructing visit histories?",cleaning_waste,1,,
AI-055,"Accessibility, inclusion, and well-being teams","Where are verified rest seats available along the planned route, and will they remain reachable, stable and unobstructed during the journey?",cleaning_waste|cmms_work|sensor_telemetry|weather_external,4,,
AI-056,"Accessibility, inclusion, and well-being teams","Which quiet or low-stimulation spaces are open for voluntary short use, and what can we honestly say about their likely condition?",booking|security_incident|sensor_telemetry,3,,
AI-057,"Accessibility, inclusion, and well-being teams","Are drinking-water points, catering counters and vending areas reachable and usable for the approach, reach and height requirements a person has stated?",access_control|sensor_telemetry,2,,
AI-058,"Accessibility, inclusion, and well-being teams","Are accessible showers, changing rooms, lockers or related well-being amenities open, operational and ready for the stated use?",cleaning_waste|sensor_telemetry,2,,
AI-059,"Accessibility, inclusion, and well-being teams","Which current location can support an assistance dog's pause, water and toileting needs without blocking a route or breaching a restriction?",cleaning_waste|policy_governance|sensor_telemetry|weather_external,4,,
AI-060,"Accessibility, inclusion, and well-being teams","Which amenity barrier needs action first, who owns it, and what verified interim arrangement can be offered while it remains unresolved?",cleaning_waste|policy_governance|project_handover|sensor_telemetry,4,,
AI-061,"Accessibility, inclusion, and well-being teams","When a person states an access requirement before arrival, which current support route applies and who owns the next acknowledged action?",accessibility|asset_register|hr_identity|sensor_telemetry,4,,
AI-062,"Accessibility, inclusion, and well-being teams","Has the event or teaching activity completed the access-planning checks required for its actual venue, format, timings and participation pattern?",accessibility|booking|sensor_telemetry|timetable,4,,
AI-063,"Accessibility, inclusion, and well-being teams","Can the person's chosen companion, personal assistant, interpreter or support worker enter, sit and move with them throughout the activity?",booking|sensor_telemetry|timetable,3,,
AI-064,"Accessibility, inclusion, and well-being teams","Are booked interpreters, captioners, note-taking support and portable assistive equipment confirmed, function-tested and aligned with the session plan?",accessibility|asset_register|booking|contract_warranty|it_network|sensor_telemetry,6,,
AI-065,"Accessibility, inclusion, and well-being teams","Can registration, screening and check-in be completed without an avoidable queue, inaccessible counter or unnecessary personal disclosure?",policy_governance|project_handover|sensor_telemetry,3,,
AI-066,"Accessibility, inclusion, and well-being teams","Have stewards and service desks received the practical access instructions they need, while medical, diagnostic and casework information remains excluded?",accessibility|asset_register|project_handover|sensor_telemetry,4,,
AI-067,"Accessibility, inclusion, and well-being teams",Are general emergency and disruption instructions available in accessible formats with the current competent owner and contact route clearly shown?,booking|fire_life_safety|policy_governance|sensor_telemetry,4,,
AI-068,"Accessibility, inclusion, and well-being teams","Can the service desk arrange route assistance, portable seating or equipment through one authorised hand-off without making the person repeat sensitive information?",accessibility|asset_register|hr_identity|it_network|sensor_telemetry,5,,
AI-069,"Accessibility, inclusion, and well-being teams","Will a room move, cancellation or delay reach attendees and accompanying people through selected channels before they decide to travel?",booking|sensor_telemetry|timetable,3,,
AI-070,"Accessibility, inclusion, and well-being teams","Which aggregate demand patterns justify changes to staffing, equipment, service hours or event support without profiling any individual?",accessibility|asset_register|booking|policy_governance|timetable|user_reports,6,,
AI-071,"Accessibility, inclusion, and well-being teams","Which new barriers were reported or detected today, what essential function do they affect, and which competent owner must respond first?",sensor_telemetry,1,,
AI-072,"Accessibility, inclusion, and well-being teams","Which barriers recur after earlier tickets were closed at the same asset, place or service, and when should a root-cause investigation be triggered?",accessibility|asset_register|cmms_work|sensor_telemetry|survey_condition|user_reports,6,,
AI-073,"Accessibility, inclusion, and well-being teams","Are high-impact barriers receiving timely triage, a verified interim arrangement and acceptable closure evidence against the current service target?",accessibility|asset_register|policy_governance|sensor_telemetry,4,,
AI-074,"Accessibility, inclusion, and well-being teams","Which access-related incidents or near misses need immediate protective action and competent investigation, and what evidence may lawfully be preserved?",access_control|permit_control|policy_governance|sensor_telemetry,4,,
AI-075,"Accessibility, inclusion, and well-being teams","Before works, moves or service changes start, have access impacts and viable alternatives been verified for every affected period?",contract_warranty|sensor_telemetry,2,,
AI-076,"Accessibility, inclusion, and well-being teams","Which inspections, maintenance tasks and access actions are due, overdue or awaiting acceptable completion evidence?",accessibility|asset_register|policy_governance|sensor_telemetry|statutory_compliance,5,,
AI-077,"Accessibility, inclusion, and well-being teams","Which improvement option should be prioritised when impact, recurrence, inclusion benefit, cost, disruption, deliverability and evidence confidence are compared?",accessibility|finance_cost|policy_governance|sensor_telemetry,4,,
AI-078,"Accessibility, inclusion, and well-being teams","After an intervention, did the targeted barrier actually reduce for the intended function and period, with evidence sufficient for the owner to accept the outcome?",accessibility|policy_governance|project_handover|sensor_telemetry|timetable|user_reports,6,,
AI-079,"Accessibility, inclusion, and well-being teams","Is ownership, permission, lineage, precedence and human decision authority explicit for every data source, generated claim, published answer and escalation?",accessibility|contract_warranty|policy_governance|project_handover|sensor_telemetry,5,,
AI-080,"Accessibility, inclusion, and well-being teams","Which requested answers must stop at ""not enough evidence"", and what is the smallest safe verification step that could change each decision?",accessibility|policy_governance|project_handover|sensor_telemetry,4,,
AR-001,"People with mobility, sensory, or other accessibility requirements",I use a wheelchair. Which verified step-free route from my arrival point to the authorised entrance should I use at my arrival time?,access_control|accessibility|booking|sensor_telemetry,4,L3,R2
AR-002,"People with mobility, sensory, or other accessibility requirements","I need regular seated rests. Which verified route from my stop or drop-off point is shortest, and where are the confirmed rest points?",sensor_telemetry,1,L3,R2
AR-003,"People with mobility, sensory, or other accessibility requirements","I have low vision. Which public entrance offers the simplest verified route to reception, with the fewest decision points?",accessibility|booking|sensor_telemetry,3,L2,R2
AR-004,"People with mobility, sensory, or other accessibility requirements",I cannot use a phone call. What official text-based check-in or arrival contact can I use?,booking|sensor_telemetry,2,L1,R1
AR-005,"People with mobility, sensory, or other accessibility requirements",Crowded entrances are difficult for me. When within my authorised arrival window is the designated entrance likely to be quieter?,booking|policy_governance|sensor_telemetry,3,L3,R2
AR-006,"People with mobility, sensory, or other accessibility requirements",I need more time at doors and lifts. How much arrival time should I allow before my appointment or event?,booking|sensor_telemetry,2,L2,R2
AR-007,"People with mobility, sensory, or other accessibility requirements","I am arriving with a personal assistant, carer or support person. Can we use the same authorised entrance and route?",booking|policy_governance|sensor_telemetry,3,L1,R1
AR-008,"People with mobility, sensory, or other accessibility requirements","I use a mobility scooter. Do the verified route widths, door clearances and lift dimensions fit the measurements I provide?",accessibility|sensor_telemetry,2,L2,R2
AR-009,"People with mobility, sensory, or other accessibility requirements","Wet, icy or windy conditions make travel harder for me. Which verified entrance route minimises exposed distance and difficult gradients?",sensor_telemetry|weather_external,2,L3,R2
AR-010,"People with mobility, sensory, or other accessibility requirements","I prefer a lower-stimulation arrival. Which authorised entrance and waiting option is likely to have less crowding, noise and visual intensity?",accessibility|booking|sensor_telemetry,3,L3,R2
AR-011,"People with mobility, sensory, or other accessibility requirements","Is the designated accessible entrance open now, and is its automatic door officially reported as working?",access_control|permit_control|sensor_telemetry,3,L1,R2
AR-012,"People with mobility, sensory, or other accessibility requirements","Are there heavy manual doors on my verified route, and what authorised assisted alternative is available?",sensor_telemetry,1,L2,R2
AR-013,"People with mobility, sensory, or other accessibility requirements","Which lift serves my destination, is it officially in service, and is the route to it currently open?",access_control|sensor_telemetry,2,L2,R2
AR-014,"People with mobility, sensory, or other accessibility requirements","The lift lobby is busy. Is another verified step-free route available, or is waiting the more reliable choice?",booking|sensor_telemetry,2,L3,R2
AR-015,"People with mobility, sensory, or other accessibility requirements","I can manage a few stairs if necessary. Which authorised route has the fewest steps, confirmed handrails and nearby rest points?",accessibility|sensor_telemetry,2,L2,R2
AR-016,"People with mobility, sensory, or other accessibility requirements",Do the verified corridor widths and turning spaces on my route fit the mobility-aid dimensions I provide?,accessibility|sensor_telemetry,2,L2,R2
AR-017,"People with mobility, sensory, or other accessibility requirements","Are any doors on my planned route currently locked, restricted, held open or reported out of service?",access_control|sensor_telemetry,2,L1,R2
AR-018,"People with mobility, sensory, or other accessibility requirements","How long should I allow for this route if I need extra time at doors, turns and lifts?",sensor_telemetry,1,L2,R2
AR-019,"People with mobility, sensory, or other accessibility requirements",Which authorised route between my two destinations is expected to be least crowded when I need to move?,sensor_telemetry,1,L3,R2
AR-020,"People with mobility, sensory, or other accessibility requirements","If I become disoriented, where is the nearest verified place to pause, reorient and ask for help?",accessibility|booking|sensor_telemetry,3,L2,R1
AR-021,"People with mobility, sensory, or other accessibility requirements",Does my assigned room have a currently verified step-free route and an entrance I am authorised to use?,sensor_telemetry,1,L2,R2
AR-022,"People with mobility, sensory, or other accessibility requirements","Is wheelchair-accessible seating confirmed for this room, and how do I verify or request it through the official service?",accessibility|booking|sensor_telemetry,3,L1,R2
AR-023,"People with mobility, sensory, or other accessibility requirements",I need a seat near an exit. Which authorised seating options meet that preference without obstructing circulation?,booking|sensor_telemetry,2,L2,R2
AR-024,"People with mobility, sensory, or other accessibility requirements","I need a clear view of captions, an interpreter or the main display. Which verified seating zone is most suitable?",accessibility|booking|sensor_telemetry,3,L2,R2
AR-025,"People with mobility, sensory, or other accessibility requirements","Is a hearing loop or another assistive-listening system confirmed, recently tested and available in this room?",accessibility|booking|sensor_telemetry,3,L1,R2
AR-026,"People with mobility, sensory, or other accessibility requirements",Is a height-adjustable desk or sufficient clear space for my mobility aid confirmed in the room I will use?,accessibility|sensor_telemetry,2,L1,R2
AR-027,"People with mobility, sensory, or other accessibility requirements","I may need to stand, move or take short breaks. Which authorised seating area lets me do that without blocking circulation?",accessibility|booking|permit_control|sensor_telemetry,4,L2,R2
AR-028,"People with mobility, sensory, or other accessibility requirements","I need a lower-distraction way to participate. Is an authorised quieter zone, smaller room or remote option available?",booking|sensor_telemetry,2,L3,R2
AR-029,"People with mobility, sensory, or other accessibility requirements",Can my support person sit with me in the assigned space under the current organiser or room rules?,booking|policy_governance|sensor_telemetry,3,L1,R1
AR-030,"People with mobility, sensory, or other accessibility requirements","If my assigned space becomes unsuitable, which authorised alternative could I use without losing access to the activity?",accessibility|booking|sensor_telemetry,3,L3,R3
AR-031,"People with mobility, sensory, or other accessibility requirements",Which authorised space has the lowest verified background-noise level during the time I plan to use it?,meter_energy|sensor_telemetry,2,L2,R2
AR-032,"People with mobility, sensory, or other accessibility requirements",Sudden loud sounds are difficult for me. Are any authorised activities or building works expected to create noise near my destination?,booking|sensor_telemetry,2,L2,R2
AR-033,"People with mobility, sensory, or other accessibility requirements",I am sensitive to glare. Which verified seating zone is likely to have less glare at my planned time?,booking|sensor_telemetry,2,L2,R2
AR-034,"People with mobility, sensory, or other accessibility requirements","Is there a current room-specific flicker assessment, or an authorised alternative with verified lower-flicker lighting?",meter_energy|sensor_telemetry,2,L1,R3
AR-035,"People with mobility, sensory, or other accessibility requirements","I am sensitive to heat. What are the current room-level temperature conditions, and how stable have they been recently?",sensor_telemetry,1,L2,R2
AR-036,"People with mobility, sensory, or other accessibility requirements",I have respiratory sensitivities. What verified room-level information is available about ventilation and particulate conditions?,sensor_telemetry|weather_external,2,L2,R2
AR-037,"People with mobility, sensory, or other accessibility requirements",Crowding is difficult for me. Which eligible space or time is forecast to be less crowded?,booking|sensor_telemetry,2,L3,R2
AR-038,"People with mobility, sensory, or other accessibility requirements","Which authorised route best matches the noise, crowding and lighting preferences I state for this journey?",sensor_telemetry,1,L3,R3
AR-039,"People with mobility, sensory, or other accessibility requirements",I need stable conditions rather than one good reading. Which authorised space has been most stable recently?,sensor_telemetry,1,L2,R2
AR-040,"People with mobility, sensory, or other accessibility requirements","If conditions in my chosen space pass a limit I set, can I receive a private alert and a verified alternative?",sensor_telemetry,1,L3,R3
AR-041,"People with mobility, sensory, or other accessibility requirements","Can you give step-by-step directions in plain language without relying only on colour, small signs or visual landmarks?",sensor_telemetry,1,L1,R1
AR-042,"People with mobility, sensory, or other accessibility requirements","Can you provide my route and essential instructions in large text, high contrast or a screen-reader-friendly format?",access_control|sensor_telemetry,2,L1,R1
AR-043,"People with mobility, sensory, or other accessibility requirements","Where are tactile or Braille signs currently confirmed on my route, and which decision points do not have them?",accessibility|sensor_telemetry,2,L1,R1
AR-044,"People with mobility, sensory, or other accessibility requirements","Can you describe the lift controls, floor announcements and door controls I will encounter in a format I can use?",accessibility|project_handover|sensor_telemetry,3,L1,R2
AR-045,"People with mobility, sensory, or other accessibility requirements",Which public digital signs on my route are officially reported as working and showing current information?,sensor_telemetry,1,L1,R2
AR-046,"People with mobility, sensory, or other accessibility requirements","I process directions better one step at a time. Can you give one instruction, wait for my confirmation, and then continue?",sensor_telemetry,1,L1,R1
AR-047,"People with mobility, sensory, or other accessibility requirements","I communicate mainly by text. Which official text channel can I use to contact reception, the organiser or security?",booking|sensor_telemetry,2,L1,R1
AR-048,"People with mobility, sensory, or other accessibility requirements","If there is a public announcement, which verified text, caption or visual alternative will be available?",booking|project_handover|sensor_telemetry,3,L1,R2
AR-049,"People with mobility, sensory, or other accessibility requirements","If my room or route changes, can the official update reach me in my chosen format and include a newly verified route?",booking|sensor_telemetry,2,L2,R2
AR-050,"People with mobility, sensory, or other accessibility requirements","Can you give me an authorised route with fewer decision points and clear places to reorient, even if it is slightly longer?",sensor_telemetry,1,L2,R2
AR-051,"People with mobility, sensory, or other accessibility requirements","Where is the nearest verified accessible toilet on my route, and is it officially reported open or out of service?",accessibility|sensor_telemetry,2,L1,R2
AR-052,"People with mobility, sensory, or other accessibility requirements","Is a Changing Places toilet available in or near Abacws, and what are the current verified access arrangements?",accessibility|sensor_telemetry,2,L1,R1
AR-053,"People with mobility, sensory, or other accessibility requirements","Where are the confirmed rest points on my route, and how far apart are they?",sensor_telemetry,1,L2,R2
AR-054,"People with mobility, sensory, or other accessibility requirements","Is there an authorised quiet or lower-stimulation space I can use, and when is it officially available?",accessibility|sensor_telemetry,2,L2,R2
AR-055,"People with mobility, sensory, or other accessibility requirements",Where can I wait with my support person without blocking circulation or entering a restricted area?,booking|permit_control|sensor_telemetry,3,L2,R2
AR-056,"People with mobility, sensory, or other accessibility requirements","Where is the nearest verified drinking-water point on my accessible route, and is it officially in service?",sensor_telemetry,1,L1,R2
AR-057,"People with mobility, sensory, or other accessibility requirements",Does the authorised break area have verified seating and turning space that fit the measurements I provide?,accessibility|sensor_telemetry,2,L2,R2
AR-058,"People with mobility, sensory, or other accessibility requirements",I may need privacy to manage medication or another personal need. Which official private-space or support option can staff confirm?,sensor_telemetry,1,L1,R3
AR-059,"People with mobility, sensory, or other accessibility requirements","Can I bring an assistance dog, and which current routes and areas are authorised?",booking|policy_governance|sensor_telemetry,3,L1,R1
AR-060,"People with mobility, sensory, or other accessibility requirements","If I need help during a break, what is the official contact method and nearest verified help point?",sensor_telemetry,1,L1,R1
AR-061,"People with mobility, sensory, or other accessibility requirements","Is any lift, automatic door or accessible route segment on my planned route currently reported out of service?",access_control|booking|sensor_telemetry,3,L1,R2
AR-062,"People with mobility, sensory, or other accessibility requirements","If the main lift becomes unavailable while I am inside, what official alternative or staff-assistance procedure is in force?",booking|policy_governance|sensor_telemetry,3,L2,R3
AR-063,"People with mobility, sensory, or other accessibility requirements","How will I receive a room, entrance or route-closure notice in a format I can use?",sensor_telemetry,1,L1,R2
AR-064,"People with mobility, sensory, or other accessibility requirements","If an alarm activates, which official information should I follow for my current location?",sensor_telemetry,1,L1,R3
AR-065,"People with mobility, sensory, or other accessibility requirements","I cannot use stairs. Which general evacuation-assistance arrangements apply, and who should I contact before arrival?",accessibility|fire_life_safety|policy_governance|sensor_telemetry,4,L1,R3
AR-066,"People with mobility, sensory, or other accessibility requirements","I may not hear an audible alarm. Which verified visual, vibrating or staff-assisted notification provision is available?",fire_life_safety|sensor_telemetry,2,L1,R3
AR-067,"People with mobility, sensory, or other accessibility requirements",I may not see visual alerts. Which verified audible or staff-assisted notification provision is available?,fire_life_safety|sensor_telemetry,2,L1,R3
AR-068,"People with mobility, sensory, or other accessibility requirements","Crowded evacuation is difficult for me. Which official instructions apply, and what will the talking-building service not improvise?",fire_life_safety|sensor_telemetry,2,L1,R3
AR-069,"People with mobility, sensory, or other accessibility requirements","If severe weather or transport disruption affects my accessible route, which verified arrival or departure alternatives are available?",booking|sensor_telemetry|weather_external,3,L3,R2
AR-070,"People with mobility, sensory, or other accessibility requirements","If live data fails during a disruption, what can the service still tell me safely from authoritative sources?",sensor_telemetry,1,L1,R2
AR-071,"People with mobility, sensory, or other accessibility requirements",Can the service use the route and sensory preferences I state for this visit without storing a diagnosis or permanent profile?,access_control|accessibility|sensor_telemetry,3,L1,R3
AR-072,"People with mobility, sensory, or other accessibility requirements",Can I plan without identifying myself and have my stated accessibility preferences deleted when the interaction ends?,access_control|sensor_telemetry,2,L1,R2
AR-073,"People with mobility, sensory, or other accessibility requirements","Which parts of your answer are confirmed facts, observations, calculations, estimates or recommendations, and how fresh is each source?",sensor_telemetry,1,L1,R1
AR-074,"People with mobility, sensory, or other accessibility requirements","Can you give me a verified primary route and a verified fallback if a lift, door or entrance becomes unavailable?",sensor_telemetry,1,L3,R2
AR-075,"People with mobility, sensory, or other accessibility requirements","How trustworthy is today's lift or automatic-door status feed, and should I confirm the asset with staff before relying on it?",access_control|sensor_telemetry,2,L2,R2
AR-076,"People with mobility, sensory, or other accessibility requirements","Can you recommend the lowest-effort authorised route using only the limits I state, without inferring fatigue from my movement?",sensor_telemetry,1,L3,R2
AR-077,"People with mobility, sensory, or other accessibility requirements",Which lower-carbon travel option is also realistically accessible for the requirements and visit time I state?,sensor_telemetry|sustainability|weather_external,3,L3,R2
AR-078,"People with mobility, sensory, or other accessibility requirements",Can you compare two authorised spaces against my stated accessibility and sensory preferences without ranking anyone else's needs?,accessibility|booking|sensor_telemetry,3,L2,R2
AR-079,"People with mobility, sensory, or other accessibility requirements","What evidence is missing from my plan, and which parts can the service not assess reliably?",sensor_telemetry,1,L1,R1
AR-080,"People with mobility, sensory, or other accessibility requirements","Before I set out, can you summarise my verified route, support contacts, recheck points and contingencies?",sensor_telemetry,1,L2,R2
AU-001,Auditors and certification assessors,"At assessment opening, which organisational units, sites, floors, systems, processes and dates are formally in scope, and which exclusions have named approval?",hr_identity|meter_energy,2,,
AU-002,Auditors and certification assessors,"Which standard or scheme edition, amendments, transition provisions and clause set apply to each in-scope requirement on its effective date?",,0,,
AU-003,Auditors and certification assessors,"Which legal entity and management-system boundary form the certification unit, and where do responsibilities pass to other campus functions?",hr_identity|meter_energy,2,,
AU-004,Auditors and certification assessors,"For every criterion, control, evidence source and action, which current role is accountable, operating, consulted, approving and deputising?",hr_identity|policy_governance,2,,
AU-005,Auditors and certification assessors,"Which approved changes since the previous assessment could alter scope, applicability, risk, control operation or the evidence population?",bms_plant|finance_cost|hr_identity|policy_governance,4,,
AU-006,Auditors and certification assessors,"Which landlord, utility, supplier, maintenance, cloud or shared services fall inside the boundary, and where does evidence responsibility transfer?",contract_warranty|finance_cost,2,,
AU-007,Auditors and certification assessors,"Where legal, scheme, contractual and internal requirements overlap or conflict, what competent authorised interpretation applies for the relevant period?",contract_warranty,1,,
AU-008,Auditors and certification assessors,"For each local, shared or inherited control, who operates, monitors and evidences each component, and what must be tested within this unit?",,0,,
AU-009,Auditors and certification assessors,"At fieldwork start, which criteria have authorised, current, retrievable and quality-qualified evidence, and which remain technically untestable?",,0,,
AU-010,Auditors and certification assessors,"Which stated assumptions, dependencies, outages, projects or future changes could invalidate the planned population, sample, procedure or interpretation?",contract_warranty|hr_identity,2,,
AU-011,Auditors and certification assessors,"For each criterion and assertion, which source supports it, over what population and period, and what claim remains unsupported?",,0,,
AU-012,Auditors and certification assessors,"Which items are authoritative records, independent corroboration, management representation, context, calculated output or unverified proposed telemetry?",,0,,
AU-013,Auditors and certification assessors,"Was each item effective, observed and technically available when the sampled event occurred, and what fraction of the required period does it cover?",,0,,
AU-014,Auditors and certification assessors,"Is collection, access, analysis, retention, transfer and disclosure of each evidence item authorised for this purpose and audience?",policy_governance,1,,
AU-015,Auditors and certification assessors,"Can every source-to-output path be reconstructed through extraction, transformation, joining, filtering, aggregation and presentation steps?",,0,,
AU-016,Auditors and certification assessors,"For each proposed telemetry source, are modality, placement, mapping, commissioning, calibration, clock alignment and current data health verified for the claimed use?",meter_energy,1,,
AU-017,Auditors and certification assessors,"Where authoritative records, assessor observations and telemetry disagree, what values, assets, locations and times conflict, and who may resolve them?",,0,,
AU-018,Auditors and certification assessors,"Which required periods, assets, locations, criteria or record classes have missing, partial or quality-excluded evidence?",,0,,
AU-019,Auditors and certification assessors,"Can each authorised evidence item be exported in a stable, readable form while preserving context, metadata, identifiers and a link to the source?",,0,,
AU-020,Auditors and certification assessors,"Can custody be traced from collection through copying, transformation, storage, redaction, transfer and external receipt?",,0,,
AU-021,Auditors and certification assessors,"At the population-freeze time, do current asset, system, control and record populations reconcile to the approved boundary without duplicates or orphans?",cmms_work|meter_energy,2,,
AU-022,Auditors and certification assessors,"Which assets, services and controls are formally designated critical, under what approved basis, and when was that designation last validated?",,0,,
AU-023,Auditors and certification assessors,"Can each maintenance, inspection, calibration or statutory record be tied to the correct physical asset, current location and due cycle?",contract_warranty,1,,
AU-024,Auditors and certification assessors,"Is every in-scope control documented with an objective, trigger, method, frequency, evidence, dependencies, escalation route and accountable owner?",,0,,
AU-025,Auditors and certification assessors,"For every required record class, what population should exist across in-scope assets, locations, processes and dates, and is that denominator complete?",,0,,
AU-026,Auditors and certification assessors,"Are privileges to create, approve, administer, alter, export and retain evidence authorised, segregated and current for the sampled period?",hr_identity,1,,
AU-027,Auditors and certification assessors,"Did sampled system, meter and building-control configurations match the authorised point-in-time baseline and approved change history?",,0,,
AU-028,Auditors and certification assessors,"For sampled specialist or regulated work, were appointment, licence, training and approval valid for the task and date?",contract_warranty,1,,
AU-029,Auditors and certification assessors,"Do assessor-observed physical labels, serials and locations reconcile to current registers, controlled drawings and telemetry identifiers?",,0,,
AU-030,Auditors and certification assessors,"When assets were moved, replaced, isolated, recommissioned or retired, were active controls transferred while prior evidence remained linked and retrievable?",it_network,1,,
AU-031,Auditors and certification assessors,"Across the defined population, did each sampled recurring control occur within its required window and leave complete, inspectable evidence?",cmms_work,1,,
AU-032,Auditors and certification assessors,"For each sampled authorised threshold breach, did detection, alerting, acknowledgement, escalation, response and closure occur in the required sequence?",sensor_telemetry,1,,
AU-033,Auditors and certification assessors,"Did sampled inspections and tests use the effective method, suitable calibrated instruments, required independence and complete exception retention?",,0,,
AU-034,Auditors and certification assessors,"Did sampled joiner, mover, temporary and leaver access changes follow authorised request, approval, provisioning, periodic check, expiry and removal steps?",hr_identity,1,,
AU-035,Auditors and certification assessors,"Were sampled alarms and monitoring exceptions generated, triaged, assigned, escalated, suppressed and closed under the effective procedure?",,0,,
AU-036,Auditors and certification assessors,"Did meter capture, estimation, validation, reconciliation, adjustment and approval controls operate for utility data used in billing or reporting?",contract_warranty|finance_cost|it_network|meter_energy,4,,
AU-037,Auditors and certification assessors,"For sampled contracted services, was the specified output delivered, independently checked, exceptions retained and acceptance completed before payment?",contract_warranty|finance_cost,2,,
AU-038,Auditors and certification assessors,"For sampled changes, did request, impact assessment, approval, implementation, testing, rollback readiness and record update occur in the required order?",bms_plant,1,,
AU-039,Auditors and certification assessors,"Were required emergency checks, equipment tests and exercises completed for the approved population, with resulting actions linked to verified closure evidence?",fire_life_safety,1,,
AU-040,Auditors and certification assessors,"During which intervals were monitoring sources, rules, gateways or integrations blind, degraded, suppressed or misconfigured, and how was that limitation controlled?",sensor_telemetry,1,,
AU-041,Auditors and certification assessors,"What exact, deduplicated and time-bounded population will the assessor use before selecting each sample?",,0,,
AU-042,Auditors and certification assessors,"After the assessor defines the population and rule, can random, systematic or stratified selection be reproduced from a preserved seed and population hash?",,0,,
AU-043,Auditors and certification assessors,"Does the selected sample achieve the assessor-defined coverage across locations, periods, asset types, owners, risk strata and exception status?",,0,,
AU-044,Auditors and certification assessors,"Can each direct observation be time-aligned and corroborated with an independent record and, where fit, verified telemetry for the same asset or zone?",meter_energy,1,,
AU-045,Auditors and certification assessors,"Does verified deployment density, placement and uptime support the intended population inference, or is telemetry limited to an instrumented subset?",,0,,
AU-046,Auditors and certification assessors,"Are sampled dates materially affected by season, timetable, occupancy context, closures, projects, weather, shutdowns or abnormal demand?",timetable|weather_external,2,,
AU-047,Auditors and certification assessors,"For each outlier, what evidence supports data error, a legitimate exceptional condition or a broader pattern, and what remains unexplained?",,0,,
AU-048,Auditors and certification assessors,What claim-specific minimum evidence must be present before a sampled assertion is technically testable rather than merely plausible?,,0,,
AU-049,Auditors and certification assessors,"Which planned observations, systems, records or assets were inaccessible, for what authorised reason, and what proportion of the intended procedure is affected?",access_control,1,,
AU-050,Auditors and certification assessors,"Can another competent assessor reproduce the population, sample, observations, calculations and outputs from the retained fieldwork package?",,0,,
AU-051,Auditors and certification assessors,"What candidate exception occurred, which criterion, control, asset, process and period does it concern, and which original evidence and contrary evidence are linked?",,0,,
AU-052,Auditors and certification assessors,"Are comparable exceptions recurring across periods, locations, asset classes, suppliers or control owners after allowing for population and coding changes?",,0,,
AU-053,Auditors and certification assessors,"What verified evidence describes the extent, duration, affected population and consequences relevant to the assessor's severity and risk judgement?",,0,,
AU-054,Auditors and certification assessors,"Does the verified timeline support the stated root cause, what alternatives remain plausible, and which specialist evidence is still needed?",,0,,
AU-055,Auditors and certification assessors,"Does every corrective action have an authorised owner, bounded scope, due date, milestones, acceptance criteria and specified closure evidence?",,0,,
AU-056,Auditors and certification assessors,"After implementation, does independent, time-aligned evidence show that the corrective action achieved its stated control objective for the defined observation period?",,0,,
AU-057,Auditors and certification assessors,"Which actions are overdue, repeatedly extended, reopened, partially closed or linked to new related exceptions?",,0,,
AU-058,Auditors and certification assessors,"While a primary control is impaired, is the approved compensating control active over the same scope and period, monitored and time-limited?",,0,,
AU-059,Auditors and certification assessors,"Are waivers, accepted risks and authorised exceptions valid for the exact scope, period and authority, with conditions and expiry visible?",,0,,
AU-060,Auditors and certification assessors,"Which candidate matters remain unresolved because evidence is missing, conflicting, stale, restricted, outside scope or technically unfit?",,0,,
AU-061,Auditors and certification assessors,"Can every factual statement, table value and chart point be traced to exact source records, transformations, versions and approved workpapers?",,0,,
AU-062,Auditors and certification assessors,"Which criterion, policy, procedure, configuration and form version was effective at the time of each sampled event?",,0,,
AU-063,Auditors and certification assessors,"For each record class, are retention, legal hold, disposition and retrieval controls operating across the required period?",,0,,
