qid,group,proposed_bucket,why_unanswered,proposed_action,question,routed_intent,answer_status,category,stakeholder_role,complexity_l,source,elapsed_s,answer,fixed,notes
Q396,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,Which carpets are due deep cleaning this month?,capability,observed,Events & scheduling,Cleaner,,v5_synthetic_bank,78.0,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q406,DECLINE,ROUTING-FORECAST,a forecast lane exists; the question is forward-looking,route to trend/forecast; confirm the modality is forecastable,"What's the lone worker list for tonight, and where were they last seen?",capability,observed,"Safety, security & emergency",Security,,v5_synthetic_bank,14.4,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q413,DECLINE,ROUTING-FORECAST,a forecast lane exists; the question is forward-looking,route to trend/forecast; confirm the modality is forecastable,"How many visitors are expected today, and any VIPs?",capability,observed,Events & scheduling,Receptionist,,v5_synthetic_bank,10.0,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q415,SPATIAL_ERROR,DEFECT-SPATIAL,the spatial lane raised an ERROR rather than answering or declining,debug the spatial lane -- an error is not an honest decline,A visitor needs step-free access to the auditorium - what do I tell them?,spatial_query,observed,Accessibility,Receptionist,,v5_synthetic_bank,8.8,I encountered an error analysing the spatial data. Please try again.,,
Q419,DECLINE,AUTHORING,a knowledge topic or amenity would answer this,author ontosage:KnowledgeTopic / Amenity triples via the admin GUI,Are any deliveries stuck in the mail room for more than three days?,capability,observed,Current state / lookup,Receptionist,,v5_synthetic_bank,10.5,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q420,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,"Which languages does the building signage cover, and do we have a translation card?",capability,observed,Accessibility,Receptionist,,v5_synthetic_bank,6.9,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q423,DECLINE,ROUTING-FORECAST,a forecast lane exists; the question is forward-looking,route to trend/forecast; confirm the modality is forecastable,Which rooms need furniture moved for tomorrow's exams?,capability,observed,Events & scheduling,Porter,,v5_synthetic_bank,0.5,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q426,SPATIAL_ERROR,DEFECT-SPATIAL,the spatial lane raised an ERROR rather than answering or declining,debug the spatial lane -- an error is not an honest decline,Which corridors are wide enough for the exhibition boards?,spatial_query,observed,Wayfinding & entity resolution,Porter,,v5_synthetic_bank,6.1,I encountered an error analysing the spatial data. Please try again.,,
Q432,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,When is the grease trap due for emptying?,capability,observed,Events & scheduling,Catering staff,,v5_synthetic_bank,16.9,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q452,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,We failed the water sample at outlet 14 - what's the remediation protocol?,capability,observed,"Documents, compliance & institutional knowledge",Facility manager,,v5_synthetic_bank,0.5,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q463,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,Are we hitting our contracted maximum demand? Any breach risk this winter?,capability,observed,Prediction & forward-looking,Energy manager,,v5_synthetic_bank,0.9,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q465,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,Estimate the split between regulated and unregulated loads.,capability,observed,Retrospective analysis & reporting,Energy manager,,v5_synthetic_bank,6.3,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q472,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,"Which day this month was our most efficient per occupant, and why?",capability,observed,Retrospective analysis & reporting,Energy manager,,v5_synthetic_bank,0.6,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q479,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,Should we bid this building into a demand response scheme? What's flexibly sheddable?,capability,observed,"Generation, storage & grid",Energy manager,,v5_synthetic_bank,6.0,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q489,DECLINE,DATA-SCHEDULE,"timetable, booking or event data is not sourced for this",onboard the institutional layer (timetable/bookings) -- V6-T57,Are we on the CRREM decarbonisation pathway for this asset class?,capability,observed,Carbon & retrofit,Sustainability officer,,v5_synthetic_bank,8.2,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q501,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,What share of our energy came from on-site renewables each month this year?,capability,observed,"Generation, storage & grid",Sustainability officer,,v5_synthetic_bank,0.6,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.**Boundary: not declared.** I can't say what this figure covers — the meter behind it has no `ontosage:meterServes` in the ontology. Declaring the meter's boundary and allocation method would let every energy answer state it.",,
Q502,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,Summarise our biodiversity measures on the grounds for the report.,capability,observed,"Documents, compliance & institutional knowledge",Sustainability officer,,v5_synthetic_bank,0.5,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q505,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,Which certifications could this building realistically achieve next year?,capability,observed,Cross-domain / open-ended reasoning,Sustainability officer,,v5_synthetic_bank,0.5,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q506,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,Track our single-use plastic reduction against the pledge.,capability,observed,Retrospective analysis & reporting,Sustainability officer,,v5_synthetic_bank,18.8,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q507,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,One slide: how is the building performing this quarter?,capability,observed,Retrospective analysis & reporting,Executive,,v5_synthetic_bank,0.5,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q513,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,Can we sublet a floor? Which one would we miss least?,capability,observed,Occupancy & space utilisation,Executive,,v5_synthetic_bank,0.5,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q516,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,Which capital project this year had the best measured outcome?,capability,observed,Benchmarking & comparison,Executive,,v5_synthetic_bank,0.5,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q518,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,How resilient are we to a two-day grid outage?,capability,observed,"Safety, security & emergency",Executive,,v5_synthetic_bank,6.8,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q521,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,Board asks: are we insurable against flood at this site long-term?,capability,observed,Cross-domain / open-ended reasoning,Executive,,v5_synthetic_bank,11.8,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q522,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,Reconcile the last 12 electricity invoices against metered consumption.,capability,observed,Cost & finance,Finance,,v5_synthetic_bank,8.2,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.**Boundary: not declared.** I can't say what this figure covers — the meter behind it has no `ontosage:meterServes` in the ontology. Declaring the meter's boundary and allocation method would let every energy answer state it.",,
Q523,DOC_NOT_FOUND,DATA-COST,financial data is not modelled in this building at all,out of scope until a cost/contract source is onboarded -- or decline honestly,"Which service contracts renew in the next 90 days, and what did each cost us?",capability,observed,Cost & finance,Finance,,v5_synthetic_bank,0.6,"I could not find a passage in **Abacws Building**'s documents that directly addresses this. The closest related material is below, and it may not answer your question:**From: Hvac Operation**|-----------|--------|----------------| | CO2 | < 800 ppm (occupied) | > 1000 ppm triggers demand-control ventilation boost | | TVOC | < 300 ppb | > 500 ppb triggers investigation | | PM2.5 | < 12 μg/m³ (24h avg) | > 35 μg/m³ triggers air quality alert | | Relative humidity | 40–60% | < 30% or > 70% triggers fault log | ## Maintenance Schedule - **Filters**: Changed every 6 months (April and October) — HEPA G4/F7 combination - **Heat recovery wheel**: Inspected quarterly, cleaned annually - **Boiler servicing**: Annual (July, during summer shutdown) - **Chiller checks**: Monthly inspection by campus facilities team - **Fire dampers**: Tested annually as part of fire safety compliance ## OntoSage Integration OntoSage monitors temperature, humidity, CO2, TVOC, and air quality index via sensors on Floor 5. Sensor readings update every 30 seconds. HVAC setpoint changes can be **requested** through OntoSage by authorised users (Facility Manager role), subject to approval workflow. Physical actuation requires the Honeywell BMS driver integration (planned; current deployment uses simulation mode).---*Source: building documents. For the most current version, contact facility management.*",,
Q525,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,Are we paying standing charges on any disconnected meters?,capability,observed,Anomaly detection & diagnosis,Finance,,v5_synthetic_bank,16.9,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q527,DECLINE,DATA-COST,financial data is not modelled in this building at all,out of scope until a cost/contract source is onboarded -- or decline honestly,What did unplanned downtime of building systems cost us last year?,capability,observed,Cost & finance,Finance,,v5_synthetic_bank,0.6,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q530,DECLINE,ROUTING-WAYFINDING,a floor plan and spatial lane exist for this,route to floor_plan/spatial_query; check the referent resolves,Value-engineer the cleaning contract: where is effort not matching use?,capability,observed,Occupancy & space utilisation,Finance,,v5_synthetic_bank,10.8,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q531,DECLINE,DATA-COST,financial data is not modelled in this building at all,out of scope until a cost/contract source is onboarded -- or decline honestly,What penalty clauses were triggered in FM contracts this year?,capability,observed,"Documents, compliance & institutional knowledge",Finance,,v5_synthetic_bank,7.2,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q534,DECLINE,ACCESS-RULES,"asks about permission, access rights or what is allowed",author the rule as a KnowledgeTopic; check it is not a privacy/RBAC question first,"Who has access rights to the plant rooms, and when were they last reviewed?",capability,observed,"Documents, compliance & institutional knowledge",Auditor,,v5_synthetic_bank,9.5,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q535,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,Produce the water hygiene logbook entries for Q2.,capability,observed,"Documents, compliance & institutional knowledge",Auditor,,v5_synthetic_bank,0.5,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q536,DOC_NOT_FOUND,DOCUMENT,answerable from a document nobody has uploaded,upload the manual/policy/assessment into input/documents/ and reindex,Which risk assessments are past their review date?,capability,observed,"Documents, compliance & institutional knowledge",Auditor,,v5_synthetic_bank,0.6,"I could not find a passage in **Abacws Building**'s documents that directly addresses this. The closest related material is below, and it may not answer your question:**From: Governance**will clearly state when it cannot answer a question with the available data rather than guessing. - No decisions affecting individuals are made automatically without human review. - The system is monitored for bias in responses across different user roles. - Annual ethics review is conducted by the Research Ethics Committee.---*Source: building documents. For the most current version, contact facility management.*",,
Q537,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,Trace this month's energy figure back to raw meter reads - I want the audit trail.,capability,observed,System self-knowledge & explainability,Auditor,,v5_synthetic_bank,0.6,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.---*⚠️ I summarised the data above but couldn't render the chart this time. Please try again, or rephrase the request as e.g. ""plot sensor 5.27 temperature for the last 24 hours as a line chart"".***Boundary: not declared.** I can't say what this figure covers — the meter behind it has no `ontosage:meterServes` in the ontology. Declaring the meter's boundary and allocation method would let every energy answer state it.",,
Q538,DECLINE,DATA-SAFETY,safety/compliance state is not sourced,"onboard alarm/compliance state, or author it as knowledge triples",Were any safety-critical alarms silenced or overridden this year? By whom?,capability,observed,Retrospective analysis & reporting,Auditor,,v5_synthetic_bank,0.6,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q540,DECLINE,DOCUMENT,answerable from a document nobody has uploaded,upload the manual/policy/assessment into input/documents/ and reindex,Does the DSEAR assessment cover the new battery room?,capability,observed,"Documents, compliance & institutional knowledge",Auditor,,v5_synthetic_bank,0.5,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
