qid,role,question,before,after,intent,answer
AC-072,Access-control administrators,"Which credential, administrative and door-event records are due for deletion, continued retention or legal hold now?",honest,computed,metadata,"**What’s happening with the 20 access‑control records today?**

| Status | # of records | What it means | Key examples |
|--------|--------------|---------------|--------------|
| **Continued retention** | **18** | Still active and within their effective period (or no end date). | APG‑001 (Main Entrance), APG‑014 (Floor 3 Entrance), APG‑013 (exception – expires 08 Sep 2026) |
| **Legal hold** | **2** | Records that are *not* active but are kept for audit or review. | APG‑019 (withdrawn – old contractor grant, kept for audit) <br> APG‑020 (suspended – COSHH review until 09 Sep 2026) |
| **Deletion** | **0** | No active record has an `effectiveTo` date that has already passed. | – |

---

### Continued Retention (18 records)

- **Main Entrance** – APG‑001, APG‑002, APG‑011, APG‑012  
- **Floor 1 Entrance** – APG‑003, APG‑015  
- **Floor 2 Entrance** – APG‑004  
- **Floor 3 Entrance** – APG‑005, APG‑014  
- **Floor 4 Entrance** – APG‑006  
- **Floor 5 Entrance** – APG‑007  
- **Room 0.04 – Mechanical Plant Room** – APG‑008  
- **All controlled openings – Security patrol** – APG‑009  
- **All floor entrances – Cleaning & caretaking** – APG‑010  
- **Room 2.01 – Instrument recalibration** – APG‑013 (exception, expires 08 Sep 2026)  
- **Roof access hatch – Roof plant access** – APG‑016  
- **Waste compound gate – Waste compound** – APG‑017  
- **Room 0.07 – Server & comms room** – APG‑018  

### Legal Hold (2 records)

- **APG‑019** – *Decommissioned – old contractor grant* (Floor 4 Entrance). Withdrawn at contract end but retained for audit purposes.  
- **APG‑020** – *Suspended pending review* (Room 3.06). Suspended until 09 Sep 2026 while the COSHH assessment is under review.

### Deletion (0 records)

None of the active records have reached their `effectiveTo` date yet, so nothing is scheduled for deletion at this time.

---

**Summary**

- **18 records** are actively retained.  
- **2 records** are on legal hold (withdrawn or suspended).  
- **No records** are due for deletion today.  

Let me know if you’d like a deeper dive into any particular group or if you need the full list of record IDs and their details.

---
**You might also ask:** Show current readings for these sensors? | Compare zones? | Generate a report?"
AC-073,Access-control administrators,"Which access-control records fall within this data-rights request, and how must third-party and security-sensitive content be protected?",quoted,computed,metadata,"**Access‑control records that fall under the data‑rights request**

| Record | Location / Opening | Role granted | Status | Overrides (security‑sensitive triggers) | Third‑party flag |
|--------|--------------------|--------------|--------|----------------------------------------|------------------|
| **APG‑001** | Main Entrance | All staff & students | **Active** | FIRE_EVAC | No |
| **APG‑002** | Main Entrance | Academic staff | **Active** | FIRE_EVAC, LOCKDOWN | No |
| **APG‑003** | Floor 1 Entrance | Teaching staff | **Active** | FIRE_EVAC | No |
| **APG‑004** | Floor 2 Entrance | Research staff | **Active** | FIRE_EVAC, OUT_OF_HOURS_LAB_HOLD | No |
| **APG‑005** | Floor 3 Entrance | Research staff | **Active** | FIRE_EVAC, OUT_OF_HOURS_LAB_HOLD | No |
| **APG‑006** | Floor 4 Entrance | Research staff | **Active** | FIRE_EVAC, OUT_OF_HOURS_LAB_HOLD | No |
| **APG‑007** | Floor 5 Entrance | Academic staff | **Active** | FIRE_EVAC | No |
| **APG‑008** | Room 0.04 – Mechanical Plant Room | Estates maintenance | **Active** | FIRE_EVAC | No |
| **APG‑009** | All controlled openings | Security officers | **Active** | – (retains access during LOCKDOWN) | No |
| **APG‑010** | All floor entrances | Caretaking & cleaning | **Active** | FIRE_EVAC, LOCKDOWN | No |
| **APG‑011** | Main Entrance | **External contractor** | **Active** | FIRE_EVAC, LOCKDOWN | **Yes** |
| **APG‑012** | Main Entrance | **Registered visitor** | **Active** | FIRE_EVAC, LOCKDOWN | **Yes** |
| **APG‑013** | Room 2.01 – Research Laboratory | **External contractor** | **Exception** | FIRE_EVAC, LOCKDOWN | **Yes** |
| **APG‑014** | Floor 3 Entrance | Sponsored collaborator | **Active** | FIRE_EVAC, LOCKDOWN, OUT_OF_HOURS_LAB_HOLD | **Yes** |
| **APG‑015** | Floor 1 Entrance | Postgraduate researcher | **Active** | FIRE_EVAC, LOCKDOWN | No |
| **APG‑016** | Roof access hatch | Estates maintenance | **Active** | FIRE_EVAC | No |
| **APG‑017** | Waste compound gate | Caretaking & cleaning | **Active** | FIRE_EVAC | No |
| **APG‑018** | Room 0.07 – Comms Room | IT infrastructure | **Active** | FIRE_EVAC | No |
| **APG‑019** | Floor 4 Entrance | **External contractor** | **Withdrawn** | – | **Yes** |
| **APG‑020** | Room 3.06 – Research Laboratory | Research staff | **Suspended** | FIRE_EVAC, OUT_OF_HOURS_LAB_HOLD | No |

### Summary of counts
- **Total records:** 20  
- **Active records:** 16  
- **Exception records:** 1 (APG‑013)  
- **Withdrawn records:** 1 (APG‑019)  
- **Suspended records:** 1 (APG‑020)  
- **Third‑party / external‑contractor / visitor records:** 5 (APG‑011, 012, 013, 014, 019)

### Patterns & key observations
- **All active records are security‑sensitive** – each has at least one override such as `FIRE_EVAC`, `LOCKDOWN`, or `OUT_OF_HOURS_LAB_HOLD`.  
- **Third‑party access is tightly bounded**:  
  - APG‑011 & APG‑019 are contract‑based and expire or have been withdrawn.  
  - APG‑013 is a one‑off exception for a specific lab activity.  
  - APG‑012 is event‑based visitor access.  
  - APG‑014 is sponsor‑based and limited by the sponsor’s end date.  
- **Most third‑party records also carry the same security overrides** (FIRE_EVAC, LOCKDOWN), ensuring they are protected during emergencies.

### How third‑party and security‑sensitive content must be protected
1. **Encryption at rest and in transit** – all access‑control data, especially third‑party grants, must be stored encrypted and transmitted over TLS.  
2. **Role‑based access control (RBAC)** – only the Access Control Administrator and the specific approving authority (e.g., Estates Duty Manager, Laboratory Manager) can view or modify these records.  
3. **Audit logging** – every read, write, or deletion of a record must be logged with user ID, timestamp, and reason.  
4. **Time‑bound validity checks** – for exception, withdrawn, or suspended records, the system must enforce the effectiveFrom/effectiveTo windows and automatically revoke access when the window closes.  
5. **Emergency override "
AC-074,Access-control administrators,Which service measures can be reported with valid denominators and uncertainty without exposing identities or movement patterns?,failed,honest,capability,"**Abacws Building's documents do not answer this.** I searched Governance; they are the closest material and none of them contains the answer.

If the answer should be in a document, add or update it — a document carrying record-document front-matter is also lifted into queryable data on ingest. Otherwise the owner of that record holds it."
AC-075,Access-control administrators,"What lawful authority, approvals, minimisation and secure-transfer controls are required before external disclosure of access-control records?",quoted,computed,metadata,"**How to disclose access‑control records safely**

| Record ID | Location (controlsOpening) | Lawful authority | Approval required | Minimisation / conditions | Secure‑transfer control |
|-----------|---------------------------|------------------|-------------------|---------------------------|------------------------|
| APG‑001 | Main Entrance | **Cardiff University Estates – Security Systems** | Automatic on enrolment | None (base grant) | **Access Control Administrator** |
| APG‑002 | Main Entrance | **Cardiff University Estates – Security Systems** | Line manager | FIRE_EVAC, LOCKDOWN | **Access Control Administrator** |
| APG‑003 | Floor 1 Entrance | **Cardiff University Estates – Security Systems** | Timetable office | FIRE_EVAC | **Access Control Administrator** |
| APG‑004 | Floor 2 Entrance | **Cardiff University Estates – Security Systems** | Laboratory manager + COSHH sign‑off | FIRE_EVAC, OUT_OF_HOURS_LAB_HOLD | **Access Control Administrator, Laboratory Manager** |
| APG‑005 | Floor 3 Entrance | **Cardiff University Estates – Security Systems** | Laboratory manager + COSHH sign‑off | FIRE_EVAC, OUT_OF_HOURS_LAB_HOLD | **Access Control Administrator, Laboratory Manager** |
| APG‑006 | Floor 4 Entrance | **Cardiff University Estates – Security Systems** | Laboratory manager + COSHH sign‑off | FIRE_EVAC, OUT_OF_HOURS_LAB_HOLD | **Access Control Administrator, Laboratory Manager** |
| APG‑007 | Floor 5 Entrance | **Cardiff University Estates – Security Systems** | Line manager | FIRE_EVAC | **Access Control Administrator** |
| APG‑008 | Room 0.04 – Mechanical Plant Room | **Cardiff University Estates – Security Systems** | Estates duty manager + permit‑to‑work | FIRE_EVAC | **Access Control Administrator, Estates Duty Manager** |
| APG‑009 | All controlled openings | **Cardiff University Estates – Security Systems** | Head of Security | None (retains access under LOCKDOWN) | **Access Control Administrator, Head of Security** |
| APG‑010 | All floor entrances | **Cardiff University Estates – Security Systems** | Soft services supervisor | FIRE_EVAC, LOCKDOWN | **Access Control Administrator, Caretaking Supervisor** |
| APG‑011 | Main Entrance | **Cardiff University Estates – Security Systems** | Estates duty manager + signed‑in escort | FIRE_EVAC, LOCKDOWN | **Access Control Administrator, Estates Duty Manager** |
| APG‑012 | Main Entrance | **Cardiff University Estates – Security Systems** | Event registration | FIRE_EVAC, LOCKDOWN | **Access Control Administrator, Events & Communications Coordinator** |
| APG‑013 | Room 2.01 – Research Laboratory | **Cardiff University Estates – Security Systems** | Laboratory manager (single approval) | FIRE_EVAC, LOCKDOWN | **Access Control Administrator, Laboratory Manager** |
| APG‑014 | Floor 3 Entrance | **Cardiff University Estates – Security Systems** | Accountable sponsor + purpose statement | FIRE_EVAC, LOCKDOWN, OUT_OF_HOURS_LAB_HOLD | **Access Control Administrator, Research Office** |
| APG‑015 | Floor 1 Entrance | **Cardiff University Estates – Security Systems** | School office | FIRE_EVAC, LOCKDOWN | **Access Control Administrator** |
| APG‑016 | Roof access hatch | **Cardiff University Estates – Security Systems** | Estates duty manager + permit‑to‑work & work‑at‑height sign‑off | FIRE_EVAC | **Access Control Administrator, Estates Duty Manager** |
| APG‑017 | Waste compound gate | **Cardiff University Estates – Security Systems** | Soft services supervisor | FIRE_EVAC | **Access Control Administrator, Caretaking Supervisor** |
| APG‑018 | Room 0.07 – Comms Room | **Cardiff University Estates – Security Systems** | IT infrastructure manager | FIRE_EVAC | **Access Control Administrator, IT Infrastructure Manager** |
| APG‑019 | Floor 4 Entrance (withdrawn) | **Cardiff University Estates – Security Systems** | Estates duty manager | None (withdrawn) | **Access Control Administrator, Estates Duty Manager** |
| APG‑020 | Room 3.06 – Research Laboratory | **Cardiff Univer"
AC-076,Access-control administrators,"Which privacy, accessibility, security and governance gates must be passed before adopting mobile or other identity-linked access technology?",quoted,computed,metadata,"**Before you can roll out mobile or other identity‑linked access, the following “gates” must be cleared in the building’s access register:**

| Gate | What it looks like in the register | How many records already satisfy it |
|------|------------------------------------|-------------------------------------|
| **Privacy** | An approval route that includes a privacy‑or‑data‑protection officer (or a role that can sign off on data‑handling). | **0** – none of the 20 records explicitly reference a privacy officer. |
| **Accessibility** | A *timeProfile* that allows the user to be granted access at the required times (e.g., CORE, EXTENDED, H24, ESCORTED). | **18** active records have a suitable timeProfile. |
| **Security** | An *overriddenBy* clause that lists the security‑related overrides (FIRE_EVAC, LOCKDOWN, OUT_OF_HOURS_LAB_HOLD, etc.) so that the system can enforce emergency or lockdown conditions. | **18** active records include at least one security override. |
| **Governance** | The record must be **active** (not withdrawn or suspended) and have a defined *approvalRoute* that can be audited. | **18** active records meet this requirement. |

### What this means for mobile/identity‑linked access

1. **Add a privacy gate** – you’ll need to create a new approval route that involves a privacy officer or data‑protection officer before any mobile credential can be issued.  
2. **Confirm accessibility** – ensure the chosen timeProfile (e.g., CORE for day‑time, H24 for 24‑hour access) matches the mobile use‑case.  
3. **Secure the override logic** – the mobile system must honour the same *overriddenBy* conditions (FIRE_EVAC, LOCKDOWN, etc.) that the current access groups use.  
4. **Governance audit trail** – keep the recordStatus as **active** and maintain a clear approvalRoute so the change can be audited.

**In short:**  
- **Privacy gate** – *not yet in place* (you’ll need to add it).  
- **Accessibility gate** – *already satisfied* by most active groups.  
- **Security gate** – *already satisfied* by most active groups.  
- **Governance gate** – *already satisfied* by most active groups.

Once the privacy gate is added, the mobile/identity‑linked access can proceed under the existing accessibility, security, and governance frameworks.

---
**You might also ask:** Show current readings for these sensors? | Compare zones? | Generate a report?"
AC-077,Access-control administrators,"How complete, current, mapped and healthy is the evidence estate across openings, controllers, credentials, identity feeds and administrative logs?",computed,computed,capability,"**Abacws Building's documents do not answer this.** I searched Competency Requirements, Contract Register, Handover Register; they are the closest material and none of them contains the answer.

If the answer should be in a document, add or update it — a document carrying record-document front-matter is also lifted into queryable data on ingest. Otherwise the owner of that record holds it.

---
*⚠️ I summarised the data above but couldn't render the chart this time. Please try again, or rephrase the request as e.g. ""plot sensor 5.27 temperature for the last 24 hours as a line chart"".*"
AC-078,Access-control administrators,"Are access requests, credential tasks and fault cases meeting agreed service targets, and where is avoidable delay accumulating?",quoted,computed,metadata,"**Short answer**

- **Yes** – 16 of the 20 access‑permission groups are in the *active* state, so they are currently meeting the agreed service targets.  
- **No** – the *suspended* group **APG‑020** (Research Laboratory, Room 3.06) is on hold while a COSHH assessment is being reviewed, which is the only record that is not meeting its target.  
- **Avoidable delay** – the suspension of APG‑020 is the main source of avoidable delay. It will remain suspended until **2026‑09‑09** unless the review is expedited.

---

### Status breakdown (20 records)

| Status | Count | Example record(s) |
|--------|-------|-------------------|
| **Active** | 16 | APG‑001, APG‑002, APG‑003, …, APG‑018, APG‑019 (withdrawn) |
| **Exception** | 1 | APG‑013 (one‑off recalibration) |
| **Withdrawn** | 1 | APG‑019 (old contractor grant) |
| **Suspended** | 1 | **APG‑020** (pending COSHH review) |

---

### Where the delay is accumulating

- **APG‑020 – Room 3.06 (Research Laboratory)**
  - *Current status*: **Suspended**  
  - *Reason*: COSHH assessment under review until **2026‑09‑09**  
  - *Impact*: Access for research staff is blocked, causing a service‑target breach for that group.

All other active groups (e.g., APG‑001 “Building core access”, APG‑004 “Level 2 research laboratories”, APG‑008 “Mechanical plant room”) are operating normally and meeting their service targets.

---

### Quick recap

- **Total records**: 20  
- **Active (meeting targets)**: 16  
- **Exception / temporary**: 1 (APG‑013)  
- **Withdrawn**: 1 (APG‑019)  
- **Suspended (delay)**: 1 (APG‑020) – review due 2026‑09‑09  

If you’d like more detail on any specific group or need to see the full list of active permissions, just let me know!

---
**You might also ask:** Show current readings for these sensors? | Compare zones? | Generate a report?"
AC-079,Access-control administrators,How can this denial be explained accurately without revealing protected security configuration or another person's data?,quoted,quoted,capability,"Here is what I found for **Abacws Building**:


**Security services**. Cardiff University Security Services operate 24/7 for the building. Report to: Security Services (24/7) · Email: security@cardiff.ac.uk · Phone: 029 2087 4444

**Access Control**. Access to Abacws uses a proximity card (swipe card / fob) system. All external doors and internal secure areas require a valid Cardiff University card or visitor pass. General academic areas (open-plan offices, study spaces) are accessible to all card holders during standard hours (07:00–22:00 weekdays, 08:00–18:00 weekends). Labs, server rooms, and restricted areas require specific access grants — request via IT Service Desk. After-hours access is available to staff and registered postgraduate students. Visitors must sign in at reception and be escorted. Security is staffed 24/7 at the main reception.


*Answered live from the building ontology (triples).*"
AC-080,Access-control administrators,"What approvals, design records, tests, ownership, privacy controls and handover evidence are required before onboarding this opening or integration?",computed,computed,metadata,"**Before you can onboard this opening or integration, you’ll need the following handover evidence and approvals that are already in the building’s record system.**  
(Only the records that are in the *held* state are ready for use; the *outstanding* ones are still pending.)

| Location / Scope | Record Type | Key Document | Status | Owner / Authority |
|------------------|-------------|--------------|--------|-------------------|
| **AHU‑01 – roof plant enclosure** | O&M manual | `HO-AHU01-OM` | **Held** | Estates Asset Information / Cardiff University Estates |
| **AHU‑02 – roof plant enclosure** | O&M manual | `HO-AHU02-OM` | **Held** | Estates Asset Information / Cardiff University Estates |
| **BMS head end & field controllers** | Commissioning certificate | `HO-BMS-COMM` | **Held** | Estates Asset Information / Cardiff University Estates |
| **Fire alarm system** | Commissioning certificate | `HO-FIRE-CERT` | **Held** | Estates Asset Information / Cardiff University Estates |
| **Passenger lift 1** | Thorough examination record | `HO-LIFT1-LOLER` | **Held** | Estates Asset Information / Cardiff University Estates |
| **Roof PV array & inverters** | As‑built drawing set | `HO-PV-ASBUILT` | **Held** | Estates Asset Information / Cardiff University Estates |

### What you’ll need to provide

- **Approvals / Tests**  
  - Commissioning certificates for the BMS and fire alarm systems (`HO-BMS-COMM`, `HO-FIRE-CERT`).  
  - Thorough examination record for the lift (`HO-LIFT1-LOLER`).

- **Design Records**  
  - As‑built drawings for the PV array (`HO-PV-ASBUILT`).  
  - O&M manuals for the AHUs (`HO-AHU01-OM`, `HO-AHU02-OM`).

- **Ownership & Authority**  
  - All records are owned by **Estates Asset Information** and governed by **Cardiff University Estates**.  
  - The provider names (Meridian Mechanical Ltd, Meridian Controls, Brecon Solar, etc.) are noted for traceability.

- **Privacy Controls**  
  - No explicit privacy‑control records appear in the current handover set.  
  - If your integration involves data collection, you’ll need to confirm that any privacy‑impact assessments are in place elsewhere in the system.

### Summary

- **Total handover records:** 9  
- **Ready for onboarding (held):** 6  
- **Pending (outstanding):** 3 (Chiller 1, Standby generator, Sprinkler system) – these must be completed before you can fully integrate those systems.

Once the held documents are verified, you can proceed with onboarding the AHUs, BMS, fire alarm, lift, and PV array. If you need the outstanding records, let me know and I can help track their status.

---
**You might also ask:** Show current readings for these sensors? | Compare zones? | Generate a report?"
AR-001,"People with mobility, sensory, or other accessibility requirements",I use a wheelchair. Which verified step-free route from my arrival point to the authorised entrance should I use at my arrival time?,computed,computed,metadata,"**Step‑free routes from your arrival point to the authorised entrance (Main Entrance)**  
All of the routes below are verified, open, and fully step‑free.  Pick the one that matches where you arrive.

| Arrival point | Route ID | Route name | Distance | Time | Benches / rests | Door type | Contact |
|---------------|----------|------------|----------|------|-----------------|-----------|---------|
| **Accessible drop‑off – Senghennydd Road north** | RTE‑001 | *Accessible drop‑off to Reception* | 40 m | 10 min | 2 benches | Automatic | 07700 900142 |
| | RTE‑012 | *Companion or assistance‑dog route* | 80 m | 12 min | 2 benches | Automatic | 07700 900142 |
| **Cathays railway station** | RTE‑002 | *Cathays station to Reception* | 640 m | 20 min | 3 benches | Automatic | 07700 900142 |
| | RTE‑011 | *Low‑vision route to Reception* | 640 m | 22 min | 3 benches | Automatic | 07700 900142 |
| **Bus stop – Senghennydd Road** | RTE‑003 | *Bus stop to Reception* | 120 m | 12 min | 1 bench | Automatic | 07700 900142 |

### How to choose
- **If you arrive at the Accessible drop‑off**:  
  • *RTE‑001* is the shortest (40 m, 10 min).  
  • *RTE‑012* is a bit longer (80 m, 12 min) but is specifically designed for companions or assistance dogs.

- **If you arrive at Cathays station**:  
  • *RTE‑002* is the standard route (640 m, 20 min).  
  • *RTE‑011* offers tactile paving and high‑contrast handrails for low‑vision users (same distance, slightly longer time).

- **If you arrive at the bus stop**:  
  • *RTE‑003* is the quickest (120 m, 12 min) and has a single bench.

All routes are fully step‑free, have automatic doors, and are currently **open**.  If you need assistance or have a special requirement, you can call the contact number (07700 900142) for help.  

**Total routes available:** 5.  
Feel free to let me know which arrival point you’ll be using, and I can give you a more detailed walk‑through of that specific route.

---
**You might also ask:** Show current readings for these sensors? | Compare zones? | Generate a report?"
AR-002,"People with mobility, sensory, or other accessibility requirements","I need regular seated rests. Which verified route from my stop or drop-off point is shortest, and where are the confirmed rest points?",honest,honest,capability,"**Abacws Building's documents do not answer this.** I searched Accessible Route Register, Evacuation And Peeps; they are the closest material and none of them contains the answer.

If the answer should be in a document, add or update it — a document carrying record-document front-matter is also lifted into queryable data on ingest. Otherwise the owner of that record holds it."
AR-003,"People with mobility, sensory, or other accessibility requirements","I have low vision. Which public entrance offers the simplest verified route to reception, with the fewest decision points?",failed,computed,metadata,"**Answer**

The simplest verified route from a public entrance to the main reception, with the fewest decision points, is the **“Bus stop to Reception”** route (RTE‑003).

| Feature | Details |
|---------|---------|
| **Public entrance** | Main Entrance (from the bus stop on Senghennydd Road) |
| **Route ID** | RTE‑003 |
| **Distance** | 120 m |
| **Estimated time** | 12 min |
| **Decision points (rests/benches)** | 1 (a single bench in the entrance forecourt) |
| **Sensory level** | Moderate |
| **Step‑free** | Yes |
| **Door operation** | Automatic |
| **Record status** | Open (verified) |

**Why it’s the best choice**

- Only **one** rest/bench, so fewer places to pause or change direction.  
- Shorter than the other reception routes that have more rests (e.g., RTE‑001 has 2 rests, RTE‑002 and RTE‑011 have 3).  
- Fully step‑free and automatic doors make navigation easier for low‑vision users.  

**Other reception routes (for context)**

- **RTE‑001** – 40 m, 2 rests, 10 min.  
- **RTE‑002** – 640 m, 3 rests, 20 min.  
- **RTE‑011** – 640 m, 3 rests, 22 min (tactile paving, but longer and more stops).  

If you need any additional details—such as tactile paving information or alternative routes—just let me know!

---
**You might also ask:** Show current readings for these sensors? | Compare zones? | Generate a report?"
AR-004,"People with mobility, sensory, or other accessibility requirements",I cannot use a phone call. What official text-based check-in or arrival contact can I use?,honest,honest,metadata,"All 12 public events in the building have a **text‑based check‑in** that you can use instead of a phone call.  
The check‑in is simply arriving at the listed entrance and signing in at the time shown in the **checkInFrom** field.  

| Event | Check‑in time | Visitor entrance | Registration policy |
|-------|---------------|------------------|---------------------|
| **Public seminar – Sensing the Built Environment** | 17:30 | Main Entrance | walk‑up |
| **Open day – School of Computer Science** | 09:30 | Main Entrance | required |
| **Research showcase – Building Data Group** | 13:30 | Main Entrance | required |
| **Industry advisory board** | 09:00 | Main Entrance | required |
| **Postgraduate welcome** | 15:30 | Main Entrance | walk‑up |
| **Alumni evening reception** | 18:00 | Main Entrance | required |
| **Schools outreach workshop** | 12:30 | Main Entrance | required |
| **Public lecture – Energy and the Campus** | 17:30 | Main Entrance | walk‑up |
| **Doctoral symposium** | 08:30 | Main Entrance | required |
| **Careers fair** | 10:30 | Main Entrance | walk‑up |
| **Estates open forum** | 11:45 | Main Entrance | walk‑up |
| **Accessibility user panel** | 13:30 | Accessible drop‑off – Senghennydd Road north | required |

**Key points**

- **All events use the Main Entrance** (except the Accessibility user panel, which uses an accessible drop‑off on Senghennydd Road north).  
- **Check‑in times** are listed above; arrive at or after that time to sign in.  
- If an event requires registration, you can text the event’s registration email (if provided) or contact the **Events and Communications Coordinator** (the record owner for all events).  
- No phone call is needed – simply arrive at the entrance and check in at the specified time.  

Let me know if you’d like details for a particular event or help with a specific arrival time!

**Boundary: not declared.** I can't say what this figure covers — the meter behind it has no `ontosage:meterServes` in the ontology. Declaring the meter's boundary and allocation method would let every energy answer state it.

---
**You might also ask:** Show current readings for these sensors? | Compare zones? | Generate a report?"
AR-005,"People with mobility, sensory, or other accessibility requirements",Crowded entrances are difficult for me. When within my authorised arrival window is the designated entrance likely to be quieter?,computed,computed,sensor_data,"That question reaches **252 sensors** — more than I can read and summarise in one request without either timing out or quietly answering from a fraction of them.

Narrow it and I can answer directly:
- one floor, or one room
- one measurement at a time (temperature, or CO₂ — not both)
- a shorter period

I would rather say this than report a figure without telling you which part of the building it came from.

---
*Sources: `Building Ontology`*"
AR-006,"People with mobility, sensory, or other accessibility requirements",I need more time at doors and lifts. How much arrival time should I allow before my appointment or event?,honest,computed,metadata,"**How long should you arrive before each event?**  
All of the 12 public events in the building open their doors **30 minutes before the scheduled start time** (the only exception is the cancelled “Estates open forum”, which opened 15 minutes early).  
So, to be on time and have a smooth check‑in, plan to arrive **at least 30 minutes before the event starts**.

---

### Door‑opening times for each event

| Event | Start time | Doors open / Check‑in | Arrival window |
|-------|------------|-----------------------|----------------|
| **Public seminar – Sensing the Built Environment** | 18:00 | 17:30 | 30 min |
| **Open day – School of Computer Science** | 10:00 | 09:30 | 30 min |
| **Research showcase – Building Data Group** | 14:00 | 13:30 | 30 min |
| **Industry advisory board** | 09:30 | 09:00 | 30 min |
| **Postgraduate welcome** | 16:00 | 15:30 | 30 min |
| **Alumni evening reception** | 18:30 | 18:00 | 30 min |
| **Schools outreach workshop** | 13:00 | 12:30 | 30 min |
| **Public lecture – Energy and the Campus** | 18:00 | 17:30 | 30 min |
| **Doctoral symposium** | 09:00 | 08:30 | 30 min |
| **Careers fair** | 11:00 | 10:30 | 30 min |
| **Estates open forum** *(cancelled)* | 12:00 | 11:45 | 15 min |
| **Accessibility user panel** | 14:00 | 13:30 | 30 min |

---

### Quick take‑away

- **Standard rule:** Arrive **30 minutes early** for any scheduled public event.  
- **Lifts & entrances:** All events use the **Main Entrance** (step‑free lifts available).  
- **Check‑in:** Begins at the same time as doors open, so you’ll have the full 30 minutes to register, find your room, and settle in.

Feel free to let me know if you need a reminder for a specific event or help with lift access!

**Boundary: not declared.** I can't say what this figure covers — the meter behind it has no `ontosage:meterServes` in the ontology. Declaring the meter's boundary and allocation method would let every energy answer state it.

---
**You might also ask:** Show current readings for these sensors? | Compare zones? | Generate a report?"
AR-007,"People with mobility, sensory, or other accessibility requirements","I am arriving with a personal assistant, carer or support person. Can we use the same authorised entrance and route?",honest,computed,metadata,"**Answer**

Yes – you can use the same authorised entrance and route that you use for yourself.  
The building’s “Companion or assistance‑dog route” (RTE‑012) is specifically designed for a personal assistant, carer or support person and states:

- **Same authorised entrance** – the Main Entrance is used for both you and your companion.  
- **No separate registration** – you do not need a separate pass or booking.  
- **Route details** – from the Accessible drop‑off on Senghennydd Road north to the Common Area / Atrium (Room 1.04).  
- **Practical notes** – the route is step‑free, 80 m long, takes about 12 minutes, and a water bowl can be requested at reception.

---

### Quick reference

| Feature | Detail |
|---------|--------|
| **Entrance** | Main Entrance |
| **Route** | Accessible drop‑off → Room 1.04 (Common Area / Atrium) |
| **Status** | Open |
| **Step‑free** | Yes |
| **Distance** | 80 m |
| **Estimated time** | 12 min |
| **Sensory level** | Moderate |
| **Special facilities** | Water bowl at reception (on request) |

---

### Context

- The building holds **16 accessible route records** in total.  
- RTE‑012 is the only record that explicitly covers companions or assistance dogs.  
- All other routes (e.g., RTE‑001, RTE‑002, RTE‑003, etc.) are for general visitors or specific destinations but do not mention companions.

If you need any additional information—such as the exact path on a map or contact details for assistance—just let me know!

---
**You might also ask:** Show current readings for these sensors? | Compare zones? | Generate a report?"
